v,vw,o,c,h,l,t,n
11961115.0,29.0448,28.8,29.15,29.76,28.1021,1692936000000,89292
7028565.0,29.3901,29.25,29.22,29.75,28.97,1693195200000,53861
12391205.0,30.6928,29.05,30.78,31.49,28.77,1693281600000,93409
10623266.0,31.3137,30.73,31.43,31.99,30.1048,1693368000000,75500
9075710.0,31.2318,31.18,31.02,31.84,30.7016,1693454400000,61186
6770962.0,31.1616,31.59,31.22,31.7802,30.66,1693540800000,53340
8430702.0,31.0307,31.22,31.43,31.535,29.95,1693886400000,63003
19542392.0,31.1899,32.05,31.46,32.65,30.9,1693972800000,142132
26065418.0,27.1006,27.94,27.61,28.2,25.5301,1694059200000,204097
11636774.0,28.0975,27.52,28.04,28.67,27.4409,1694145600000,93031
8947805.0,28.0908,28.18,28.22,28.55,27.33,1694404800000,66555
11521973.0,28.7902,27.66,28.1,30.08,27.5418,1694491200000,80079
7320346.0,27.8546,28.1,27.77,28.3282,27.3,1694577600000,53686
7811432.0,27.9669,28.11,28.22,28.6471,27.53,1694664000000,55494
8188997.0,27.4837,28.09,27.36,28.3,27.04,1694750400000,57115
6722838.0,27.023,27.02,27.13,27.345,26.418,1695009600000,54533
6156086.0,26.925,26.92,27.27,27.43,26.32,1695096000000,48125
6966796.0,27.0455,27.42,26.4,28.09,26.37,1695182400000,55318
7797584.0,25.6642,24.94,25.65,26.18,24.94,1695268800000,65459
7584719.0,25.0815,25.89,24.51,26.28,24.45,1695355200000,66240
6446292.0,24.3173,24.0,24.37,24.73,23.8104,1695614400000,60519
5707699.0,23.8582,23.95,23.63,24.47,23.45,1695700800000,53129
7604778.0,24.4745,24.0,24.42,24.9498,23.87,1695787200000,69495
6096784.0,24.8945,24.18,25.16,25.465,23.9,1695873600000,50148
6662540.0,25.6071,25.64,25.52,26.2244,25.17,1695960000000,52120
4860942.0,25.0559,25.72,24.7,25.86,24.44,1696219200000,44695
5313625.0,23.9859,24.3,23.97,24.73,23.61,1696305600000,47052
4534767.0,23.9451,24.1,24.11,24.35,23.37,1696392000000,39543
3959165.0,24.0654,23.82,24.23,24.65,23.5308,1696478400000,37562
4911857.0,24.4932,23.8,24.75,24.98,23.56,1696564800000,45556
