v,vw,o,c,h,l,t,n
955346.0,18.9068,18.93,18.93,19.0101,18.835,1692936000000,1095
656498.0,18.9911,18.95,18.99,19.0557,18.925,1693195200000,824
627887.0,19.1266,18.99,19.18,19.18,18.97,1693281600000,1334
491390.0,19.2448,19.25,19.23,19.285,19.22,1693368000000,1005
653713.0,19.2065,19.24,19.2,19.24,19.18,1693454400000,967
345608.0,19.2085,19.27,19.21,19.31,19.14,1693540800000,711
549132.0,19.0697,19.13,19.06,19.13,19.05,1693886400000,844
788871.0,18.9857,19.01,18.965,19.0842,18.95,1693972800000,1000
459269.0,18.989,19.01,18.99,19.015,18.965,1694059200000,768
335980.0,19.019,19.02,18.98,19.085,18.9722,1694145600000,603
489366.0,19.0371,19.08,19.02,19.095,19.01,1694404800000,940
343927.0,18.9139,18.88,18.92,18.9442,18.88,1694491200000,599
802915.0,18.9134,18.94,18.89,18.955,18.875,1694577600000,1006
604888.0,18.8669,18.83,18.88,18.915,18.8001,1694664000000,834
936922.0,19.051,19.04,19.01,19.095,19.01,1694750400000,1611
568905.0,19.0736,19.07,19.12,19.13,19.025,1695009600000,1717
311213.0,19.1187,19.14,19.12,19.15,19.09,1695096000000,1291
766522.0,19.216,19.13,19.12,19.27,19.12,1695182400000,1337
579003.0,18.9856,18.97,18.98,19.03,18.95,1695268800000,799
340541.0,19.0587,19.05,19.04,19.08,19.035,1695355200000,590
619447.0,18.9729,19.03,18.94,19.055,18.94,1695614400000,1018
824170.0,18.8421,18.85,18.79,18.8883,18.7816,1695700800000,811
855476.0,18.5976,18.69,18.57,18.69,18.525,1695787200000,1228
669507.0,18.4597,18.55,18.46,18.555,18.38,1695873600000,1166
1172115.0,18.3697,18.55,18.28,18.555,18.2615,1695960000000,1356
630699.0,18.1212,18.15,18.09,18.17,18.0701,1696219200000,1091
947714.0,18.0533,18.03,18.04,18.13,18.0,1696305600000,1240
1343985.0,18.0144,18.05,18.04,18.07,17.97,1696392000000,2422
1627661.0,17.9946,17.99,18.0,18.0242,17.95,1696478400000,952
1123931.0,18.088,18.04,18.09,18.1542,17.97,1696564800000,1392
642108.0,18.3339,18.26,18.42,18.43,18.25,1696824000000,823
976764.0,18.3813,18.36,18.39,18.4201,18.34,1696910400000,912
1410203.0,18.5194,18.5,18.54,18.565,18.48,1696996800000,1288
673494.0,18.5334,18.57,18.47,18.575,18.47,1697083200000,821
945505.0,18.9874,18.87,19.06,19.0999,18.8425,1697169600000,1492
462091.0,18.9909,18.96,18.99,19.0183,18.9399,1697428800000,680
827756.0,19.0341,19.03,19.01,19.1,18.984,1697515200000,916
1123664.0,19.2893,19.3,19.29,19.415,19.17,1697601600000,1662
954090.0,19.4238,19.31,19.53,19.56,19.285,1697688000000,1327
1065933.0,19.6335,19.57,19.585,19.7547,19.53,1697774400000,1557
694060.0,19.5353,19.57,19.52,19.575,19.485,1698033600000,1259
858727.0,19.4693,19.43,19.51,19.555,19.38,1698120000000,1315
1643350.0,19.5698,19.56,19.595,19.6501,19.42,1698206400000,2352
1123813.0,19.6024,19.55,19.63,19.671,19.501,1698292800000,1692
