v,vw,o,c,h,l,t,n
2150209.0,32.6437,32.75,32.65,32.8,32.49,1692936000000,18636
1769293.0,32.8805,32.75,32.9,32.99,32.75,1693195200000,14333
2100545.0,33.0583,33.04,33.16,33.18,32.905,1693281600000,16861
2454857.0,33.4722,33.4,33.5,33.575,33.38,1693368000000,17385
2669807.0,33.3298,33.45,33.2,33.62,33.16,1693454400000,19842
3603094.0,32.9967,33.32,32.94,33.36,32.81,1693540800000,25945
2879153.0,32.669,32.74,32.56,32.94,32.56,1693886400000,22819
3909707.0,32.3373,32.37,32.32,32.479,32.21,1693972800000,23986
2373747.0,32.3258,32.34,32.32,32.47,32.2199,1694059200000,18125
1842945.0,32.4594,32.31,32.55,32.55,32.25,1694145600000,14534
2450675.0,33.1267,33.02,33.16,33.32,32.9,1694404800000,18209
3182106.0,33.4463,33.32,33.49,33.55,33.31,1694491200000,25915
1751471.0,33.498,33.55,33.49,33.595,33.41,1694577600000,14590
2251287.0,33.7777,33.57,33.89,33.89,33.54,1694664000000,17863
2642790.0,33.5749,33.61,33.43,33.75,33.42,1694750400000,20778
2697339.0,33.6277,33.75,33.64,33.75,33.49,1695009600000,20020
2293759.0,33.79,33.78,33.69,33.96,33.69,1695096000000,18650
2090888.0,33.9455,33.89,33.8,34.075,33.8,1695182400000,17298
2542437.0,33.5551,33.62,33.5,33.6882,33.45,1695268800000,17486
3324501.0,33.3327,33.5,33.3,33.53,33.17,1695355200000,23648
6611299.0,32.1845,32.32,32.16,32.32,31.99,1695614400000,41045
3749002.0,32.1844,32.24,32.05,32.35,32.05,1695700800000,26936
5005876.0,31.9141,32.09,31.85,32.095,31.77,1695787200000,35882
4149819.0,31.3556,31.37,31.38,31.47,31.135,1695873600000,30017
3168216.0,31.4556,31.69,31.41,31.71,31.31,1695960000000,24224
5643744.0,30.7893,31.25,30.69,31.26,30.6099,1696219200000,39547
4510124.0,30.2981,30.52,30.19,30.52,30.17,1696305600000,32385
5555894.0,30.0265,30.27,30.07,30.28,29.8,1696392000000,36564
5945354.0,30.5041,30.46,30.51,30.71,30.3716,1696478400000,37670
4976946.0,30.3471,30.4,30.5,30.605,29.88,1696564800000,30392
2761177.0,30.6794,30.54,30.74,30.84,30.52,1696824000000,19984
3856168.0,31.122,31.1,31.03,31.27,31.0,1696910400000,24411
2980216.0,31.2451,31.32,31.28,31.41,31.15,1696996800000,22564
13476667.0,30.1479,31.36,30.08,31.38,29.605,1697083200000,84746
7722074.0,29.8037,29.66,29.78,29.982,29.65,1697169600000,40373
4271804.0,30.3403,30.16,30.44,30.47,30.04,1697428800000,26765
3171627.0,30.4064,30.28,30.49,30.52,30.215,1697515200000,23664
3534679.0,30.3969,30.38,30.3,30.62,30.26,1697601600000,24908
4149734.0,30.1268,30.13,30.02,30.37,29.96,1697688000000,27321
4331318.0,29.8675,29.81,29.82,29.99,29.71,1697774400000,33356
3566981.0,29.8932,29.9,29.8,30.03,29.77,1698033600000,23696
3069806.0,29.7351,29.75,29.73,29.88,29.61,1698120000000,22672
2461307.0,29.8659,29.7,29.86,29.995,29.68,1698206400000,19476
6015211.0,29.6958,29.88,29.63,29.992,29.5531,1698292800000,27677
4704124.0,29.1652,29.53,28.97,29.555,28.92,1698379200000,34642
4289919.0,29.7686,29.77,29.84,29.88,29.64,1698638400000,28281
4089775.0,29.8097,29.88,29.86,29.94,29.675,1698724800000,27125
2806267.0,30.134,30.15,30.07,30.3191,29.99,1698811200000,21957
2725897.0,30.5359,30.28,30.71,30.72,30.21,1698897600000,18715
2635591.0,31.132,31.12,31.09,31.255,31.0432,1698984000000,21004
3075514.0,31.044,31.16,31.03,31.18,30.975,1699246800000,22015
4438786.0,31.0285,31.18,30.99,31.18,30.885,1699333200000,22762
3027076.0,31.0036,31.08,30.98,31.17,30.83,1699419600000,22252
3155100.0,30.9637,30.99,30.85,31.1256,30.8109,1699506000000,23194
4767664.0,30.4159,30.55,30.5,30.6,30.0,1699592400000,23041
6983227.0,31.0845,30.86,31.11,31.265,30.68,1699851600000,25720
3492771.0,31.3805,31.28,31.43,31.52,31.215,1699938000000,27065
2132915.0,31.3477,31.4,31.37,31.485,31.24,1700024400000,17971
2702822.0,31.1654,31.13,31.19,31.2998,31.04,1700110800000,20612
