v,vw,o,c,h,l,t,n
1993408.0,41.2908,41.38,41.49,41.71,40.94,1692936000000,25591
1608195.0,41.9452,41.5,42.04,42.145,41.5,1693195200000,19471
1629820.0,42.8431,42.27,42.83,43.42,41.97,1693281600000,21912
2683749.0,43.2411,42.8,43.16,43.79,42.677,1693368000000,29599
5465555.0,49.585,48.61,49.98,50.25,47.77,1693454400000,55216
2949245.0,48.8265,50.56,48.47,50.72,48.35,1693540800000,29053
1746760.0,48.1017,48.17,47.93,48.61,47.845,1693886400000,24544
1669827.0,48.8062,47.69,48.74,49.225,47.6,1693972800000,23185
1398060.0,48.3997,48.49,48.14,48.93,48.11,1694059200000,20554
1687107.0,48.2013,48.1,48.22,48.49,47.92,1694145600000,18945
1329554.0,48.6881,48.25,48.83,49.13,48.01,1694404800000,19233
1096321.0,48.8422,48.44,48.81,49.055,48.29,1694491200000,17594
907541.0,48.6485,48.77,48.64,48.94,48.44,1694577600000,17448
1594762.0,49.258,48.98,49.08,49.79,48.835,1694664000000,23413
2376020.0,48.8073,48.9,48.81,49.19,48.6,1694750400000,18932
905610.0,48.9413,48.48,48.86,49.23,48.18,1695009600000,12765
1158078.0,48.1739,48.98,47.97,49.15,47.97,1695096000000,15396
890723.0,48.2549,48.08,47.96,48.6399,47.925,1695182400000,14459
1060554.0,47.2009,47.36,46.89,47.75,46.87,1695268800000,17517
1013798.0,47.2865,47.21,47.14,47.69,46.98,1695355200000,15847
873861.0,47.2479,46.91,47.12,47.545,46.74,1695614400000,13406
1135073.0,46.1797,46.73,45.97,46.92,45.875,1695700800000,16494
1101580.0,46.0485,46.11,46.05,46.38,45.75,1695787200000,15954
1259750.0,47.2204,46.77,47.33,47.46,46.5,1695873600000,18193
1135316.0,47.5114,47.67,47.26,47.945,47.245,1695960000000,16711
918069.0,47.3261,47.3,47.16,48.06,46.96,1696219200000,15778
1017972.0,46.3988,46.68,46.46,46.82,46.08,1696305600000,15254
1714331.0,45.4397,46.47,45.48,46.61,44.97,1696392000000,23771
2984364.0,43.6952,45.19,43.75,45.45,42.865,1696478400000,33128
1687890.0,44.4772,43.64,44.75,44.84,43.17,1696564800000,23487
923575.0,44.5562,44.5,44.66,44.9,44.12,1696824000000,16534
862929.0,44.9243,44.74,44.69,45.56,44.6,1696910400000,13720
1215460.0,44.5833,44.85,44.41,45.32,44.2,1696996800000,16255
1508562.0,43.3425,44.48,43.53,44.48,42.55,1697083200000,22104
1753529.0,42.325,43.52,42.0,43.72,41.95,1697169600000,22197
1176541.0,43.5329,42.45,43.51,43.86,42.45,1697428800000,20922
1795141.0,43.7537,42.94,43.9,44.1,42.63,1697515200000,19887
1123374.0,42.6471,43.31,42.42,43.375,42.235,1697601600000,16161
1278059.0,42.1452,42.28,42.12,42.6,41.83,1697688000000,15121
1185746.0,41.7975,42.12,41.64,42.34,41.53,1697774400000,15330
1575615.0,41.3202,41.4,41.05,41.8,40.975,1698033600000,17580
1033925.0,41.3587,41.05,41.56,41.67,40.67,1698120000000,14663
922851.0,41.1266,41.39,40.85,41.78,40.82,1698206400000,14144
1332914.0,40.5039,40.44,40.6,41.02,39.94,1698292800000,18964
1455104.0,41.3309,40.98,41.02,42.03,40.75,1698379200000,20999
866441.0,41.0242,41.47,41.06,41.47,40.46,1698638400000,13388
1169232.0,42.2092,41.41,42.2,42.58,41.37,1698724800000,15892
1114388.0,42.2158,42.07,42.33,42.49,41.83,1698811200000,15935
958680.0,42.7203,42.64,42.82,43.0,42.17,1698897600000,14355
1481701.0,44.1049,43.42,43.9,44.58,43.32,1698984000000,18437
887418.0,43.4353,43.86,43.22,43.91,43.22,1699246800000,13525
1090056.0,43.1325,42.79,43.04,43.58,42.59,1699333200000,13482
924921.0,43.3984,43.54,43.16,44.22,42.89,1699419600000,12958
962888.0,43.4627,43.72,43.26,44.11,43.05,1699506000000,14942
