v,vw,o,c,h,l,t,n
2803091.0,28.2369,27.99,28.22,28.375,27.95,1692936000000,25436
1579798.0,28.2532,28.28,28.22,28.46,28.17,1693195200000,18865
3006730.0,28.1799,28.29,28.13,28.34,28.041,1693281600000,27489
2806053.0,27.9633,28.13,27.92,28.2,27.86,1693368000000,21416
4449643.0,27.9318,28.07,27.89,28.12,27.85,1693454400000,28663
3785482.0,27.6274,28.04,27.65,28.08,27.4,1693540800000,29954
3764430.0,27.3379,27.6,27.33,27.67,27.155,1693886400000,31734
3367969.0,27.3719,27.39,27.36,27.55,27.28,1693972800000,30018
4084658.0,27.8759,27.58,27.95,28.03,27.52,1694059200000,31662
4030969.0,28.2342,28.03,28.29,28.38,27.95,1694145600000,35337
4776067.0,28.2985,28.21,28.31,28.47,28.16,1694404800000,36589
3551312.0,28.2958,28.33,28.3,28.385,28.1,1694491200000,27804
4655654.0,28.628,28.35,28.64,28.785,28.327,1694577600000,31626
5308125.0,28.9035,28.81,28.98,28.99,28.69,1694664000000,33148
8456512.0,29.0945,28.92,29.08,29.27,28.85,1694750400000,40372
5725524.0,29.0682,29.05,29.15,29.155,28.755,1695009600000,33952
4837954.0,29.0711,29.14,28.98,29.29,28.96,1695096000000,38983
3662130.0,28.9691,29.1,28.82,29.25,28.805,1695182400000,30841
4918116.0,28.522,28.8,28.39,28.8,28.38,1695268800000,36294
2790010.0,28.375,28.3,28.3,28.5488,28.24,1695355200000,22885
2530830.0,28.2283,28.15,28.29,28.33,28.03,1695614400000,23884
3681882.0,27.5687,28.23,27.29,28.23,27.265,1695700800000,30893
5282387.0,27.2047,27.3,27.15,27.44,27.05,1695787200000,37100
4844048.0,26.7867,27.29,26.7,27.29,26.605,1695873600000,40910
4214271.0,26.8582,26.92,26.85,27.16,26.695,1695960000000,36987
7172589.0,25.7712,26.65,25.75,26.71,25.49,1696219200000,55051
6963079.0,26.0952,25.58,26.35,26.435,25.42,1696305600000,59805
3956519.0,26.3547,26.44,26.54,26.56,25.935,1696392000000,37850
4371313.0,26.6028,26.52,26.62,26.8175,26.39,1696478400000,36123
5079357.0,26.5892,26.26,26.87,26.91,25.8,1696564800000,38159
3576707.0,27.1411,26.87,27.29,27.3,26.855,1696824000000,34444
3255070.0,27.4035,27.23,27.47,27.51,27.11,1696910400000,28522
3409621.0,27.6069,27.55,27.75,27.77,27.325,1696996800000,30207
5048023.0,27.4473,27.64,27.53,27.76,27.25,1697083200000,38552
5951932.0,27.5616,27.76,27.57,27.88,27.38,1697169600000,43804
5888158.0,27.6319,27.6,27.78,27.82,27.28,1697428800000,42515
6732485.0,27.815,27.6,27.94,28.005,27.575,1697515200000,36372
5417516.0,27.7313,27.92,27.68,28.06,27.505,1697601600000,38659
6387440.0,27.6105,27.56,27.47,27.885,27.46,1697688000000,49355
5241479.0,27.3907,27.51,27.14,27.77,27.14,1697774400000,34234
3954249.0,26.9591,26.82,26.8,27.215,26.7,1698033600000,34903
4975843.0,27.2482,27.09,27.32,27.36,27.0,1698120000000,34909
4717828.0,27.4127,27.26,27.46,27.53,27.21,1698206400000,38520
7106432.0,27.5705,27.82,27.6,28.06,27.14,1698292800000,51262
5272611.0,26.9167,27.44,26.69,27.51,26.65,1698379200000,43529
4116315.0,26.8721,26.8,26.89,27.1,26.695,1698638400000,36700
4969595.0,26.8442,27.04,26.88,27.09,26.61,1698724800000,33189
4320384.0,27.1915,26.92,27.32,27.45,26.71,1698811200000,36312
6677141.0,27.614,27.33,27.49,27.86,27.29,1698897600000,49039
7074331.0,27.6583,27.87,27.39,28.01,27.38,1698984000000,49369
6047415.0,27.3037,27.39,27.24,27.485,27.19,1699246800000,37096
6142597.0,27.1642,27.28,27.19,27.3,26.91,1699333200000,41660
8021751.0,26.7399,27.03,26.86,27.08,26.54,1699419600000,50640
5000468.0,26.8518,26.96,26.76,27.19,26.7025,1699506000000,37830
5228423.0,27.0694,26.96,27.12,27.16,26.88,1699592400000,40691
3980913.0,26.7882,27.12,26.73,27.185,26.65,1699851600000,30754
4842806.0,27.559,27.33,27.67,27.68,27.26,1699938000000,38835
3732614.0,27.5032,27.44,27.43,27.88,27.38,1700024400000,31582
6325377.0,27.7522,27.69,27.66,27.93,27.62,1700110800000,43950
3174128.0,27.773,27.87,27.8,27.875,27.585,1700197200000,24567
3001208.0,27.5996,27.69,27.59,27.745,27.36,1700456400000,28253
2315691.0,27.4859,27.58,27.5,27.7,27.38,1700542800000,23035
3047527.0,27.6789,27.55,27.79,27.83,27.38,1700629200000,27782
1260843.0,27.8496,27.85,27.93,27.93,27.68,1700802000000,11951
4174863.0,27.9636,27.92,27.95,28.07,27.67,1701061200000,27790
2842760.0,28.2035,28.0,28.15,28.39,27.87,1701147600000,28045
3129729.0,27.9704,28.19,27.89,28.28,27.835,1701234000000,25655
5842920.0,28.2278,28.03,28.27,28.36,27.83,1701320400000,38569
5747202.0,28.5842,28.32,28.79,28.81,28.21,1701406800000,46540
6529612.0,28.9062,28.59,28.85,29.085,28.52,1701666000000,50449
3948889.0,28.5559,28.83,28.56,28.86,28.41,1701752400000,31362
4840834.0,28.6845,28.71,28.78,28.83,28.45,1701838800000,31957
5405522.0,28.8756,28.82,28.76,29.14,28.59,1701925200000,35424
5594359.0,28.7467,28.8,28.77,28.9,28.495,1702011600000,31485
4078784.0,28.8997,28.62,29.05,29.06,28.62,1702270800000,35646
3288906.0,28.9707,29.13,29.01,29.15,28.795,1702357200000,27003
6219562.0,29.747,29.02,30.2,30.23,28.86,1702443600000,42336
6284274.0,29.9442,30.55,29.7,30.55,29.635,1702530000000,47591
9030263.0,28.9827,29.2,28.86,29.45,28.61,1702616400000,47925
3470236.0,28.8646,28.98,28.81,29.12,28.72,1702875600000,31514
2342803.0,28.9198,28.9,28.97,29.0,28.76,1702962000000,24466
4627736.0,28.571,28.89,28.3,28.98,28.29,1703048400000,33827
2854959.0,28.3501,28.37,28.3,28.63,28.18,1703134800000,27492
2239298.0,28.4736,28.46,28.38,28.71,28.345,1703221200000,25654
2524097.0,28.5279,28.32,28.5,28.615,28.27,1703566800000,23924
2196830.0,28.3714,28.42,28.38,28.505,28.27,1703653200000,23874
1863292.0,28.5279,28.35,28.56,28.61,28.34,1703739600000,20826
2830685.0,28.4983,28.46,28.57,28.58,28.345,1703826000000,24487
3902173.0,28.9378,28.52,29.01,29.06,28.3955,1704171600000,32826
3598175.0,29.0539,29.02,29.13,29.18,28.88,1704258000000,31792
3655353.0,29.1738,29.25,29.08,29.44,29.07,1704344400000,33143
3125545.0,29.1815,29.03,29.24,29.33,28.92,1704430800000,30210
3560423.0,29.2982,29.19,29.41,29.42,29.12,1704690000000,32454
2602386.0,29.2471,29.24,29.23,29.41,29.115,1704776400000,24904
4137583.0,29.3204,29.22,29.25,29.455,29.15,1704862800000,29226
5884607.0,28.4551,29.13,28.35,29.14,28.265,1704949200000,40108
3150070.0,28.5093,28.57,28.57,28.65,28.32,1705035600000,26567
4335962.0,28.5008,28.41,28.53,28.635,28.3,1705381200000,32306
2961015.0,28.1026,28.31,28.05,28.635,27.845,1705467600000,25715
4218833.0,27.7351,27.9,27.77,27.945,27.55,1705554000000,32351
4709206.0,27.7296,27.9,27.77,27.9,27.51,1705640400000,29714
4750513.0,27.527,27.77,27.47,27.915,27.435,1705899600000,26292
11149009.0,27.3249,27.38,27.5,27.51,27.12,1705986000000,43136
4599859.0,27.2775,27.71,27.14,27.74,27.085,1706072400000,32293
5044242.0,27.4554,27.45,27.52,27.63,27.17,1706158800000,37669
3448718.0,27.5229,27.62,27.57,27.72,27.38,1706245200000,28486
3611227.0,27.7655,27.55,27.91,27.92,27.4301,1706504400000,23607
5307676.0,27.8693,27.77,27.97,28.05,27.62,1706590800000,29047
3955715.0,27.9998,28.2,27.94,28.28,27.7,1706677200000,28023
3491127.0,28.1933,27.83,28.38,28.38,27.68,1706763600000,28766
2998134.0,27.9489,28.09,27.95,28.21,27.65,1706850000000,27966
3716744.0,27.6182,27.68,27.53,27.885,27.44,1707109200000,26552
3325353.0,27.6261,27.46,27.61,27.75,27.4,1707195600000,24479
2628181.0,27.5534,27.77,27.57,27.77,27.45,1707282000000,19855
2740350.0,27.3682,27.42,27.43,27.505,27.18,1707368400000,21287
2595116.0,27.49,27.31,27.53,27.6,27.29,1707454800000,23128
2892320.0,27.6953,27.57,27.75,27.82,27.435,1707714000000,23051
3961219.0,27.3015,27.68,27.44,27.77,26.95,1707800400000,31151
3375566.0,27.3134,27.29,27.35,27.4,27.135,1707886800000,26973
4007450.0,27.7496,27.48,27.87,27.89,27.45,1707973200000,26869
3518631.0,27.8791,27.79,27.88,27.995,27.59,1708059600000,27299
5225756.0,27.8874,27.89,27.79,28.2,27.57,1708405200000,35878
5721676.0,28.1362,27.99,28.28,28.28,27.7675,1708491600000,32962
3901337.0,27.9111,28.08,27.87,28.09,27.735,1708578000000,33376
4154915.0,27.9289,28.0,27.91,28.15,27.84,1708664400000,30597
3435868.0,27.45,27.73,27.3,27.82,27.27,1708923600000,28069
3803826.0,27.5577,27.4,27.65,27.655,27.25,1709010000000,25259
3332871.0,27.5398,27.59,27.48,27.725,27.44,1709096400000,23015
3380129.0,27.539,27.62,27.5,27.75,27.48,1709182800000,24470
3062075.0,27.364,27.46,27.44,27.495,27.055,1709269200000,26574
3127345.0,27.7351,27.27,27.94,27.955,27.24,1709528400000,23916
5967485.0,28.1368,28.04,27.89,28.55,27.72,1709614800000,41684
3912234.0,28.2657,28.1,28.3,28.4,28.03,1709701200000,29563
2919376.0,28.3422,28.56,28.31,28.61,28.24,1709787600000,24440
3468046.0,28.3027,28.36,28.33,28.48,28.085,1709874000000,26727
4272875.0,28.4913,28.31,28.52,28.71,28.31,1710129600000,36128
3514874.0,28.2247,28.37,28.13,28.55,28.1,1710216000000,29437
4167651.0,28.1472,28.25,28.0,28.5,27.99,1710302400000,29294
6003470.0,27.773,27.86,27.89,28.14,27.62,1710388800000,36706
9392719.0,27.841,27.69,27.87,28.12,27.65,1710475200000,33139
3485344.0,27.96,27.84,27.94,28.15,27.77,1710734400000,25150
4344060.0,28.1234,28.06,28.18,28.29,27.97,1710820800000,30946
4476613.0,28.1461,28.08,28.1,28.29,27.94,1710907200000,31740
4346909.0,28.1934,28.13,27.99,28.29,27.98,1710993600000,29222
4073452.0,27.907,28.19,27.83,28.19,27.8,1711080000000,33364
4728029.0,27.63,27.93,27.6,27.94,27.52,1711339200000,31318
5757647.0,27.3672,27.59,27.23,27.61,27.16,1711425600000,42098
5656100.0,28.0988,27.45,28.29,28.3,27.42,1711512000000,32052
4440139.0,28.4639,28.29,28.49,28.54,28.23,1711598400000,29478
4929338.0,28.3997,28.48,28.42,28.54,28.09,1711944000000,31335
5008897.0,28.5263,28.44,28.44,28.78,28.41,1712030400000,34181
3163686.0,28.2076,28.5,28.15,28.5,28.115,1712116800000,25260
3393800.0,28.0859,28.37,28.1,28.4,27.9,1712203200000,26268
5376735.0,28.0005,27.94,28.05,28.1025,27.73,1712289600000,25996
5155462.0,28.1825,28.11,28.22,28.31,27.985,1712548800000,29254
4468000.0,28.279,28.31,28.28,28.465,28.18,1712635200000,28630
4836255.0,27.4644,27.73,27.37,27.84,27.315,1712721600000,36393
5612094.0,27.5627,27.53,27.58,27.77,27.22,1712808000000,34845
3683231.0,27.488,27.62,27.46,27.77,27.305,1712894400000,29212
3571827.0,27.4099,27.59,27.4,27.75,27.24,1713153600000,28173
9494874.0,27.1847,27.31,27.22,27.37,26.9,1713240000000,40430
4375678.0,27.5874,27.43,27.7,27.78,27.33,1713326400000,31586
2416186.0,27.8488,27.85,27.95,28.005,27.66,1713412800000,21303
3218966.0,28.3752,28.08,28.53,28.53,27.99,1713499200000,25385
2871645.0,28.7705,28.53,28.78,28.95,28.38,1713758400000,24331
2495085.0,28.7802,28.7,28.73,28.98,28.65,1713844800000,21953
4065503.0,28.9881,28.51,29.07,29.18,28.35,1713931200000,33556
5594939.0,29.2132,29.07,29.34,29.425,28.86,1714017600000,39633
3294272.0,28.953,29.33,28.85,29.35,28.8425,1714104000000,29390
3538034.0,29.1385,28.96,29.22,29.26,28.95,1714363200000,30299
