v,vw,o,c,h,l,t,n
1978461.0,51.8605,52.05,51.85,52.565,51.15,1692936000000,32232
1525342.0,51.9693,52.08,51.97,52.65,51.59,1693195200000,26297
1865839.0,52.9379,51.62,52.88,53.73,51.46,1693281600000,31552
1695282.0,53.7648,52.42,53.92,54.15,52.42,1693368000000,28058
2402590.0,55.1694,54.3,55.26,55.825,54.24,1693454400000,34692
1953995.0,55.7224,55.64,55.75,56.295,55.13,1693540800000,32596
2605136.0,54.2224,55.26,54.07,55.64,53.89,1693886400000,44679
1978856.0,53.6577,53.63,53.74,54.17,53.145,1693972800000,30928
1674492.0,53.3326,53.39,53.37,53.7275,52.87,1694059200000,29603
3125209.0,54.7352,53.42,54.95,55.13,53.398,1694145600000,40157
2852487.0,53.5475,55.485,53.44,55.71,52.4613,1694404800000,46495
1536505.0,54.0732,53.5,53.82,54.64,53.35,1694491200000,33185
1946295.0,52.5387,53.83,52.35,53.89,51.96,1694577600000,34100
1786300.0,53.1416,53.03,53.57,53.67,52.2,1694664000000,32183
2821127.0,52.9256,53.28,52.87,54.16,52.34,1694750400000,38359
2349393.0,51.3883,52.59,50.98,52.635,50.95,1695009600000,37042
3107404.0,50.0608,50.85,49.81,50.87,49.48,1695096000000,43375
2007685.0,50.6365,49.95,50.17,51.235,49.9443,1695182400000,34862
3022170.0,48.2386,49.66,47.51,49.7346,47.47,1695268800000,48075
3278518.0,46.5355,47.92,46.0,48.18,45.94,1695355200000,45292
2064170.0,46.0397,45.28,46.12,46.435,45.26,1695614400000,33121
2118887.0,46.0351,46.05,45.82,46.77,45.5,1695700800000,36572
2583246.0,45.9336,45.87,45.98,46.84,45.23,1695787200000,37876
2556545.0,46.8742,46.13,46.78,47.91,45.82,1695873600000,37807
2259721.0,46.9551,47.25,46.35,48.18,46.2,1695960000000,40417
2825506.0,47.1202,46.82,46.86,47.74,46.285,1696219200000,45506
2619051.0,45.439,46.0,45.09,47.05,44.91,1696305600000,41007
3591127.0,44.3666,45.07,44.34,45.51,43.9,1696392000000,48390
2253900.0,43.7532,44.23,43.68,44.83,43.05,1696478400000,39277
2566222.0,44.3854,43.09,44.6,45.095,42.92,1696564800000,36081
2317974.0,43.7909,43.66,44.72,45.0,42.32,1696824000000,39033
2032403.0,45.9519,45.1,45.76,46.49,45.1,1696910400000,38153
3479546.0,47.0615,46.37,47.01,47.76,46.35,1696996800000,50664
3485681.0,44.5163,46.72,43.98,46.78,43.66,1697083200000,57775
2986658.0,42.537,43.64,42.38,44.3,41.9,1697169600000,44797
2324990.0,43.476,42.89,43.61,43.95,42.4,1697428800000,38820
2741331.0,44.0705,43.16,43.87,44.84,43.16,1697515200000,39337
2866507.0,42.7398,43.22,42.52,43.73,42.28,1697601600000,42929
3746819.0,42.4474,43.15,41.91,43.5,41.74,1697688000000,63282
2545360.0,41.427,41.83,41.34,42.06,40.79,1697774400000,44065
2875016.0,41.8785,41.1,41.36,42.63,40.86,1698033600000,48167
2576231.0,41.6438,41.88,41.66,42.41,41.52,1698120000000,31022
5139205.0,39.2575,40.25,38.54,40.61,38.5,1698206400000,65911
3311732.0,38.8928,38.6,38.76,39.81,38.33,1698292800000,50164
3602260.0,39.3956,39.16,39.14,40.12,38.607,1698379200000,53050
4144873.0,39.6633,39.99,40.09,40.41,38.85,1698638400000,57796
5030416.0,40.058,40.07,39.89,40.54,39.62,1698724800000,57746
8538400.0,39.7618,40.88,39.47,41.42,38.57,1698811200000,98232
5466593.0,41.1771,40.45,40.63,42.63,40.36,1698897600000,72929
5320356.0,44.0158,42.26,44.4,44.65,41.9496,1698984000000,70470
3576498.0,44.0032,44.52,43.9,44.58,43.47,1699246800000,51211
1734635.0,43.6954,44.06,43.64,44.29,43.29,1699333200000,30464
2414946.0,44.1593,44.37,44.08,44.9625,43.83,1699419600000,39431
2457528.0,42.6551,44.56,42.12,44.7,41.99,1699506000000,39186
2588377.0,42.8469,41.73,43.3,43.3656,41.5948,1699592400000,39417
2453405.0,42.2161,42.69,42.05,42.78,41.96,1699851600000,38142
3152068.0,45.164,43.91,45.5,45.73,43.8,1699938000000,50615
3633211.0,46.376,45.73,46.51,47.11,45.66,1700024400000,54287
2254246.0,45.7151,46.31,45.64,46.62,45.365,1700110800000,39218
2450997.0,45.7688,46.24,45.91,46.34,44.94,1700197200000,37738
1607978.0,46.2671,46.34,46.27,46.6,45.85,1700456400000,28729
1476786.0,45.5512,45.86,45.55,45.88,45.06,1700542800000,25482
1654689.0,46.2999,46.32,46.19,46.65,45.8725,1700629200000,32562
650622.0,46.0784,46.22,46.06,46.34,45.79,1700802000000,15063
1459244.0,46.003,45.88,45.98,46.29,45.53,1701061200000,29646
2919880.0,45.2735,45.84,45.23,45.9,45.07,1701147600000,39508
2848939.0,45.4187,45.87,45.03,46.496,44.905,1701234000000,40040
3895145.0,44.7032,45.21,44.72,45.25,44.25,1701320400000,51686
7640950.0,46.1668,44.72,46.75,46.97,44.48,1701406800000,69527
3347879.0,46.1964,46.65,46.24,47.48,45.51,1701666000000,40827
3697785.0,43.9039,45.6,43.41,45.815,43.39,1701752400000,43884
3385222.0,43.74,44.051,43.41,44.81,43.045,1701838800000,37924
3997662.0,43.0139,43.45,42.95,43.78,42.4941,1701925200000,45762
5365707.0,43.7319,42.9,44.19,44.64,42.7401,1702011600000,53794
3690299.0,44.0334,43.91,43.97,44.7,43.58,1702270800000,48800
3587493.0,43.3409,43.83,43.44,43.86,42.975,1702357200000,44874
6980662.0,45.0372,43.17,46.82,46.885,42.79,1702443600000,70349
8207233.0,48.7158,48.25,48.63,50.5056,47.6,1702530000000,96056
6768867.0,48.0344,48.76,47.95,49.21,47.44,1702616400000,59913
3173664.0,47.3963,48.05,47.27,48.29,47.05,1702875600000,34979
3861089.0,48.9386,48.0,49.16,49.65,47.47,1702962000000,35771
2552620.0,47.3959,48.8,46.36,48.8,46.32,1703048400000,38455
1726662.0,47.4423,47.19,47.67,48.08,46.93,1703134800000,29347
2904950.0,47.1362,47.87,46.82,48.42,46.5,1703221200000,38091
1860537.0,47.3971,47.09,47.55,47.78,46.715,1703566800000,27677
2058761.0,46.9041,47.5,47.16,47.545,46.43,1703653200000,29575
1863125.0,47.8223,47.19,47.82,48.525,47.19,1703739600000,27633
2176355.0,47.1435,47.76,46.88,48.125,46.76,1703826000000,31216
2807777.0,47.6446,46.56,47.78,48.57,46.17,1704171600000,38586
3878655.0,45.359,46.9,45.0,47.04,44.64,1704258000000,48797
2225065.0,45.0833,45.02,44.91,45.772,44.8101,1704344400000,36295
2227018.0,45.0205,44.36,44.91,45.745,44.05,1704430800000,31766
2146439.0,46.0133,44.61,46.25,46.55,44.61,1704690000000,31947
3178367.0,45.429,45.51,45.76,45.815,44.75,1704776400000,42145
2242669.0,45.3435,45.66,45.36,45.79,44.78,1704862800000,31791
2035228.0,44.8423,45.06,45.14,45.3099,44.16,1704949200000,34070
3738025.0,44.3063,45.56,44.4,45.68,43.75,1705035600000,41096
3070082.0,44.5473,44.04,44.75,44.85,43.66,1705381200000,33108
2286847.0,44.0035,44.01,44.19,44.35,43.7,1705467600000,34060
6718726.0,46.1811,44.69,46.53,46.725,44.69,1705554000000,73507
4342529.0,46.209,46.56,46.76,46.7825,45.3,1705640400000,52218
4496756.0,46.3283,47.25,45.81,47.9899,45.58,1705899600000,48077
2225063.0,45.8578,46.52,45.75,47.08,45.46,1705986000000,33500
4583947.0,44.6885,46.52,44.09,46.69,43.99,1706072400000,55553
2930323.0,44.8237,44.91,44.9,45.38,44.281,1706158800000,39967
2601254.0,44.5636,45.19,44.49,45.31,44.2,1706245200000,32797
2364362.0,44.8908,44.36,45.43,45.45,44.07,1706504400000,29201
1693266.0,44.5006,45.21,44.27,45.28,44.24,1706590800000,23739
3248275.0,44.3556,44.23,43.87,45.42,43.57,1706677200000,39270
3434366.0,43.7912,44.35,44.0,45.29,42.85,1706763600000,42813
3733599.0,43.3254,43.48,43.41,43.84,42.5,1706850000000,46117
3364372.0,42.7757,42.66,42.75,43.18,42.35,1707109200000,39082
3267463.0,43.4846,42.74,43.38,44.14,42.42,1707195600000,37007
2902091.0,43.1132,43.65,43.07,43.75,42.77,1707282000000,33159
3084363.0,43.9757,43.56,44.25,44.43,43.33,1707368400000,36662
3050382.0,44.7088,44.7,44.5,45.17,44.23,1707454800000,38237
2095857.0,44.8452,44.37,44.71,45.43,44.08,1707714000000,29354
5259828.0,42.4826,42.94,42.45,43.0,42.01,1707800400000,61054
2777925.0,42.5478,42.8,42.73,42.92,41.86,1707886800000,34385
2342833.0,43.2209,43.07,43.16,43.74,42.77,1707973200000,31825
3387413.0,42.544,42.45,42.51,42.83,42.06,1708059600000,39274
7290469.0,41.5269,42.0,41.65,42.34,40.91,1708405200000,71766
6625101.0,42.246,39.55,42.24,43.05,39.5,1708491600000,76669
3514797.0,41.7936,42.75,41.47,42.87,41.38,1708578000000,41189
3736901.0,41.9582,41.26,41.65,42.54,41.15,1708664400000,41955
3907854.0,41.0423,41.38,40.83,41.89,40.655,1708923600000,43993
4739868.0,42.0648,41.33,41.96,42.51,41.33,1709010000000,44969
2424085.0,41.5916,41.4,41.44,42.0,41.22,1709096400000,31053
4192643.0,43.0676,42.05,43.47,43.53,41.45,1709182800000,40075
2846665.0,42.8365,43.38,42.96,43.38,42.0375,1709269200000,39218
3010372.0,41.897,42.73,41.57,42.75,41.52,1709528400000,34918
2283022.0,41.297,41.23,41.08,41.98,40.93,1709614800000,27118
1988671.0,41.137,41.93,40.99,41.93,40.775,1709701200000,26319
2071828.0,41.7264,41.06,41.69,42.09,41.06,1709787600000,21876
1992940.0,42.3801,42.43,42.13,43.09,42.11,1709874000000,25048
2030264.0,42.8687,41.92,42.63,43.66,41.79,1710129600000,28099
2530558.0,42.4799,42.61,42.24,43.06,42.19,1710216000000,31875
1757256.0,41.8958,42.17,41.61,42.67,41.54,1710302400000,26841
5099811.0,40.3332,41.58,39.92,41.67,39.725,1710388800000,52137
5458427.0,39.4111,39.63,39.17,40.44,39.07,1710475200000,51898
2770501.0,39.9086,39.46,39.83,40.37,39.23,1710734400000,37799
1768228.0,40.0804,39.62,40.3,40.405,39.43,1710820800000,23826
2536471.0,41.0946,40.26,41.74,41.81,40.2,1710907200000,32943
1968287.0,41.9945,42.0,41.63,42.66,41.56,1710993600000,25458
1802365.0,41.297,41.62,41.31,42.0,40.86,1711080000000,24784
2619933.0,41.5867,41.33,41.72,42.22,41.13,1711339200000,29385
5032625.0,43.1678,42.27,42.71,43.83,42.08,1711425600000,48637
2724879.0,43.1698,43.0,43.36,43.64,42.89,1711512000000,31472
2470401.0,43.7259,43.71,43.74,43.95,43.42,1711598400000,28814
2809108.0,43.7068,44.0,43.17,44.42,43.12,1711944000000,35526
2714924.0,42.0005,42.564,41.84,42.7,41.74,1712030400000,35586
3102026.0,43.1362,41.66,43.33,43.59,41.57,1712116800000,37676
3486535.0,43.3425,44.11,42.33,44.67,42.27,1712203200000,44240
