v,vw,o,c,h,l,t,n
5804504.0,41.6249,42.1,41.7,42.16,41.14,1692936000000,55906
4454461.0,42.2142,41.73,42.41,42.44,41.73,1693195200000,46240
8969798.0,43.5594,42.37,43.77,44.06,42.24,1693281600000,72190
5511876.0,43.4707,43.78,43.23,43.85,43.22,1693368000000,51402
6506536.0,42.9551,43.54,42.88,43.575,42.43,1693454400000,57115
5200316.0,42.6977,43.1,42.86,43.19,42.34,1693540800000,49035
8261237.0,41.7878,42.48,41.76,42.505,41.305,1693886400000,78395
7535169.0,41.931,41.49,41.71,42.71,41.49,1693972800000,72418
7242765.0,41.2019,41.5,41.13,41.67,40.97,1694059200000,63600
8050643.0,40.9892,41.15,40.82,41.5,40.75,1694145600000,54315
6422515.0,40.9453,41.1,40.84,41.19,40.73,1694404800000,57679
6839993.0,40.8138,40.91,40.69,41.2499,40.605,1694491200000,53607
11263034.0,39.5975,39.5,39.55,40.1,39.28,1694577600000,87882
13190351.0,39.3882,40.2,39.33,40.28,38.93,1694664000000,90739
9842316.0,39.7508,39.3,39.9,40.11,39.11,1694750400000,76966
8517674.0,39.0627,39.58,38.89,39.83,38.73,1695009600000,66640
8176313.0,39.2352,38.87,39.45,39.52,38.64,1695096000000,57471
7003737.0,39.2335,39.77,38.88,39.87,38.77,1695182400000,62373
7942226.0,38.5003,38.58,38.3,38.93,38.21,1695268800000,62748
7757367.0,37.8181,38.38,37.67,38.42,37.52,1695355200000,63219
7346905.0,37.4953,37.4,37.56,37.73,37.1,1695614400000,58830
8988923.0,37.0505,37.2,36.77,37.7,36.72,1695700800000,67400
7996873.0,36.7807,36.77,36.66,37.15,36.525,1695787200000,67713
8247637.0,37.0421,36.7,36.95,37.465,36.41,1695873600000,67868
7990323.0,37.1148,37.25,37.0,37.4812,36.745,1695960000000,57461
5799811.0,36.5996,36.97,36.45,37.2,36.3,1696219200000,67141
9406117.0,35.5247,36.14,35.24,36.29,35.125,1696305600000,76852
9430520.0,35.9507,35.47,36.06,36.26,35.3601,1696392000000,84142
8342230.0,36.3234,36.47,36.44,36.6525,36.01,1696478400000,64500
9785230.0,36.9032,36.33,37.0,37.33,36.26,1696564800000,89441
14475904.0,35.1758,35.71,35.28,35.79,34.685,1696824000000,114512
12365670.0,36.0691,35.74,35.83,36.67,35.71,1696910400000,105500
14319285.0,35.9071,35.76,35.98,36.6189,35.34,1696996800000,95935
29838645.0,35.682,37.01,35.15,37.065,34.92,1697083200000,185223
14437922.0,34.4059,34.78,34.1,35.43,33.95,1697169600000,110965
10136941.0,34.3885,34.11,34.42,34.75,33.89,1697428800000,83980
10331876.0,34.7375,34.33,34.68,35.185,34.27,1697515200000,79529
14724518.0,33.2732,34.1,33.14,34.1,33.02,1697601600000,117555
13407123.0,33.1134,33.21,32.71,33.62,32.66,1697688000000,107185
8364856.0,32.3776,32.59,32.23,32.72,32.19,1697774400000,76403
12427624.0,32.2063,32.0,32.04,32.585,31.7812,1698033600000,90586
8662801.0,32.0922,32.1,32.02,32.445,31.89,1698120000000,75127
11186380.0,31.4843,31.86,31.41,31.925,31.33,1698206400000,83922
10230830.0,31.603,31.48,31.6,32.0,31.18,1698292800000,87873
10826527.0,30.9835,31.76,30.65,31.8,30.6,1698379200000,92300
10783076.0,31.171,30.85,31.23,31.4,30.85,1698638400000,84638
9104307.0,31.089,31.14,31.25,31.315,30.7631,1698724800000,68850
9336733.0,31.1769,31.39,31.11,31.5978,30.835,1698811200000,78820
9711720.0,31.8892,31.66,32.02,32.09,31.57,1698897600000,82025
12310150.0,33.2344,32.56,33.35,33.525,32.51,1698984000000,102299
8225820.0,32.9354,33.63,32.92,33.73,32.46,1699246800000,71483
10497706.0,33.1819,33.01,33.44,33.52,32.6057,1699333200000,78987
14144087.0,34.3136,33.75,34.17,34.7099,33.72,1699419600000,104688
8513135.0,33.9259,34.42,33.48,34.625,33.308,1699506000000,66177
7495045.0,33.8105,33.6,34.06,34.13,33.44,1699592400000,57889
7144354.0,34.1461,33.79,34.17,34.39,33.69,1699851600000,64262
10993784.0,35.2368,35.12,35.24,35.495,34.87,1699938000000,81593
10580573.0,35.8751,35.51,35.76,36.46,35.5,1700024400000,74670
7756310.0,35.5696,35.69,35.51,36.19,35.28,1700110800000,57546
8455669.0,35.8265,35.78,36.06,36.09,35.52,1700197200000,61107
7787588.0,36.2931,35.95,36.5,36.595,35.72,1700456400000,59801
7344953.0,35.9165,36.28,35.88,36.345,35.7,1700542800000,50499
12378494.0,36.4345,36.8,35.95,37.04,35.78,1700629200000,88716
4392637.0,36.0806,36.16,36.1,36.33,35.945,1700802000000,33251
7147105.0,35.8591,35.89,35.84,36.0,35.67,1701061200000,52484
7810171.0,35.8297,35.91,36.04,36.125,35.455,1701147600000,58098
9311616.0,36.6861,36.36,36.64,36.915,36.34,1701234000000,72136
11343790.0,36.8129,36.71,36.93,37.225,36.19,1701320400000,69976
11014210.0,37.8437,36.98,38.05,38.12,36.973,1701406800000,81191
9367618.0,38.2584,38.0,38.16,38.66,37.71,1701666000000,77240
7828075.0,37.6673,37.76,37.61,37.93,37.37,1701752400000,60651
12499667.0,39.0977,38.24,38.94,39.5169,38.13,1701838800000,98717
12122561.0,40.2071,39.45,40.34,40.52,39.41,1701925200000,90367
8728373.0,40.4058,40.26,40.35,40.74,39.86,1702011600000,67935
7295410.0,40.4279,40.41,40.51,40.63,40.11,1702270800000,58106
8448884.0,41.1961,40.52,41.24,41.46,40.52,1702357200000,66632
12821302.0,40.8589,40.87,41.19,41.36,40.12,1702443600000,80538
14530830.0,42.2977,41.53,42.44,42.7,41.485,1702530000000,103824
12907195.0,42.3182,42.59,42.34,42.59,41.98,1702616400000,81261
8624007.0,41.3173,42.0,41.18,42.18,41.1,1702875600000,70330
7559963.0,41.3451,41.42,41.15,41.71,41.06,1702962000000,63542
9695096.0,40.7661,40.77,40.34,41.43,40.27,1703048400000,76075
7709440.0,41.1052,40.86,41.12,41.595,40.765,1703134800000,62872
6838950.0,41.1053,41.06,41.13,41.28,40.885,1703221200000,52804
4722943.0,40.9135,41.01,40.76,41.13,40.75,1703566800000,42824
4486394.0,40.5662,40.72,40.59,40.875,40.4,1703653200000,42149
4558128.0,40.5918,40.5,40.63,40.72,40.45,1703739600000,43804
8624237.0,40.2916,40.53,40.23,40.66,39.975,1703826000000,72254
9483809.0,40.3685,39.97,40.45,40.94,39.57,1704171600000,81525
11846182.0,38.9838,39.66,38.74,39.8,38.67,1704258000000,89508
8355771.0,39.2472,38.74,39.2,39.68,38.66,1704344400000,68008
11060002.0,40.4155,39.15,40.54,40.745,39.055,1704430800000,78624
11967363.0,41.6414,41.23,41.63,42.1,41.11,1704690000000,101213
11893973.0,42.0095,41.4,42.32,42.39,41.29,1704776400000,99181
10255612.0,42.2575,42.23,42.11,42.52,41.98,1704862800000,88739
10485177.0,42.0484,41.85,42.26,42.3702,41.475,1704949200000,87671
42272150.0,38.9994,40.15,38.47,40.76,38.38,1705035600000,259425
27511583.0,37.0725,38.14,37.47,38.1901,36.34,1705381200000,192874
11165755.0,37.376,37.3,37.14,37.97,36.99,1705467600000,83879
13540755.0,37.7908,37.3,38.09,38.28,37.15,1705554000000,97666
19117351.0,37.1302,38.18,37.28,38.25,36.69,1705640400000,125146
11661664.0,37.4409,37.66,36.98,38.18,36.98,1705899600000,83348
15332524.0,38.1868,38.06,38.01,38.97,37.67,1705986000000,119994
9694902.0,38.2555,38.4,38.19,38.7,38.03,1706072400000,73079
19386360.0,39.8046,39.05,40.18,40.31,39.01,1706158800000,138326
8126635.0,39.8626,40.26,39.63,40.57,39.59,1706245200000,66774
7247460.0,39.9156,39.62,40.09,40.17,39.3436,1706504400000,63384
6550800.0,39.6849,39.59,39.52,40.03,39.41,1706590800000,56530
8183349.0,39.343,39.39,39.14,39.75,38.8801,1706677200000,69578
9865532.0,39.3301,39.41,39.76,39.805,38.605,1706763600000,68545
7513472.0,39.7809,39.45,39.98,40.125,39.16,1706850000000,59608
7931933.0,39.2595,39.44,39.24,39.545,38.96,1707109200000,62006
7582115.0,40.0077,39.26,40.18,40.2762,39.04,1707195600000,66354
6543996.0,40.1005,40.31,40.21,40.42,39.79,1707282000000,53363
7611499.0,40.09,40.3,40.35,40.49,39.55,1707368400000,59231
7769372.0,40.3057,40.52,40.51,40.8702,39.96,1707454800000,64329
6677295.0,40.5488,40.32,40.58,40.94,40.28,1707714000000,60976
8855311.0,39.8344,39.84,40.01,40.1,39.36,1707800400000,70456
8961813.0,40.5945,40.38,40.84,41.13,39.95,1707886800000,77396
7291490.0,41.0835,41.19,41.0,41.42,40.8,1707973200000,65896
7674120.0,40.2946,40.55,40.12,40.6268,39.98,1708059600000,66803
