v,vw,o,c,h,l,t,n
21108290.0,31.276,31.44,31.31,31.56,31.06,1692936000000,49289
14923760.0,31.4074,31.28,31.69,31.74,31.1234,1693195200000,37801
18879512.0,32.0392,31.71,32.14,32.22,31.58,1693281600000,44018
15720636.0,31.9307,32.13,31.83,32.17,31.775,1693368000000,36120
29862144.0,31.0676,31.41,30.85,31.43,30.85,1693454400000,69737
22478508.0,31.4764,31.57,31.44,31.67,31.3,1693540800000,52822
21189455.0,31.1707,30.99,31.16,31.355,30.95,1693886400000,53543
16607581.0,30.9424,31.09,30.76,31.42,30.71,1693972800000,43866
20220096.0,30.274,30.5,30.16,30.55,30.09,1694059200000,58232
17908180.0,30.5576,30.61,30.58,30.7,30.395,1694145600000,40996
22393113.0,31.1913,31.1,31.33,31.38,30.945,1694404800000,56061
21148246.0,31.4782,31.15,31.45,31.61,31.15,1694491200000,58547
33196972.0,31.9411,31.64,31.8,32.175,31.64,1694577600000,75971
23233770.0,32.3639,32.11,32.4,32.49,32.08,1694664000000,52147
19297579.0,32.3551,32.47,32.26,32.53,32.22,1694750400000,48735
18290674.0,32.3755,32.6,32.26,32.6397,32.2143,1695009600000,41680
13672614.0,32.1624,32.32,32.04,32.34,31.99,1695096000000,37529
24732072.0,32.486,32.33,32.29,32.7,32.26,1695182400000,56776
24687056.0,31.3665,31.46,31.2,31.615,31.17,1695268800000,64511
17867769.0,31.3258,31.37,31.17,31.575,31.17,1695355200000,40756
20674978.0,30.9873,31.02,31.0,31.105,30.86,1695614400000,40755
20042322.0,30.5438,30.72,30.43,30.855,30.325,1695700800000,45331
30559237.0,30.0286,30.53,30.06,30.56,29.68,1695787200000,66571
27455956.0,30.3158,29.98,30.46,30.5299,29.885,1695873600000,61275
22991424.0,30.7251,30.88,30.67,30.95,30.5001,1695960000000,59534
22757050.0,30.1339,30.54,30.07,30.56,29.935,1696219200000,72381
33611302.0,29.4409,29.82,29.14,30.055,29.075,1696305600000,95706
22361897.0,29.2136,29.18,29.21,29.48,28.9,1696392000000,69127
22945386.0,29.0141,29.22,29.1,29.4,28.79,1696478400000,72313
33255054.0,29.0555,28.67,29.35,29.52,28.415,1696564800000,90031
20116371.0,29.5321,29.29,29.79,29.85,29.17,1696824000000,55771
