v,vw,o,c,h,l,t,n
1272022.0,23.7128,23.58,23.76,23.825,23.455,1692936000000,12795
800413.0,23.7144,23.7,23.66,23.895,23.64,1693195200000,10014
1568198.0,23.4771,23.74,23.56,23.74,23.29,1693281600000,15200
1764739.0,23.5946,23.67,23.61,23.73,23.455,1693368000000,14502
2168496.0,23.5408,23.45,23.56,23.66,23.355,1693454400000,17619
1186888.0,23.1249,23.59,23.04,23.65,23.02,1693540800000,13713
1385525.0,22.735,22.93,22.67,23.095,22.615,1693886400000,17629
1627184.0,22.5557,22.67,22.56,22.69,22.47,1693972800000,18439
2852927.0,22.9153,22.63,23.0,23.085,22.58,1694059200000,23203
2082327.0,22.9759,23.05,23.06,23.07,22.765,1694145600000,19708
1485028.0,23.4438,23.1,23.39,23.615,23.03,1694404800000,16112
991375.0,23.1209,23.47,23.09,23.47,23.015,1694491200000,12419
1143029.0,22.9458,23.16,22.91,23.16,22.86,1694577600000,14797
1478567.0,23.0666,22.93,23.11,23.14,22.9,1694664000000,17451
3523265.0,22.9197,22.98,22.9,23.23,22.83,1694750400000,17014
1513557.0,23.1871,23.05,23.25,23.31,22.84,1695009600000,12999
1299348.0,23.1657,23.25,23.09,23.36,23.08,1695096000000,12743
1098245.0,23.3182,23.18,23.32,23.41,23.09,1695182400000,11934
1381384.0,23.2747,23.27,23.19,23.495,23.16,1695268800000,14662
872579.0,23.0626,23.22,22.92,23.27,22.915,1695355200000,10668
860687.0,22.7643,22.92,22.7,22.96,22.69,1695614400000,9308
836549.0,22.6536,22.69,22.6,22.7662,22.56,1695700800000,10257
1275105.0,22.2696,22.62,22.22,22.67,22.08,1695787200000,13036
1539211.0,22.2653,22.25,22.26,22.34,22.13,1695873600000,18191
1196841.0,22.2264,22.3,22.18,22.395,22.155,1695960000000,14636
1176747.0,21.8325,22.17,21.88,22.18,21.67,1696219200000,14370
1224521.0,21.6912,21.77,21.69,21.855,21.605,1696305600000,12350
1759782.0,21.8883,21.69,22.03,22.065,21.465,1696392000000,17575
1248183.0,21.7549,22.06,21.62,22.11,21.585,1696478400000,14794
1235709.0,21.3759,21.49,21.45,21.53,20.98,1696564800000,15376
1019537.0,21.4919,21.36,21.56,21.6,21.295,1696824000000,13269
1313563.0,21.6275,21.64,21.64,21.73,21.51,1696910400000,13978
1528529.0,21.3511,21.66,21.31,21.7,21.22,1696996800000,14332
2983543.0,20.4483,21.32,20.37,21.32,20.235,1697083200000,25225
1782903.0,20.5176,20.49,20.54,20.64,20.395,1697169600000,18001
1252005.0,20.6563,20.67,20.64,20.77,20.545,1697428800000,14214
1717114.0,20.9242,20.55,20.94,21.04,20.55,1697515200000,17242
