v,vw,o,c,h,l,t,n
15352008.0,28.385,28.62,28.4,28.85,28.015,1692936000000,70715
18153913.0,28.9509,28.54,29.0,29.13,28.42,1693195200000,64285
19623178.0,29.3481,28.89,29.53,29.53,28.82,1693281600000,82227
14524025.0,29.6148,29.78,29.52,30.0,29.4101,1693368000000,62184
16439517.0,29.2841,29.52,29.26,29.63,29.04,1693454400000,59940
20828498.0,29.2672,29.66,29.09,29.85,29.06,1693540800000,81391
19547850.0,28.5665,28.8199,28.49,29.03,28.365,1693886400000,81051
13809732.0,28.4296,28.33,28.47,28.74,28.24,1693972800000,51449
13897235.0,28.281,28.41,28.28,28.46,28.16,1694059200000,54591
17251287.0,28.4248,28.39,28.34,28.81,28.28,1694145600000,52450
13542829.0,28.7415,28.76,28.77,28.955,28.6,1694404800000,53536
9549625.0,28.8177,28.4,28.79,29.04,28.3807,1694491200000,50207
10508918.0,28.7229,28.8,28.72,28.98,28.58,1694577600000,40894
15558571.0,29.1565,28.75,29.11,29.35,28.74,1694664000000,68260
24778893.0,29.7274,29.42,29.72,29.885,29.4,1694750400000,85949
11023981.0,29.6627,29.64,29.75,29.86,29.36,1695009600000,48047
13154295.0,29.44,29.84,29.4,29.86,29.31,1695096000000,51370
21914090.0,29.8803,29.46,29.71,30.13,29.44,1695182400000,86248
23905165.0,28.9654,29.09,28.91,29.245,28.785,1695268800000,89973
15054636.0,29.0667,29.15,28.87,29.415,28.85,1695355200000,59011
16134994.0,28.4919,28.771,28.51,28.79,28.26,1695614400000,71498
18917025.0,27.9492,28.26,27.74,28.325,27.74,1695700800000,68457
33534666.0,26.9961,27.56,26.91,27.6,26.66,1695787200000,127606
28477318.0,26.9042,26.87,27.05,27.0812,26.62,1695873600000,94458
23061170.0,26.9613,27.4582,26.91,27.59,26.66,1695960000000,85489
28436816.0,26.0811,26.555,25.99,26.56,25.885,1696219200000,106504
25713126.0,26.0601,25.91,26.07,26.28,25.68,1696305600000,98880
17971600.0,25.8396,26.13,25.91,26.17,25.62,1696392000000,76685
15613202.0,26.1457,25.89,26.32,26.33,25.88,1696478400000,56910
