v,vw,o,c,h,l,t,n
659946.0,21.4442,21.37,21.51,21.655,21.18,1692936000000,9012
465621.0,21.7219,21.63,21.69,22.0199,21.52,1693195200000,7269
426296.0,21.8194,21.77,21.84,21.94,21.61,1693281600000,6480
593269.0,21.9973,21.77,22.09,22.195,21.67,1693368000000,8207
1029776.0,22.2252,22.16,22.1,22.52,21.85,1693454400000,12751
776348.0,22.7335,22.39,22.88,22.92,22.3,1693540800000,9729
778273.0,22.6124,22.88,22.6,23.265,22.26,1693886400000,8801
688944.0,22.7558,22.65,22.8,22.94,22.56,1693972800000,9501
661970.0,22.6948,22.78,22.58,22.93,22.53,1694059200000,9025
1193122.0,22.462,22.79,22.6,22.79,22.25,1694145600000,9336
1375588.0,23.4158,22.7,23.22,24.01,22.7,1694404800000,16085
1063900.0,23.7832,23.37,23.87,23.9,23.3,1694491200000,12888
672823.0,23.6659,23.89,23.62,24.005,23.505,1694577600000,9563
534958.0,23.937,23.89,23.91,24.19,23.79,1694664000000,8831
827171.0,23.8405,23.9,23.77,24.1,23.715,1694750400000,9554
723892.0,23.9094,23.83,23.85,24.09,23.6176,1695009600000,9206
799327.0,23.5042,24.0,23.36,24.135,23.29,1695096000000,9978
480156.0,23.308,23.34,23.23,23.51,23.21,1695182400000,6784
475800.0,23.1112,23.2,23.07,23.4,22.9695,1695268800000,6590
756568.0,23.1387,23.15,23.13,23.34,22.98,1695355200000,9258
837314.0,23.3766,23.12,23.45,23.5,22.98,1695614400000,9677
1219970.0,23.3915,23.26,23.39,23.62,23.12,1695700800000,12282
1077695.0,23.6355,23.6,23.61,23.825,23.475,1695787200000,9995
795918.0,23.7462,23.67,23.83,23.93,23.525,1695873600000,8833
953259.0,24.1863,23.94,24.26,24.36,23.87,1695960000000,11480
947460.0,23.4729,24.26,23.34,24.27,23.23,1696219200000,13394
982761.0,22.9471,23.16,23.08,23.2,22.52,1696305600000,13581
956087.0,22.0989,22.93,22.06,23.02,21.85,1696392000000,15066
767386.0,22.4871,21.91,22.63,22.655,21.91,1696478400000,10148
657814.0,22.7753,22.7,22.78,22.955,22.45,1696564800000,7413
947095.0,23.6653,23.29,23.67,23.838,23.2,1696824000000,10737
854302.0,23.9175,23.77,23.94,24.01,23.65,1696910400000,9594
469377.0,23.6598,23.712,23.7,23.83,23.455,1696996800000,8300
465817.0,23.6971,23.88,23.68,23.88,23.54,1697083200000,6920
817408.0,24.1018,23.99,24.09,24.24,23.875,1697169600000,10791
678397.0,23.9452,24.18,24.07,24.18,23.67,1697428800000,8489
601152.0,24.2143,24.0,24.22,24.389,23.55,1697515200000,8610
786368.0,24.195,24.15,24.21,24.34,23.975,1697601600000,11140
968920.0,23.4679,23.9,23.28,23.95,23.275,1697688000000,12925
903318.0,23.4794,23.38,23.55,23.67,23.17,1697774400000,10852
644872.0,23.4363,23.38,23.47,23.63,23.0975,1698033600000,9932
1021090.0,23.6091,23.51,23.59,23.76,23.47,1698120000000,9310
1084345.0,23.1545,23.47,23.04,23.65,22.98,1698206400000,11299
1059190.0,22.8642,22.99,22.93,23.09,22.67,1698292800000,11610
768952.0,22.5191,22.93,22.44,22.95,22.385,1698379200000,9119
571993.0,22.4013,22.68,22.41,22.815,22.18,1698638400000,7931
714169.0,22.3774,22.41,22.43,22.68,22.21,1698724800000,8709
413846.0,22.4919,22.43,22.46,22.76,22.3,1698811200000,7350
1262254.0,22.9489,22.47,23.2,23.21,22.38,1698897600000,13115
781365.0,22.9715,23.4,23.07,23.4,22.64,1698984000000,10419
1104708.0,22.9164,23.23,22.9,23.24,22.81,1699246800000,8865
1564470.0,22.2579,22.63,22.21,22.63,22.14,1699333200000,12436
1028835.0,22.0379,22.24,21.99,22.28,21.89,1699419600000,11400
1191732.0,21.9347,22.13,21.81,22.225,21.785,1699506000000,13995
468117.0,22.025,21.9,22.01,22.13,21.88,1699592400000,7538
484758.0,22.2232,21.9,22.23,22.35,21.9,1699851600000,6571
1009484.0,22.447,22.5,22.56,22.61,22.155,1699938000000,11405
968848.0,22.3972,22.46,22.26,22.82,22.24,1700024400000,9145
988681.0,21.783,22.14,21.74,22.2,21.56,1700110800000,10664
1691301.0,22.0369,21.93,22.03,22.235,21.79,1700197200000,17310
1460040.0,22.1151,22.34,21.99,22.87,21.875,1700456400000,17495
2021825.0,20.9151,21.87,20.75,22.01,20.67,1700542800000,22777
