v,vw,o,c,h,l,t,n
635461.0,32.3484,32.11,32.46,32.47,32.01,1692936000000,12043
735328.0,31.7096,32.41,31.56,32.49,31.43,1693195200000,12837
1091099.0,31.0475,31.46,31.03,31.64,30.75,1693281600000,19893
971335.0,31.1462,31.03,31.01,31.44,30.91,1693368000000,16166
1118996.0,30.9563,30.83,30.85,31.29,30.7,1693454400000,16382
810783.0,30.5616,30.75,30.57,30.85,30.38,1693540800000,13870
1295905.0,30.637,30.56,30.46,31.19,30.38,1693886400000,21232
908419.0,30.0125,30.37,30.01,30.5,29.86,1693972800000,16440
1326207.0,30.2449,30.09,30.26,30.405,29.98,1694059200000,17687
669415.0,30.6537,30.31,30.68,30.76,30.26,1694145600000,13706
694421.0,30.4591,30.68,30.38,30.719,30.32,1694404800000,14234
762471.0,30.1193,30.44,30.11,30.48,29.925,1694491200000,14874
847835.0,29.9747,30.41,29.9,30.41,29.785,1694577600000,16890
872740.0,29.9815,29.93,30.01,30.21,29.84,1694664000000,14872
2385143.0,30.0951,29.95,30.09,30.335,29.76,1694750400000,16452
1312550.0,29.4339,30.07,29.23,30.23,29.065,1695009600000,18821
1418397.0,28.6446,29.2,28.64,29.28,28.445,1695096000000,20665
1456558.0,29.5282,29.075,29.58,29.76,28.69,1695182400000,21322
1043357.0,28.7462,29.54,28.41,29.63,28.39,1695268800000,15987
855633.0,28.7147,28.42,28.8,28.94,28.19,1695355200000,14977
603394.0,29.1831,28.77,29.32,29.34,28.65,1695614400000,10636
667915.0,28.906,29.27,28.85,29.33,28.725,1695700800000,13147
650414.0,28.7965,28.93,28.86,29.03,28.54,1695787200000,13172
666260.0,28.9726,28.93,28.94,29.13,28.79,1695873600000,12278
749698.0,28.9176,29.07,28.85,29.215,28.72,1695960000000,13710
918100.0,28.7272,28.83,28.67,29.28,28.53,1696219200000,15185
1122774.0,28.5557,28.54,28.45,28.77,28.385,1696305600000,15783
851033.0,28.4989,28.55,28.55,28.75,28.17,1696392000000,15380
560843.0,28.3143,28.45,28.24,28.519,28.16,1696478400000,11718
988507.0,27.5067,28.23,27.29,28.27,27.26,1696564800000,17024
1355145.0,26.4996,27.11,26.34,27.14,26.16,1696824000000,22645
1452353.0,27.1224,26.33,27.3,27.31,26.33,1696910400000,21639
856320.0,26.8727,27.36,26.8,27.3733,26.68,1696996800000,13398
823609.0,26.7384,26.83,26.84,26.96,26.465,1697083200000,15273
866039.0,27.449,26.92,27.52,27.68,26.78,1697169600000,16011
535463.0,27.6527,27.67,27.51,27.99,27.51,1697428800000,11193
853725.0,28.231,27.49,28.13,28.54,27.49,1697515200000,15341
587581.0,27.9219,28.13,27.87,28.21,27.72,1697601600000,11398
762507.0,27.5002,27.8,27.43,27.85,27.34,1697688000000,14009
507525.0,27.6145,27.68,27.58,27.82,27.47,1697774400000,8766
1209669.0,27.3893,27.56,27.31,27.76,27.18,1698033600000,17145
724498.0,27.3445,27.48,27.27,27.67,27.18,1698120000000,12607
724175.0,27.4095,27.27,27.44,27.535,27.1,1698206400000,12572
1454639.0,27.2121,27.52,27.34,27.68,27.05,1698292800000,10224
720856.0,27.1007,27.37,27.05,27.41,27.01,1698379200000,10055
1235435.0,27.6867,27.16,27.75,27.95,27.09,1698638400000,18231
861924.0,27.7434,27.7,27.67,28.0,27.47,1698724800000,16748
1094754.0,27.8936,27.71,27.94,28.13,27.26,1698811200000,17103
1104985.0,28.3425,28.03,28.43,28.485,27.9,1698897600000,17321
888546.0,28.4446,28.54,28.36,28.86,28.29,1698984000000,14823
1104852.0,28.3146,28.26,28.27,28.645,28.125,1699246800000,16658
1219811.0,28.5115,28.4,28.46,28.84,28.16,1699333200000,20418
1973487.0,27.0171,27.0,27.15,27.81,26.51,1699419600000,28830
955792.0,27.011,27.23,27.08,27.4,26.78,1699506000000,16764
882637.0,27.2647,27.2,27.44,27.45,26.9073,1699592400000,14398
1221996.0,27.9013,27.44,27.99,28.095,27.18,1699851600000,18690
1478189.0,29.0114,28.18,29.06,29.32,28.18,1699938000000,20900
1567956.0,29.7687,29.16,29.69,29.98,29.075,1700024400000,22013
1159167.0,28.578,29.38,28.44,29.38,28.43,1700110800000,14365
1023196.0,28.0398,28.63,28.01,28.94,27.81,1700197200000,14435
780384.0,28.1292,27.99,28.18,28.24,27.88,1700456400000,12042
851627.0,28.4702,28.16,28.41,28.67,28.01,1700542800000,17013
544905.0,28.7899,28.58,28.82,28.98,28.58,1700629200000,10813
425774.0,28.6928,28.81,28.52,29.04,28.48,1700802000000,7622
740833.0,28.7317,28.52,28.71,28.9,28.44,1701061200000,14105
836439.0,28.3394,28.59,28.21,28.67,28.18,1701147600000,12719
716154.0,28.0281,28.35,27.93,28.53,27.875,1701234000000,13075
1293301.0,28.087,27.8,28.21,28.245,27.41,1701320400000,14790
583948.0,28.3944,28.25,28.47,28.55,28.04,1701406800000,11009
767243.0,29.1988,28.48,29.16,29.43,28.47,1701666000000,14261
611176.0,29.0189,29.17,28.96,29.29,28.89,1701752400000,13413
1203760.0,29.4019,28.97,29.5,29.53,28.705,1701838800000,16582
1030112.0,29.5972,29.7,29.54,29.8,29.42,1701925200000,13352
496881.0,29.326,29.68,29.25,29.76,29.1,1702011600000,10141
769304.0,29.5698,29.33,29.74,29.75,29.33,1702270800000,12874
2249816.0,27.8032,27.78,27.91,28.28,27.22,1702357200000,23007
919013.0,28.7469,28.01,29.19,29.21,27.895,1702443600000,16282
861791.0,28.788,29.5,28.78,29.8,28.54,1702530000000,16486
1454977.0,28.7155,28.94,28.67,28.99,28.64,1702616400000,12591
1006882.0,28.4626,28.75,28.39,29.0,28.18,1702875600000,16028
1378232.0,27.9073,28.47,27.92,28.515,27.66,1702962000000,19145
1689853.0,27.4131,27.92,27.0,27.92,26.97,1703048400000,23243
1333586.0,27.1738,27.08,27.24,27.34,26.97,1703134800000,17756
1309486.0,27.4922,27.27,27.37,27.7,27.16,1703221200000,17161
1745309.0,27.3513,27.44,27.24,27.63,27.12,1703566800000,19023
