v,vw,o,c,h,l,t,n
1602182.0,21.7444,21.68,21.76,21.875,21.555,1692936000000,17419
2497616.0,21.9218,21.73,21.93,22.045,21.65,1693195200000,21403
2362079.0,22.1888,21.96,22.25,22.28,21.91,1693281600000,20765
1915367.0,22.4118,22.32,22.4,22.5,22.26,1693368000000,19576
4049467.0,22.3013,22.41,22.24,22.52,22.22,1693454400000,23864
2576710.0,22.4326,22.37,22.49,22.54,22.25,1693540800000,23701
2274666.0,21.9387,22.22,21.84,22.49,21.84,1693886400000,24933
2269393.0,21.8249,21.86,21.76,22.05,21.655,1693972800000,24258
5211869.0,21.8511,21.81,21.89,22.12,21.71,1694059200000,40343
3110403.0,22.0876,21.91,22.1,22.2,21.82,1694145600000,25769
2412255.0,21.9403,22.26,21.91,22.34,21.8,1694404800000,24884
2981154.0,22.0403,21.93,22.04,22.155,21.85,1694491200000,25026
4351375.0,22.3933,22.09,22.45,22.515,22.09,1694577600000,38670
6819058.0,23.1962,22.58,23.35,23.43,22.515,1694664000000,48849
8410420.0,23.4644,23.28,23.5,23.57,23.22,1694750400000,40885
4138324.0,23.3068,23.43,23.28,23.435,23.195,1695009600000,30583
3220000.0,23.3279,23.36,23.3,23.495,23.225,1695096000000,27090
3701165.0,22.9721,23.3,22.83,23.36,22.78,1695182400000,30322
2612500.0,22.96,22.99,22.9,23.15,22.83,1695268800000,22646
2137580.0,22.7137,22.95,22.58,23.09,22.57,1695355200000,17985
2866030.0,22.8047,22.51,22.8,22.905,22.48,1695614400000,21645
2284430.0,22.4727,22.75,22.35,22.77,22.35,1695700800000,19935
3315110.0,22.2199,22.52,22.16,22.52,22.1,1695787200000,28900
4041163.0,22.1146,22.28,22.25,22.35,21.79,1695873600000,45690
3682836.0,22.2956,22.17,22.28,22.5,22.165,1695960000000,26818
4006734.0,21.8757,22.19,21.84,22.26,21.69,1696219200000,34305
3047006.0,21.7851,21.64,21.83,21.86,21.515,1696305600000,32264
2691472.0,21.8004,21.93,21.83,21.95,21.535,1696392000000,23456
3453300.0,21.565,21.78,21.49,21.84,21.46,1696478400000,29943
4583103.0,21.1765,21.59,21.2,21.59,20.97,1696564800000,33734
3197260.0,21.4069,21.12,21.5,21.585,21.12,1696824000000,24529
2603774.0,21.7024,21.62,21.78,21.82,21.361,1696910400000,20189
3883500.0,21.3884,21.83,21.32,21.83,21.25,1696996800000,24446
3178601.0,20.9133,21.3,20.86,21.3,20.695,1697083200000,26195
1902036.0,20.9185,21.015,20.93,21.07,20.79,1697169600000,19409
2938607.0,21.2675,21.15,21.21,21.48,20.96,1697428800000,22621
3505756.0,21.6315,21.12,21.69,21.76,21.12,1697515200000,23364
3203794.0,21.4606,21.46,21.4,21.74,21.28,1697601600000,26501
6285822.0,20.9323,20.55,20.91,21.125,20.35,1697688000000,47635
3480113.0,20.5481,21.0,20.43,21.0,20.37,1697774400000,28971
