v,vw,o,c,h,l,t,n
1628011.0,17.3251,17.22,17.33,17.47,17.13,1692936000000,13890
1547197.0,17.3817,17.35,17.36,17.5,17.31,1693195200000,10774
848098.0,17.4124,17.29,17.46,17.465,17.24,1693281600000,10407
1505355.0,17.5147,17.46,17.5,17.605,17.45,1693368000000,9481
1450259.0,17.5606,17.58,17.58,17.66,17.49,1693454400000,11990
1033034.0,17.7817,17.63,17.77,17.875,17.63,1693540800000,12066
2490006.0,17.3563,17.65,17.25,17.665,17.12,1693886400000,22485
1085104.0,17.2302,17.26,17.22,17.345,17.13,1693972800000,13891
1702823.0,17.2838,17.27,17.24,17.41,17.195,1694059200000,14720
1006381.0,17.3738,17.24,17.38,17.475,17.18,1694145600000,13345
1327752.0,17.2949,17.4,17.26,17.46,17.2,1694404800000,14196
1737350.0,17.4,17.28,17.46,17.475,17.25,1694491200000,20828
1436848.0,17.1585,17.5,17.12,17.55,17.015,1694577600000,14994
1629367.0,17.2084,17.2,17.22,17.32,17.14,1694664000000,15049
6076385.0,17.2541,17.13,17.28,17.29,17.1,1694750400000,19202
1205480.0,17.4679,17.36,17.48,17.55,17.275,1695009600000,12022
1493623.0,17.3187,17.52,17.3,17.57,17.245,1695096000000,15511
1614925.0,17.302,17.44,17.2,17.44,17.18,1695182400000,16718
1790362.0,17.0361,17.15,16.95,17.175,16.95,1695268800000,15450
1262288.0,16.9528,16.95,16.91,17.11,16.87,1695355200000,15593
1043678.0,16.9696,16.83,16.96,17.05,16.78,1695614400000,11402
1121640.0,16.8171,16.86,16.77,16.98,16.75,1695700800000,12841
1238425.0,16.7433,16.8,16.73,16.89,16.625,1695787200000,12826
1204664.0,16.9431,16.76,16.94,17.04,16.76,1695873600000,11607
2439171.0,16.8036,16.96,16.69,17.04,16.68,1695960000000,16234
1904963.0,16.6507,16.7,16.66,16.78,16.575,1696219200000,14298
2120608.0,16.4516,16.54,16.46,16.655,16.3,1696305600000,16162
2024388.0,16.7739,16.46,16.82,16.89,16.46,1696392000000,18006
2420038.0,17.0286,16.81,17.14,17.16,16.81,1696478400000,20107
1505431.0,17.1885,17.13,17.12,17.355,17.1,1696564800000,15604
1392877.0,17.2439,17.05,17.25,17.37,17.05,1696824000000,14375
1530495.0,17.3999,17.39,17.37,17.51,17.32,1696910400000,13307
1215275.0,17.5467,17.36,17.59,17.61,17.36,1696996800000,10800
1574838.0,17.4013,17.64,17.43,17.64,17.184,1697083200000,14080
1611473.0,17.2504,17.52,17.17,17.64,17.09,1697169600000,13597
1350484.0,17.4889,17.38,17.5,17.585,17.255,1697428800000,16109
1458440.0,17.5987,17.47,17.58,17.72,17.44,1697515200000,13357
1416603.0,17.3644,17.52,17.34,17.57,17.26,1697601600000,12939
2304381.0,16.9696,17.29,16.79,17.35,16.72,1697688000000,18769
2333155.0,16.7133,16.85,16.69,16.97,16.6,1697774400000,15341
2033387.0,16.6198,16.61,16.59,16.715,16.53,1698033600000,15069
1867850.0,16.6402,16.7,16.61,16.825,16.51,1698120000000,14174
1408791.0,16.595,16.53,16.54,16.71,16.51,1698206400000,12082
2101238.0,16.6441,16.62,16.55,16.835,16.53,1698292800000,19066
1768274.0,16.4368,16.52,16.46,16.6,16.32,1698379200000,22582
2639576.0,16.6833,16.57,16.69,16.74,16.545,1698638400000,18906
2822236.0,16.8698,16.68,16.84,16.97,16.68,1698724800000,18219
3005111.0,16.788,16.91,16.92,16.97,16.465,1698811200000,23825
1749401.0,17.1025,17.09,17.2,17.2,16.95,1698897600000,16100
1462984.0,17.6526,17.46,17.74,17.81,17.4,1698984000000,14933
1695442.0,17.6578,17.8,17.73,17.89,17.495,1699246800000,14345
1812799.0,17.5739,17.68,17.61,17.72,17.43,1699333200000,14532
1294392.0,17.3967,17.47,17.39,17.55,17.32,1699419600000,15277
1450051.0,17.3976,17.4,17.4,17.505,17.31,1699506000000,14868
1725002.0,17.6369,17.47,17.69,17.69,17.46,1699592400000,12795
1589166.0,17.6142,17.62,17.58,17.7275,17.57,1699851600000,16625
2078057.0,17.9028,17.82,17.91,17.965,17.82,1699938000000,16050
1402376.0,17.8687,17.76,17.85,17.96,17.76,1700024400000,11636
1600984.0,17.3971,17.83,17.3,17.92,17.25,1700110800000,13619
1681454.0,17.4935,17.41,17.51,17.56,17.4,1700197200000,12820
1181517.0,17.6031,17.52,17.59,17.655,17.488,1700456400000,11180
1242271.0,17.3973,17.52,17.37,17.63,17.35,1700542800000,11327
1079883.0,17.5674,17.51,17.56,17.66,17.495,1700629200000,10421
477189.0,17.6494,17.61,17.66,17.68,17.6,1700802000000,5607
1633971.0,17.6286,17.59,17.61,17.6885,17.57,1701061200000,13183
1092472.0,17.4605,17.55,17.42,17.61,17.4,1701147600000,12803
2445786.0,17.4236,17.49,17.34,17.635,17.31,1701234000000,19598
2153372.0,17.5751,17.37,17.59,17.69,17.325,1701320400000,16540
1614851.0,17.7155,17.56,17.73,17.86,17.485,1701406800000,16505
1508812.0,17.8833,17.68,17.93,17.95,17.68,1701666000000,17108
1476499.0,17.662,17.83,17.6,17.94,17.59,1701752400000,16876
1893488.0,17.5304,17.51,17.47,17.82,17.43,1701838800000,14784
1428084.0,17.6015,17.51,17.75,17.75,17.42,1701925200000,17727
1586624.0,18.0153,17.72,18.08,18.095,17.72,1702011600000,14325
1863389.0,18.2133,18.04,18.22,18.295,18.04,1702270800000,19661
1960677.0,18.35,18.19,18.31,18.44,18.16,1702357200000,14947
3333324.0,18.6051,18.38,18.69,18.75,18.38,1702443600000,24331
2662794.0,19.1216,18.84,19.19,19.275,18.77,1702530000000,22843
4889807.0,18.98,19.17,18.96,19.23,18.89,1702616400000,19304
1879555.0,18.9803,19.05,18.93,19.27,18.82,1702875600000,20884
1644402.0,19.2831,18.95,19.33,19.41,18.93,1702962000000,13161
1587236.0,19.3779,19.28,19.21,19.635,19.2,1703048400000,13267
1463066.0,19.3065,19.31,19.38,19.41,19.16,1703134800000,11464
1096516.0,19.4807,19.43,19.46,19.6,19.4,1703221200000,11153
1559200.0,19.4683,19.44,19.45,19.6,19.42,1703566800000,12381
1232301.0,19.4757,19.48,19.48,19.54,19.41,1703653200000,11877
930919.0,19.4674,19.4,19.47,19.5575,19.38,1703739600000,10693
1474442.0,19.3423,19.48,19.29,19.51,19.28,1703826000000,11603
1632070.0,19.2707,19.15,19.33,19.36,19.07,1704171600000,16427
1313315.0,19.1955,19.16,19.14,19.335,19.05,1704258000000,13107
1584993.0,19.2938,19.11,19.29,19.375,19.11,1704344400000,15558
