v,vw,o,c,h,l,t,n
305564.0,23.4773,23.98,23.46,24.23,22.9,1692936000000,3329
351788.0,23.414,23.67,23.82,23.8799,22.94,1693195200000,2989
257006.0,24.3731,23.85,24.53,24.58,23.6827,1693281600000,2614
258456.0,24.6731,24.65,24.7,24.765,24.48,1693368000000,2381
185059.0,24.787,24.74,24.82,24.88,24.7,1693454400000,2167
363214.0,24.8136,24.96,24.86,24.96,24.63,1693540800000,3078
403839.0,24.8207,24.77,24.89,24.98,24.6,1693886400000,3075
346282.0,24.33,24.92,24.23,24.92,24.0096,1693972800000,3435
799137.0,23.6601,23.51,23.85,23.9,23.28,1694059200000,6495
368375.0,22.7631,22.88,22.65,23.0333,22.5366,1694145600000,4683
466400.0,22.4948,22.97,22.53,22.97,22.11,1694404800000,5193
242230.0,22.5158,22.37,22.41,22.74,22.2201,1694491200000,2947
188170.0,22.631,22.34,22.69,22.8731,22.24,1694577600000,2462
196755.0,22.7228,22.96,22.82,22.96,22.5469,1694664000000,2668
495988.0,22.156,22.71,22.05,22.78,21.91,1694750400000,6000
463217.0,21.772,21.45,22.03,22.139,21.21,1695009600000,6282
345910.0,21.759,21.97,21.81,21.99,21.5486,1695096000000,6040
433623.0,21.5854,21.91,21.17,21.95,21.12,1695182400000,7719
370145.0,20.8153,20.93,20.64,21.07,20.59,1695268800000,6664
227102.0,20.9289,20.91,20.89,21.13,20.7043,1695355200000,3049
314017.0,21.0996,20.93,21.16,21.3081,20.73,1695614400000,3058
303822.0,21.1607,21.15,21.1,21.4399,20.95,1695700800000,3094
250618.0,21.1851,21.3,21.36,21.4579,20.9501,1695787200000,3159
193872.0,21.5848,21.42,21.68,21.7566,21.2022,1695873600000,2293
343359.0,21.9398,21.99,21.9,22.04,21.83,1695960000000,2932
395559.0,22.2916,22.12,22.37,22.44,22.06,1696219200000,3424
392022.0,22.165,22.44,22.0,22.45,21.8501,1696305600000,3731
429953.0,22.1435,22.14,22.25,22.28,21.91,1696392000000,3996
578566.0,22.438,22.29,22.53,22.57,22.2,1696478400000,3946
504658.0,21.9722,21.74,22.05,22.1,21.6,1696564800000,4013
317386.0,21.8587,21.82,22.03,22.13,21.68,1696824000000,2992
240953.0,22.2038,22.0,22.22,22.34,21.9904,1696910400000,2247
240503.0,22.4062,22.35,22.5,22.5,22.35,1696996800000,2001
188094.0,22.5226,22.46,22.55,22.58,22.4409,1697083200000,2023
237416.0,22.4214,22.6,22.31,22.6,22.275,1697169600000,2145
182130.0,22.4924,22.29,22.62,22.6968,22.1301,1697428800000,2378
623226.0,21.6429,21.78,21.74,22.0913,21.04,1697515200000,7015
543040.0,20.9538,21.08,20.8,21.32,20.69,1697601600000,8000
394690.0,21.0452,21.02,20.82,21.3,20.71,1697688000000,3224
481714.0,20.5295,20.73,20.51,20.9655,20.33,1697774400000,3356
441675.0,20.7497,20.36,21.17,21.2899,20.26,1698033600000,2642
169769.0,21.3074,21.27,21.44,21.52,21.07,1698120000000,1731
247621.0,20.9587,21.33,20.69,21.47,20.65,1698206400000,2538
415474.0,20.1587,20.7,19.97,20.98,19.8216,1698292800000,3383
155633.0,20.2101,20.41,20.1,20.41,19.9,1698379200000,1663
192684.0,20.424,20.41,20.48,20.65,20.2,1698638400000,1479
329766.0,19.9812,20.24,20.36,20.37,19.62,1698724800000,2799
159873.0,20.7772,20.47,21.05,21.05,20.47,1698811200000,1549
259857.0,21.3024,21.35,21.34,21.39,21.2,1698897600000,2024
206422.0,21.4251,21.43,21.44,21.45,21.3805,1698984000000,1905
261681.0,21.543,21.54,21.63,21.63,21.4325,1699246800000,2335
341214.0,21.6276,21.65,21.63,21.6841,21.5,1699333200000,2409
150124.0,21.2824,21.28,21.29,21.33,21.21,1699419600000,1420
198535.0,21.3228,21.32,21.31,21.37,21.3,1699506000000,1761
283143.0,21.3438,21.25,21.45,21.5,21.01,1699592400000,1902
311638.0,21.6294,21.45,21.67,21.7476,21.45,1699851600000,1884
217895.0,21.9093,22.0,21.97,22.0,21.7523,1699938000000,1919
139519.0,21.8008,22.0,21.75,22.03,21.5101,1700024400000,1920
168645.0,21.7676,21.72,22.0,22.0,21.5762,1700110800000,1669
277853.0,21.9605,21.95,21.97,22.04,21.83,1700197200000,2045
267724.0,22.1199,22.0,22.27,22.32,21.95,1700456400000,2076
206788.0,22.146,22.25,22.22,22.32,21.99,1700542800000,2003
511035.0,22.2139,22.29,22.27,22.7,21.81,1700629200000,2971
90274.0,22.0635,22.15,21.85,22.3436,21.85,1700802000000,1558
155391.0,22.0909,21.98,22.18,22.25,21.92,1701061200000,1396
145742.0,21.9789,22.12,21.97,22.22,21.87,1701147600000,1712
203452.0,22.1044,22.25,22.15,22.42,22.0,1701234000000,1222
265042.0,21.7181,22.18,21.64,22.18,21.4117,1701320400000,2852
105832.0,21.5909,21.55,21.66,21.778,21.3711,1701406800000,1603
315708.0,21.0756,21.42,21.11,21.42,20.87,1701666000000,3533
129861.0,21.3765,21.08,21.54,21.5782,21.032,1701752400000,1475
237618.0,21.4687,21.78,21.17,21.89,21.07,1701838800000,2540
140006.0,20.8863,20.71,21.1,21.1,20.67,1701925200000,1824
150907.0,21.332,21.03,21.37,21.49,21.03,1702011600000,1217
148694.0,21.1166,21.48,21.2,21.48,20.86,1702270800000,2120
147814.0,21.3652,20.92,21.54,21.54,20.92,1702357200000,1321
204907.0,21.7086,21.62,21.78,21.81,21.61,1702443600000,1849
194623.0,21.785,21.76,21.85,21.89,21.63,1702530000000,2532
211921.0,21.9273,21.78,21.97,21.97,21.78,1702616400000,1567
211025.0,22.2455,22.05,22.42,22.4295,22.01,1702875600000,1888
163729.0,22.1837,22.17,22.26,22.3,22.05,1702962000000,2190
151645.0,22.2059,22.25,21.81,22.44,21.81,1703048400000,1988
74112.0,22.0353,22.04,22.16,22.1901,21.91,1703134800000,1034
101718.0,22.1592,22.3,22.115,22.3099,21.9673,1703221200000,1326
134388.0,22.3278,22.12,22.34,22.39,22.12,1703566800000,1505
109693.0,22.3988,22.38,22.42,22.45,22.32,1703653200000,1364
147695.0,22.5367,22.55,22.53,22.637,22.445,1703739600000,1446
161664.0,22.5047,22.59,22.61,22.73,22.25,1703826000000,1714
196294.0,22.0478,22.59,22.13,22.59,21.85,1704171600000,3038
126399.0,21.8615,21.8,21.83,22.07,21.73,1704258000000,1799
183817.0,22.0643,21.95,22.08,22.2304,21.8,1704344400000,1666
143767.0,21.8016,21.66,21.87,21.95,21.5878,1704430800000,1771
229260.0,22.2584,21.98,22.4,22.4,21.98,1704690000000,1894
390636.0,22.4031,22.43,22.2,22.5,22.19,1704776400000,2942
180760.0,22.5365,22.38,22.61,22.66,22.3101,1704862800000,2382
210484.0,22.6891,22.83,22.81,22.8799,22.36,1704949200000,2405
155351.0,22.7709,22.79,22.82,22.86,22.65,1705035600000,1897
237162.0,23.2009,22.9,23.32,23.37,22.89,1705381200000,2682
167751.0,23.1529,23.21,23.3,23.32,22.9,1705467600000,1808
181868.0,23.5105,23.5,23.49,23.56,23.38,1705554000000,1968
278652.0,23.6121,23.6,23.69,23.69,23.5226,1705640400000,2202
274062.0,23.8532,23.95,23.87,23.95,23.63,1705899600000,2497
142956.0,23.8073,23.86,23.97,23.97,23.5123,1705986000000,1589
250963.0,24.3636,24.02,24.4,24.5339,24.0134,1706072400000,1999
150207.0,24.4823,24.5,24.51,24.56,24.32,1706158800000,1903
169798.0,24.4947,24.48,24.45,24.57,24.3199,1706245200000,1818
136389.0,24.7563,24.64,25.0,25.0,24.5,1706504400000,1694
135654.0,25.1131,25.08,24.97,25.2676,24.96,1706590800000,1730
133656.0,24.7766,24.8,24.76,24.97,24.52,1706677200000,1551
231710.0,25.171,24.92,25.35,25.458,24.8352,1706763600000,1607
274282.0,25.7443,25.82,25.75,25.82,25.5868,1706850000000,2542
272084.0,26.3662,26.15,26.56,26.56,26.03,1707109200000,2824
519027.0,26.2103,26.65,26.37,26.66,25.8209,1707195600000,4898
361138.0,25.0583,24.89,25.31,25.31,24.7,1707282000000,3693
200866.0,25.343,25.27,25.35,25.4,25.23,1707368400000,2139
371922.0,25.4584,25.49,25.5,25.5,25.4,1707454800000,3500
336942.0,25.7216,25.72,25.6,26.0799,25.2,1707714000000,4067
270410.0,25.4438,25.02,25.59,25.89,24.8519,1707800400000,3776
175265.0,25.8655,25.89,26.06,26.12,25.5881,1707886800000,2555
210333.0,25.9436,26.15,25.89,26.15,25.7001,1707973200000,2896
318008.0,26.1799,26.33,25.97,26.402,25.89,1708059600000,3364
546858.0,24.9185,25.85,25.09,25.85,24.5001,1708405200000,6008
332819.0,24.6771,24.56,24.45,24.9399,24.1001,1708491600000,4624
