v,vw,o,c,h,l,t,n
1227527.0,21.8216,21.65,21.86,21.98,21.51,1692936000000,16820
948234.0,22.05,21.92,22.07,22.135,21.9072,1693195200000,13695
1164204.0,22.2619,22.19,22.35,22.4,22.0,1693281600000,16191
1232915.0,22.306,22.3,22.32,22.405,22.16,1693368000000,16400
936152.0,22.0992,22.39,21.96,22.47,21.95,1693454400000,11329
966196.0,22.1407,22.15,22.14,22.34,22.01,1693540800000,12847
1697831.0,21.2704,22.05,21.0,22.08,20.99,1693886400000,24463
3648266.0,20.0785,20.86,19.83,21.04,19.805,1693972800000,39754
4320118.0,19.5692,19.82,19.47,20.07,19.45,1694059200000,30774
1919784.0,19.3639,19.52,19.29,19.56,19.24,1694145600000,23458
2661377.0,19.7028,19.35,19.67,19.96,19.33,1694404800000,24577
3280806.0,19.4556,19.63,19.44,19.8499,19.29,1694491200000,30312
1923008.0,19.2749,19.29,19.27,19.49,19.14,1694577600000,23200
2455313.0,19.7243,19.52,19.79,19.85,19.47,1694664000000,20613
6077380.0,19.5531,19.64,19.54,19.7699,19.43,1694750400000,28465
1870022.0,19.4863,19.5,19.46,19.67,19.3,1695009600000,22300
2011917.0,19.12,19.36,19.01,19.455,19.0,1695096000000,23430
2716843.0,19.0136,19.1,18.92,19.17,18.89,1695182400000,24169
2405302.0,18.6897,18.9,18.58,18.995,18.57,1695268800000,24841
3089088.0,18.3584,18.77,18.26,18.77,18.22,1695355200000,26222
3465665.0,17.9971,18.18,17.88,18.27,17.82,1695614400000,26481
5360546.0,17.3193,17.72,17.25,17.81,17.14,1695700800000,44090
6085563.0,16.7301,17.15,16.59,17.2299,16.52,1695787200000,46200
4098719.0,16.9087,16.62,17.08,17.13,16.425,1695873600000,33536
3237091.0,17.3477,17.25,17.36,17.48,17.14,1695960000000,31597
3225356.0,16.7819,17.23,16.69,17.25,16.61,1696219200000,30027
2750929.0,16.269,16.53,16.29,16.67,16.13,1696305600000,25872
3310130.0,16.2717,16.24,16.32,16.395,16.07,1696392000000,29835
2074624.0,16.1988,16.27,16.22,16.42,16.09,1696478400000,20333
2480275.0,16.463,16.09,16.58,16.695,15.96,1696564800000,25550
3372072.0,16.8038,16.44,16.96,17.01,16.43,1696824000000,28939
2344044.0,17.2905,17.08,17.29,17.525,16.94,1696910400000,21243
2431255.0,17.221,17.37,17.22,17.37,17.095,1696996800000,18314
2331129.0,16.8056,17.11,16.64,17.16,16.59,1697083200000,22829
3749720.0,17.0795,16.71,17.32,17.41,16.46,1697169600000,30657
5892152.0,16.978,17.47,16.86,17.69,16.665,1697428800000,52054
68003438.0,16.4496,16.65,16.44,16.94,16.3,1697515200000,51334
4009074.0,16.2362,16.3,16.29,16.42,16.05,1697601600000,32010
4503042.0,16.1105,16.21,16.14,16.32,15.975,1697688000000,36723
2396641.0,15.9901,16.01,15.9,16.17,15.875,1697774400000,20117
3163943.0,15.6256,15.99,15.48,16.09,15.46,1698033600000,25630
3517872.0,15.7295,15.5,15.76,15.855,15.455,1698120000000,26479
2188852.0,15.6525,15.55,15.65,15.74,15.465,1698206400000,19809
3346592.0,15.4532,15.56,15.31,15.73,15.3,1698292800000,27633
3813941.0,15.0027,15.26,14.96,15.28,14.93,1698379200000,30506
3572141.0,14.9197,15.06,14.93,15.2,14.665,1698638400000,30648
3646719.0,14.7677,14.97,14.79,15.02,14.605,1698724800000,30738
3171929.0,14.6906,14.78,14.65,14.845,14.58,1698811200000,28093
11350872.0,13.1334,14.48,13.11,14.8491,12.65,1698897600000,68248
11942863.0,13.1671,13.28,13.3,13.62,12.81,1698984000000,66394
8291977.0,12.771,13.09,12.56,13.18,12.53,1699246800000,57626
5218981.0,12.4829,12.49,12.41,12.72,12.14,1699333200000,38926
5153887.0,12.2567,12.48,12.27,12.48,12.03,1699419600000,38410
5481188.0,11.6213,12.25,11.42,12.2599,11.42,1699506000000,40547
5172005.0,11.0717,11.12,11.12,11.18,10.92,1699592400000,37170
4337786.0,11.0323,11.01,11.03,11.3,10.915,1699851600000,34734
4620885.0,11.4725,11.29,11.46,11.73,11.15,1699938000000,39886
3124431.0,11.5503,11.43,11.56,11.7,11.3501,1700024400000,24978
4187288.0,11.0243,11.53,10.95,11.535,10.905,1700110800000,29561
4487943.0,11.2343,11.11,11.31,11.35,11.05,1700197200000,26200
2746141.0,11.184,11.23,11.19,11.3,11.105,1700456400000,21852
3535875.0,11.0658,11.14,11.03,11.225,10.99,1700542800000,26263
2711352.0,11.2258,11.14,11.24,11.35,11.08,1700629200000,19999
1159541.0,11.3252,11.27,11.36,11.3899,11.222,1700802000000,8961
3646093.0,11.3681,11.33,11.43,11.49,11.17,1701061200000,30586
3818050.0,11.3966,11.44,11.3,11.555,11.25,1701147600000,27300
6129221.0,11.3585,11.35,11.41,11.45,11.232,1701234000000,35983
4066036.0,11.3444,11.5,11.32,11.55,11.23,1701320400000,27779
3188802.0,11.471,11.33,11.5,11.72,11.22,1701406800000,26972
4417775.0,11.7277,11.42,11.83,11.87,11.4,1701666000000,34161
4579462.0,11.3027,11.72,11.09,11.81,11.065,1701752400000,31135
4574598.0,10.9876,11.27,10.99,11.28,10.835,1701838800000,33279
5695737.0,11.3154,10.99,11.33,11.51,10.922,1701925200000,35611
3874910.0,11.0941,11.35,11.02,11.4999,10.955,1702011600000,29478
4490490.0,11.1801,11.1,11.23,11.35,11.02,1702270800000,29604
7196770.0,11.412,11.25,11.54,11.6234,10.97,1702357200000,43433
