v,vw,o,c,h,l,t,n
16421292.0,36.3868,36.14,36.38,36.69,35.96,1692936000000,97849
15101949.0,36.1878,36.44,36.21,36.52,36.03,1693195200000,98638
21076488.0,36.2376,36.26,36.15,36.94,36.0,1693281600000,127845
16833018.0,35.9908,36.18,35.9,36.25,35.82,1693368000000,100293
27919464.0,35.5413,35.94,35.38,35.99,35.38,1693454400000,117798
17522542.0,35.8297,35.64,35.78,36.06,35.6,1693540800000,112535
25831123.0,35.7007,35.96,35.38,36.29,35.35,1693886400000,157816
35370154.0,34.5171,35.26,34.37,35.28,34.26,1693972800000,205441
26777739.0,34.28,34.47,34.28,34.64,34.04,1694059200000,154251
19483285.0,34.2122,34.23,34.25,34.39,34.05,1694145600000,111580
27574391.0,33.8755,34.24,33.94,34.3,33.54,1694404800000,169796
17987155.0,34.0651,33.97,34.15,34.21,33.75,1694491200000,111362
23839807.0,34.2175,34.21,34.08,34.62,34.0,1694577600000,138452
23759867.0,34.1647,34.24,34.15,34.38,33.98,1694664000000,134867
58063842.0,34.0687,34.06,34.07,34.415,33.81,1694750400000,136220
25421949.0,33.6273,34.12,33.64,34.12,33.44,1695009600000,132156
27323329.0,33.8092,33.55,33.99,34.01,33.515,1695096000000,127856
24651414.0,33.7096,34.08,33.62,34.09,33.55,1695182400000,136499
26988901.0,33.119,33.47,32.85,33.59,32.83,1695268800000,154298
28558752.0,32.6981,33.08,32.69,33.09,32.5,1695355200000,150427
19443664.0,32.7851,32.69,32.98,32.98,32.4101,1695614400000,107237
26015472.0,32.5981,32.72,32.4,32.96,32.36,1695700800000,131183
26394113.0,32.1103,32.43,32.1,32.5,31.9,1695787200000,134890
28197588.0,32.0167,32.06,32.09,32.32,31.7744,1695873600000,135580
42421449.0,33.0397,32.35,33.17,33.23,32.3,1695960000000,171504
44614096.0,33.584,32.95,33.94,33.955,32.76,1696219200000,241077
31059924.0,33.912,33.84,33.9,34.11,33.71,1696305600000,174172
23262342.0,33.3731,33.94,33.31,34.0799,33.005,1696392000000,135173
21279407.0,33.3822,33.45,33.47,33.78,33.045,1696478400000,132554
23760440.0,33.2578,33.515,33.13,33.56,33.0721,1696564800000,134356
17468112.0,33.1475,33.06,33.2,33.47,32.77,1696824000000,100371
19212104.0,33.1901,33.08,33.17,33.4,33.01,1696910400000,101855
