v,vw,o,c,h,l,t,n
4697093.0,24.5998,24.57,24.62,24.65,24.54,1692936000000,8228
4271775.0,24.6808,24.67,24.69,24.72,24.65,1693195200000,9589
5506915.0,24.768,24.69,24.8,24.8,24.67,1693281600000,11195
5916789.0,24.809,24.82,24.81,24.85,24.79,1693368000000,13684
4336743.0,24.8021,24.81,24.81,24.83,24.76,1693454400000,10935
4726669.0,24.6667,24.73,24.67,24.74,24.635,1693540800000,11133
4536271.0,24.6077,24.68,24.57,24.68,24.57,1693886400000,7895
3270090.0,24.5308,24.56,24.55,24.57,24.49,1693972800000,7631
3457128.0,24.5843,24.53,24.61,24.62,24.52,1694059200000,10351
3998944.0,24.6222,24.63,24.6,24.67,24.5801,1694145600000,6244
3397988.0,24.618,24.63,24.62,24.64,24.59,1694404800000,7078
3255853.0,24.6234,24.58,24.62,24.65,24.58,1694491200000,5455
4900454.0,24.6595,24.64,24.66,24.69,24.62,1694577600000,9617
5068602.0,24.6907,24.72,24.69,24.72,24.67,1694664000000,11372
3734280.0,24.6514,24.67,24.65,24.69,24.63,1694750400000,9214
3544667.0,24.6511,24.63,24.65,24.6784,24.6255,1695009600000,8418
3180504.0,24.6235,24.62,24.62,24.66,24.6,1695096000000,8990
3178766.0,24.6515,24.67,24.59,24.68,24.59,1695182400000,7427
4936042.0,24.5156,24.51,24.48,24.5464,24.48,1695268800000,11453
3427341.0,24.5417,24.53,24.51,24.5799,24.505,1695355200000,9742
2847096.0,24.4962,24.47,24.49,24.528,24.44,1695614400000,7414
9142625.0,24.4352,24.47,24.41,24.49,24.4,1695700800000,16149
4520875.0,24.4108,24.46,24.38,24.47,24.36,1695787200000,10852
3916230.0,24.4441,24.37,24.48,24.5,24.35,1695873600000,9315
5428439.0,24.5162,24.56,24.46,24.585,24.45,1695960000000,8887
8405563.0,24.2167,24.28,24.2,24.28,24.18,1696219200000,23132
15631021.0,24.0176,24.13,24.01,24.17,23.98,1696305600000,19659
24796193.0,24.0291,24.08,24.07,24.08,23.96,1696392000000,41178
6792171.0,24.092,24.08,24.12,24.12,24.05,1696478400000,14094
5055515.0,24.0876,24.02,24.13,24.16,23.99,1696564800000,11350
2707863.0,24.2289,24.16,24.28,24.28,24.15,1696824000000,7460
4781618.0,24.2716,24.21,24.27,24.32,24.2,1696910400000,9479
4677652.0,24.2551,24.33,24.27,24.33,24.18,1696996800000,10573
6466285.0,24.1873,24.27,24.17,24.27,24.13,1697083200000,13947
5439902.0,24.1909,24.25,24.16,24.27,24.14,1697169600000,10335
11509606.0,24.1385,24.16,24.15,24.1955,24.13,1697428800000,11609
5779922.0,24.0763,24.07,24.07,24.135,24.04,1697515200000,9433
6342308.0,24.0112,24.05,23.98,24.085,23.97,1697601600000,9991
5603815.0,23.9964,23.98,23.92,24.075,23.91,1697688000000,10758
4456636.0,23.966,23.94,23.95,23.9977,23.92,1697774400000,8223
