v,vw,o,c,h,l,t,n
22742139.0,22.1439,22.11,22.22,22.355,21.93,1692936000000,27978
7536640.0,22.2367,22.08,22.22,22.335,22.04,1693195200000,14107
19726872.0,22.5899,22.24,22.71,22.74,22.1934,1693281600000,27615
13091162.0,22.679,22.85,22.57,22.94,22.55,1693368000000,21770
10536608.0,22.4704,22.53,22.39,22.62,22.3448,1693454400000,16800
12818469.0,22.3005,22.61,22.17,22.7009,22.15,1693540800000,21824
15054099.0,21.674,21.82,21.59,21.8899,21.56,1693886400000,24753
14534141.0,21.2327,21.16,21.24,21.4101,21.1,1693972800000,25538
10926885.0,21.0672,21.08,21.05,21.17,21.01,1694059200000,19124
11605951.0,21.0656,21.06,21.01,21.2399,20.9603,1694145600000,17953
8858929.0,21.1457,21.24,21.16,21.2699,21.04,1694404800000,15515
8738452.0,21.1108,21.0,21.13,21.22,20.97,1694491200000,16097
11886059.0,20.9825,21.01,20.93,21.11,20.91,1694577600000,18908
26204949.0,20.6897,20.6,20.73,20.86,20.45,1694664000000,36317
22811317.0,21.2262,21.19,21.11,21.35,21.1,1694750400000,28974
11481340.0,21.2293,21.22,21.3,21.32,21.05,1695009600000,17906
10111168.0,21.2633,21.37,21.27,21.4,21.1701,1695096000000,15976
17354044.0,21.4924,21.32,21.34,21.63,21.3003,1695182400000,27729
12395273.0,21.3303,21.04,21.44,21.52,21.0,1695268800000,23822
11352615.0,21.6363,21.65,21.58,21.75,21.56,1695355200000,22008
14549077.0,21.2746,21.48,21.2,21.5593,21.125,1695614400000,22589
18268192.0,21.0085,21.0,20.96,21.16,20.94,1695700800000,19322
15598838.0,20.6795,20.71,20.7,20.8,20.54,1695787200000,26172
14007736.0,20.694,20.64,20.74,20.84,20.5301,1695873600000,20458
36658571.0,20.7667,21.39,20.34,21.4299,20.275,1695960000000,51803
41002748.0,19.5375,19.69,19.42,19.74,19.4,1696219200000,67501
31905846.0,19.4207,19.26,19.44,19.62,19.21,1696305600000,45358
25140974.0,19.1823,19.41,19.31,19.42,18.97,1696392000000,42241
16430492.0,19.164,19.32,19.25,19.4,18.98,1696478400000,29810
28141001.0,19.6294,19.66,19.73,19.8198,19.26,1696564800000,49362
13077405.0,19.9754,19.84,20.06,20.08,19.8,1696824000000,23336
12114975.0,19.9784,19.97,19.98,20.0799,19.88,1696910400000,19552
20080534.0,20.1701,20.19,20.18,20.27,20.07,1696996800000,25721
16915486.0,20.0478,20.24,19.96,20.32,19.935,1697083200000,22793
28959583.0,20.7357,20.49,20.78,20.91,20.47,1697169600000,46553
11706496.0,20.7317,20.72,20.68,20.83,20.66,1697428800000,19803
16481960.0,20.948,20.79,20.92,21.085,20.725,1697515200000,28278
20065650.0,21.0544,21.21,20.95,21.33,20.78,1697601600000,31786
20356655.0,20.9547,20.94,21.11,21.1567,20.745,1697688000000,32852
35245739.0,21.4764,21.16,21.4,21.72,21.16,1697774400000,50054
14074094.0,21.1283,21.2,21.05,21.2671,21.0,1698033600000,23407
11491706.0,20.9975,20.92,21.02,21.09,20.86,1698120000000,19404
17639764.0,20.9226,20.91,20.94,21.08,20.665,1698206400000,25735
14326610.0,20.8151,20.91,20.85,20.97,20.565,1698292800000,24670
18629987.0,20.9555,20.92,21.18,21.185,20.76,1698379200000,28968
15301555.0,21.3934,21.59,21.34,21.61,21.23,1698638400000,25386
17624921.0,21.082,21.14,20.98,21.36,20.835,1698724800000,28518
25224384.0,20.8759,20.82,20.97,21.09,20.66,1698811200000,37077
12232463.0,20.8998,21.07,20.87,21.0971,20.7663,1698897600000,21168
21259916.0,21.2202,21.03,21.22,21.35,20.99,1698984000000,29143
10278185.0,21.1496,21.22,21.08,21.23,21.07,1699246800000,20359
16082208.0,20.6591,20.73,20.73,20.76,20.5748,1699333200000,28011
14361175.0,20.751,20.81,20.65,20.935,20.615,1699419600000,24853
18731987.0,20.8607,20.75,20.69,21.07,20.65,1699506000000,24525
14059609.0,20.4352,20.55,20.34,20.6,20.34,1699592400000,25564
11091089.0,20.3236,20.18,20.43,20.49,20.1,1699851600000,22043
21723861.0,21.1214,20.92,21.17,21.24,20.8732,1699938000000,33659
18545615.0,21.4079,21.36,21.45,21.52,21.24,1700024400000,30878
20259162.0,21.9002,21.88,21.76,22.06,21.73,1700110800000,34181
12296966.0,21.7588,21.79,21.75,21.855,21.6796,1700197200000,17921
9696838.0,21.5107,21.42,21.48,21.605,21.3837,1700456400000,19281
14932958.0,21.8737,21.88,21.77,22.0,21.735,1700542800000,24024
11151876.0,21.6618,21.7,21.67,21.815,21.57,1700629200000,16914
10803300.0,22.1866,22.02,22.27,22.29,22.0,1700802000000,19959
19785608.0,22.5902,22.67,22.56,22.705,22.5,1701061200000,33805
17064430.0,22.7902,22.68,22.92,22.92,22.5909,1701147600000,32180
16382665.0,22.9488,22.96,22.88,23.13,22.82,1701234000000,27044
14364257.0,23.0352,22.97,23.13,23.145,22.85,1701320400000,25907
22107812.0,23.2295,23.09,23.33,23.3712,23.05,1701406800000,35521
30668293.0,22.5834,22.75,22.46,22.92,22.3601,1701666000000,51979
27205056.0,22.1365,22.281,22.12,22.375,21.95,1701752400000,44889
13250501.0,22.0005,22.17,21.93,22.2,21.869,1701838800000,32148
16758464.0,21.7662,21.89,21.79,21.91,21.6,1701925200000,30497
28746451.0,21.2694,21.35,21.1,21.56,21.015,1702011600000,50679
22883655.0,20.896,20.965,20.91,21.0,20.81,1702270800000,32309
12118699.0,20.8904,20.965,20.84,20.975,20.78,1702357200000,20284
35068023.0,21.2682,20.75,21.77,21.78,20.6123,1702443600000,48587
21384058.0,22.0961,21.99,22.15,22.18,21.99,1702530000000,34893
13077984.0,21.8922,21.98,21.83,22.025,21.75,1702616400000,25264
12927446.0,21.769,21.88,21.8,21.88,21.66,1702875600000,21114
12752745.0,22.0427,21.91,22.03,22.13,21.89,1702962000000,22448
12523604.0,22.202,22.26,22.04,22.31,22.04,1703048400000,22970
17063588.0,22.2901,22.28,22.31,22.42,22.195,1703134800000,28513
17235831.0,22.2806,22.41,22.12,22.5252,22.05,1703221200000,26368
11861737.0,22.1594,22.21,22.2,22.22,22.04,1703566800000,24683
13898442.0,22.2472,22.1,22.23,22.395,22.09,1703653200000,26790
11257823.0,22.0904,22.17,21.99,22.25,21.96,1703739600000,22728
13161231.0,21.8059,21.62,21.78,21.95,21.56,1703826000000,26956
13277809.0,21.7881,21.89,21.65,21.99,21.64,1704171600000,26170
26373830.0,21.0479,21.08,21.06,21.22,20.91,1704258000000,44571
11971961.0,20.9888,20.92,21.08,21.1,20.77,1704344400000,25134
21401777.0,21.2989,21.15,21.21,21.53,21.0344,1704430800000,30893
9322905.0,21.1354,21.07,21.13,21.245,21.0,1704690000000,18997
10772341.0,21.0524,21.22,21.0,21.25,20.96,1704776400000,19897
12093724.0,20.933,20.93,20.94,21.0175,20.85,1704862800000,18546
21816130.0,20.7737,20.97,20.82,21.0722,20.57,1704949200000,31051
18914513.0,21.3197,21.39,21.19,21.54,21.11,1705035600000,29590
16953012.0,21.0064,21.14,20.96,21.1698,20.92,1705381200000,32493
18249133.0,20.6848,20.779,20.65,20.7954,20.61,1705467600000,30029
10585882.0,20.7197,20.56,20.81,20.84,20.535,1705554000000,17062
12574469.0,20.665,20.77,20.67,20.77,20.56,1705640400000,19759
18292228.0,20.2536,20.12,20.22,20.41,20.07,1705899600000,28070
13096660.0,20.4857,20.44,20.53,20.56,20.4,1705986000000,18188
24238798.0,20.81,20.98,20.71,21.0,20.7,1706072400000,27487
15755435.0,20.9266,20.95,20.94,21.07,20.79,1706158800000,22302
7976850.0,20.841,20.81,20.86,20.9212,20.7701,1706245200000,15618
14309384.0,21.0889,21.03,21.21,21.25,20.835,1706504400000,25772
10734398.0,21.1497,21.29,21.19,21.33,20.9901,1706590800000,17260
19870401.0,21.117,21.2,20.91,21.35,20.84,1706677200000,31038
28714417.0,21.1172,20.94,21.21,21.28,20.88,1706763600000,30815
24324384.0,20.6913,20.61,20.75,20.79,20.5,1706850000000,35238
16482983.0,20.4493,20.44,20.47,20.55,20.38,1707109200000,29899
9007543.0,20.5028,20.43,20.51,20.58,20.3926,1707195600000,16037
12084059.0,20.4238,20.43,20.33,20.54,20.32,1707282000000,20965
16547610.0,20.5757,20.44,20.65,20.71,20.3801,1707368400000,23106
10620945.0,20.5904,20.56,20.68,20.72,20.46,1707454800000,19328
11006451.0,20.7487,20.63,20.76,20.84,20.6,1707714000000,18492
22798200.0,20.2535,20.43,20.2,20.44,20.11,1707800400000,32477
13085086.0,20.4024,20.23,20.44,20.55,20.21,1707886800000,25723
26720400.0,20.952,20.84,20.94,21.0799,20.83,1707973200000,37328
20251776.0,21.2634,21.07,21.39,21.5,20.91,1708059600000,31937
9047232.0,21.1037,21.17,21.07,21.19,21.03,1708405200000,19367
9415462.0,20.9385,21.09,20.96,21.095,20.815,1708491600000,19175
16728579.0,20.8513,20.92,20.82,20.97,20.8,1708578000000,19009
15186492.0,20.9036,20.8,20.99,21.04,20.69,1708664400000,21390
14409313.0,20.6032,20.61,20.62,20.6899,20.54,1708923600000,27689
10175095.0,20.615,20.72,20.57,20.74,20.51,1709010000000,14276
8303843.0,20.4957,20.51,20.55,20.555,20.45,1709096400000,14755
10459566.0,20.7223,20.75,20.73,20.79,20.615,1709182800000,16894
23570225.0,21.0522,20.8,21.17,21.28,20.64,1709269200000,31964
26016589.0,21.6722,21.43,21.86,21.9,21.39,1709528400000,40725
22277042.0,21.8132,21.96,21.67,22.06,21.64,1709614800000,37020
31037661.0,22.0651,21.86,22.1,22.2299,21.86,1709701200000,43734
18890510.0,22.2826,22.14,22.24,22.41,22.12,1709787600000,31651
27245877.0,22.2693,22.23,22.23,22.45,22.12,1709874000000,36601
15364530.0,22.3645,22.33,22.35,22.435,22.235,1710129600000,26841
16339626.0,22.1042,22.21,22.09,22.22,21.9651,1710216000000,31835
27121541.0,22.6548,22.31,22.79,22.8775,22.26,1710302400000,43212
14705285.0,22.7595,22.91,22.73,22.94,22.62,1710388800000,26064
28077931.0,23.1208,23.05,23.03,23.275,22.9701,1710475200000,39134
11920429.0,22.9712,23.13,22.91,23.13,22.85,1710734400000,23042
13406933.0,22.7654,22.79,22.79,22.84,22.615,1710820800000,23911
31945051.0,23.1387,22.71,23.29,23.45,22.7,1710907200000,54876
31163646.0,22.7804,23.14,22.65,23.16,22.53,1710993600000,63988
17183595.0,22.6834,22.65,22.56,22.82,22.52,1711080000000,29644
10066735.0,22.626,22.6,22.58,22.73,22.55,1711339200000,18424
18183618.0,22.4107,22.61,22.34,22.615,22.29,1711425600000,28708
12551830.0,22.475,22.34,22.51,22.555,22.34,1711512000000,21887
29105430.0,22.6671,22.48,22.75,22.8,22.415,1711598400000,41070
22490725.0,22.8714,23.187,22.86,23.2,22.63,1711944000000,37358
58416685.0,23.5837,23.33,23.84,23.8951,23.24,1712030400000,79849
61360131.0,24.4878,24.27,24.73,24.76,24.17,1712116800000,88505
54231424.0,24.6862,24.571,24.49,24.95,24.385,1712203200000,72469
43110224.0,24.9087,24.49,25.03,25.14,24.392,1712289600000,72528
40708910.0,25.2994,25.36,25.4,25.4899,24.9,1712548800000,58221
41006134.0,25.6192,25.75,25.72,25.9,25.255,1712635200000,70635
50614096.0,25.6042,25.33,25.45,26.08,25.17,1712721600000,83754
28595209.0,25.723,25.69,26.01,26.04,25.38,1712808000000,49884
116678285.0,26.3357,26.8,25.63,27.24,25.52,1712894400000,177496
51821639.0,26.1189,26.21,26.41,26.42,25.69,1713153600000,99573
56255017.0,25.8115,26.07,25.8,26.07,25.55,1713240000000,91429
46663236.0,26.0373,26.13,25.85,26.3376,25.71,1713326400000,69608
26816887.0,25.9148,26.11,25.86,26.16,25.74,1713412800000,47564
29292211.0,26.1308,25.93,26.2,26.3203,25.9044,1713499200000,48634
37156877.0,24.9728,24.95,24.93,25.19,24.79,1713758400000,66946
37046803.0,24.9158,24.66,24.99,25.04,24.63,1713844800000,55520
19783642.0,24.9151,24.88,24.9,25.05,24.78,1713931200000,31543
31529392.0,25.0065,24.86,25.06,25.22,24.81,1714017600000,71015
26821268.0,24.9603,25.19,24.89,25.22,24.75,1714104000000,62455
23622201.0,24.9016,24.87,24.83,25.0775,24.68,1714363200000,67055
32397919.0,24.1668,24.24,24.05,24.37,24.02,1714449600000,53217
42513892.0,24.3167,24.18,24.27,24.65,24.09,1714536000000,65792
24392376.0,24.2451,23.95,24.36,24.47,23.9201,1714622400000,37629
26859138.0,24.0861,24.21,24.22,24.3,23.87,1714708800000,44760
25182359.0,24.9907,24.99,25.07,25.13,24.83,1714968000000,41221
14711473.0,24.978,25.03,24.92,25.1,24.875,1715054400000,23843
15467362.0,25.0113,24.89,24.95,25.12,24.8218,1715140800000,28223
32718089.0,25.6941,25.32,25.86,25.88,25.3,1715227200000,51563
24475179.0,25.8386,25.98,25.77,26.05,25.6203,1715313600000,43825
15222898.0,25.8049,25.83,25.8,25.9262,25.65,1715572800000,25664
20065027.0,26.0499,26.0,26.13,26.27,25.855,1715659200000,34516
39779396.0,26.7491,26.58,27.12,27.18,26.0685,1715745600000,64440
19821317.0,27.0133,26.98,27.06,27.17,26.79,1715832000000,33153
52129586.0,28.2354,27.86,28.79,28.84,27.55,1715918400000,84420
57760751.0,29.0939,28.93,28.98,29.56,28.41,1716177600000,93842
30394612.0,29.2025,29.1,29.27,29.51,28.82,1716264000000,55487
48535703.0,28.48,29.06,28.22,29.06,28.105,1716350400000,80951
39860282.0,27.7613,28.11,27.55,28.28,27.47,1716436800000,67489
14523727.0,27.7707,27.93,27.74,27.99,27.61,1716523200000,32014
31041747.0,29.1198,29.3,29.24,29.34,28.69,1716868800000,59948
20708374.0,29.2422,29.07,29.17,29.47,28.98,1716955200000,43775
22268883.0,28.6614,28.83,28.42,29.05,28.315,1717041600000,45002
31957555.0,28.035,28.77,27.76,28.855,27.58,1717128000000,62804
18017950.0,27.8622,27.82,27.89,28.145,27.56,1717387200000,42375
28857255.0,27.0093,27.31,27.02,27.31,26.84,1717473600000,60206
17675268.0,27.2292,27.12,27.4,27.455,26.895,1717560000000,38125
27649958.0,28.2629,27.82,28.53,28.63,27.6855,1717646400000,53857
43867847.0,26.9215,27.29,26.67,27.3,26.61,1717732800000,84004
17059714.0,27.0831,27.07,27.12,27.24,26.85,1717992000000,34489
13330222.0,26.6777,26.73,26.71,26.81,26.56,1718078400000,31473
27934783.0,27.2386,27.5,27.03,27.5699,26.94,1718164800000,48622
21668977.0,26.475,26.79,26.43,26.93,26.17,1718251200000,42662
25941718.0,26.8376,26.63,27.01,27.03,26.5,1718337600000,40045
15011936.0,26.7555,26.9,26.92,26.936,26.56,1718596800000,24864
12032592.0,26.8747,26.65,26.96,27.01,26.65,1718683200000,26648
