v,vw,o,c,h,l,t,n
954097.0,22.6754,22.6,22.69,22.7193,22.585,1692936000000,2372
696299.0,22.7364,22.75,22.78,22.78,22.71,1693195200000,2646
3326050.0,22.901,22.77,22.92,22.92,22.7413,1693281600000,2280
2891297.0,22.9139,22.92,22.92,22.95,22.9,1693368000000,6279
779226.0,22.8924,22.91,22.92,22.9299,22.86,1693454400000,2550
1648384.0,22.7832,22.85,22.83,22.86,22.7401,1693540800000,6673
2442028.0,22.703,22.82,22.68,22.82,22.66,1693886400000,7652
1280470.0,22.6232,22.68,22.63,22.68,22.5834,1693972800000,4817
815467.0,22.6569,22.6,22.7,22.7,22.59,1694059200000,2835
878201.0,22.692,22.71,22.67,22.7498,22.66,1694145600000,4224
1115438.0,22.6928,22.72,22.7,22.72,22.66,1694404800000,3440
695958.0,22.6904,22.71,22.69,22.717,22.67,1694491200000,2146
922317.0,22.732,22.7,22.75,22.76,22.7,1694577600000,2446
935189.0,22.763,22.79,22.78,22.79,22.7301,1694664000000,3568
438447.0,22.7076,22.74,22.7,22.7499,22.69,1694750400000,2447
582914.0,22.7106,22.69,22.71,22.73,22.685,1695009600000,2575
686783.0,22.6651,22.7,22.67,22.7,22.6301,1695096000000,3470
552233.0,22.6912,22.71,22.64,22.73,22.63,1695182400000,2368
3261365.0,22.5008,22.56,22.49,22.58,22.47,1695268800000,4046
3606096.0,22.5202,22.54,22.49,22.58,22.49,1695355200000,9199
707654.0,22.4743,22.48,22.47,22.51,22.44,1695614400000,2966
2143506.0,22.3952,22.46,22.38,22.48,22.35,1695700800000,5316
966205.0,22.3563,22.46,22.36,22.46,22.3,1695787200000,3452
5309166.0,22.38,22.33,22.45,22.45,22.295,1695873600000,3800
2261235.0,22.4999,22.53,22.42,22.54,22.41,1695960000000,1905
903585.0,22.1495,22.23,22.13,22.24,22.1013,1696219200000,3490
1460868.0,21.9839,22.07,21.94,22.11,21.91,1696305600000,5069
2408933.0,21.9683,22.0,22.03,22.05,21.91,1696392000000,4004
857539.0,22.0296,22.01,22.03,22.06,21.99,1696478400000,2084
1009407.0,22.0246,21.94,22.06,22.09,21.9,1696564800000,4201
2104144.0,22.1903,22.11,22.22,22.22,22.0708,1696824000000,1640
951582.0,22.2261,22.19,22.23,22.265,22.14,1696910400000,4133
1049965.0,22.2083,22.28,22.22,22.2999,22.13,1696996800000,3625
18633070.0,22.1545,22.22,22.11,22.22,22.0604,1697083200000,3006
1820216.0,22.1303,22.19,22.11,22.235,22.09,1697169600000,2931
808123.0,22.1066,22.12,22.11,22.1469,22.08,1697428800000,3049
3155176.0,21.9952,22.04,22.01,22.07,21.97,1697515200000,6261
1161221.0,21.9457,21.99,21.91,22.0199,21.9,1697601600000,4691
