v,vw,o,c,h,l,t,n
1591278.0,42.5478,42.56,42.67,42.79,42.21,1692936000000,8324
1582480.0,42.8888,42.84,42.95,43.03,42.79,1693195200000,8109
2654917.0,43.323,42.92,43.43,43.465,42.91,1693281600000,11428
1796252.0,43.5012,43.46,43.51,43.63,43.355,1693368000000,9159
957312.0,43.5826,43.61,43.47,43.71,43.45,1693454400000,4566
1824339.0,43.5805,43.71,43.56,43.7799,43.4301,1693540800000,6064
1931479.0,43.3145,43.5,43.23,43.55,43.2033,1693886400000,6582
1010194.0,43.0658,43.16,43.13,43.21,42.8699,1693972800000,5227
1141339.0,43.0583,42.97,43.06,43.14,42.96,1694059200000,5425
906594.0,43.1136,43.09,43.12,43.2298,43.04,1694145600000,5853
950458.0,43.3697,43.35,43.41,43.43,43.26,1694404800000,5379
1097219.0,43.3188,43.29,43.27,43.5,43.21,1694491200000,5865
840478.0,43.2731,43.3,43.26,43.39,43.12,1694577600000,5250
1356066.0,43.6395,43.53,43.68,43.755,43.44,1694664000000,6561
1373139.0,43.3259,43.52,43.21,43.56,43.17,1694750400000,7211
1012862.0,43.01,42.98,42.98,43.1017,42.9,1695009600000,4931
1250842.0,42.7798,42.94,42.88,42.95,42.615,1695096000000,6105
1430628.0,42.9201,43.01,42.55,43.11,42.55,1695182400000,7776
1493646.0,42.1082,42.31,41.9,42.3299,41.87,1695268800000,7356
1496814.0,41.8962,41.97,41.73,42.04,41.69,1695355200000,9060
1264925.0,41.7219,41.59,41.84,41.845,41.54,1695614400000,5317
1857153.0,41.3081,41.55,41.21,41.635,41.13,1695700800000,7281
2202404.0,41.1104,41.32,41.15,41.3699,40.81,1695787200000,8741
1522300.0,41.3517,41.1,41.38,41.5213,41.08,1695873600000,7076
1952042.0,41.3706,41.72,41.26,41.72,41.1209,1695960000000,10038
5570274.0,40.903,41.18,41.03,41.24,40.77,1696219200000,10923
3067913.0,40.4748,40.81,40.46,40.96,40.335,1696305600000,11338
2637788.0,40.5475,40.57,40.72,40.78,40.3,1696392000000,8569
