v,vw,o,c,h,l,t,n
1070284.0,41.8686,41.87,41.87,41.895,41.801,1692936000000,5080
1450175.0,41.9475,41.89,41.97,41.97,41.89,1693195200000,5756
1898803.0,42.0228,42.0,42.07,42.08,41.96,1693281600000,6518
1195425.0,42.0966,42.12,42.09,42.14,42.0638,1693368000000,5832
1179012.0,42.1039,42.1,42.12,42.15,42.08,1693454400000,4361
1255260.0,41.8102,41.97,41.85,41.97,41.77,1693540800000,6476
1041461.0,41.8431,41.87,41.83,41.94,41.82,1693886400000,4295
1029913.0,41.7949,41.86,41.79,41.87,41.78,1693972800000,4073
2788680.0,41.8279,41.78,41.86,41.87,41.75,1694059200000,10036
2444939.0,41.8742,41.91,41.87,41.91,41.8,1694145600000,5453
2908822.0,41.8943,41.94,41.91,41.94,41.85,1694404800000,6096
1078158.0,41.9144,41.94,41.93,41.94,41.9,1694491200000,4160
1056794.0,41.9569,41.94,41.97,41.98,41.9001,1694577600000,6378
1873387.0,42.0054,42.03,41.99,42.04,41.98,1694664000000,5041
1927602.0,42.012,42.03,42.0,42.089,41.99,1694750400000,6520
1223969.0,42.0339,42.02,42.05,42.055,42.0123,1695009600000,4930
769088.0,42.0112,42.05,42.02,42.07,41.995,1695096000000,3839
2107669.0,42.0353,42.06,42.02,42.07,42.01,1695182400000,7097
1381691.0,41.9277,41.98,41.89,41.98,41.88,1695268800000,5456
1310786.0,41.927,42.01,41.92,42.01,41.88,1695355200000,5945
1002931.0,41.9193,41.92,41.91,41.99,41.9,1695614400000,3315
3444913.0,41.8823,41.93,41.86,41.93,41.85,1695700800000,6356
1890967.0,41.8668,41.88,41.86,41.89,41.8201,1695787200000,4042
2678996.0,41.8974,41.85,41.89,41.97,41.83,1695873600000,7488
1507165.0,41.9164,41.93,41.93,41.94,41.89,1695960000000,4208
1614934.0,41.5249,41.51,41.54,41.56,41.4,1696219200000,4620
3155407.0,41.4289,41.49,41.39,41.49,41.38,1696305600000,7109
2129870.0,41.3859,41.39,41.39,41.4362,41.27,1696392000000,5002
2497572.0,41.349,41.38,41.35,41.38,41.3,1696478400000,6205
2246275.0,41.3642,41.36,41.41,41.4499,41.31,1696564800000,5315
1179706.0,41.4873,41.41,41.49,41.54,41.3701,1696824000000,3675
2090947.0,41.5976,41.55,41.57,41.64,41.48,1696910400000,7385
2394908.0,41.617,41.61,41.61,41.65,41.59,1696996800000,7330
1403543.0,41.6139,41.65,41.58,41.65,41.5701,1697083200000,4171
1814202.0,41.635,41.62,41.65,41.73,41.592,1697169600000,4750
1079449.0,41.6758,41.62,41.69,41.69,41.62,1697428800000,5186
1468490.0,41.6544,41.67,41.66,41.68,41.62,1697515200000,5827
990569.0,41.5954,41.62,41.62,41.67,41.56,1697601600000,4713
1413717.0,41.5527,41.65,41.52,41.65,41.505,1697688000000,5689
1316956.0,41.5303,41.55,41.54,41.55,41.51,1697774400000,4966
1635157.0,41.5516,41.56,41.54,41.58,41.5,1698033600000,3244
1475614.0,41.6004,41.61,41.6,41.62,41.55,1698120000000,5427
670904.0,41.5334,41.56,41.51,41.608,41.51,1698206400000,2612
624779.0,41.4878,41.54,41.47,41.578,41.46,1698292800000,3581
1026144.0,41.4628,41.51,41.44,41.52,41.43,1698379200000,4023
1689170.0,41.5254,41.47,41.56,41.57,41.47,1698638400000,4012
1937505.0,41.5502,41.59,41.55,41.59,41.5,1698724800000,4105
1250721.0,41.25,41.3,41.29,41.3,41.192,1698811200000,4088
3722017.0,41.4665,41.37,41.47,41.5,41.334,1698897600000,11641
3617414.0,41.5595,41.52,41.54,41.6,41.51,1698984000000,9943
1806627.0,41.5931,41.59,41.6,41.63,41.5,1699246800000,5141
3137646.0,41.6113,41.66,41.6,41.66,41.55,1699333200000,8115
2429457.0,41.6086,41.66,41.6,41.68,41.56,1699419600000,5711
1615682.0,41.5986,41.63,41.58,41.63,41.5615,1699506000000,4686
1434806.0,41.605,41.62,41.61,41.64,41.57,1699592400000,6201
1135724.0,41.633,41.63,41.62,41.68,41.57,1699851600000,5044
2976825.0,41.7538,41.8,41.7,41.81,41.685,1699938000000,8044
1286948.0,41.6973,41.7,41.69,41.74,41.64,1700024400000,4426
2032815.0,41.6796,41.68,41.69,41.73,41.65,1700110800000,5636
749462.0,41.7343,41.74,41.73,41.75,41.66,1700197200000,3427
1710073.0,41.7492,41.68,41.76,41.7699,41.67,1700456400000,4470
2488504.0,41.7183,41.76,41.72,41.8342,41.7,1700542800000,3949
899454.0,41.7482,41.76,41.75,41.8499,41.72,1700629200000,3738
251661.0,41.7628,41.78,41.74,41.79,41.74,1700802000000,951
1429088.0,41.75,41.77,41.75,41.84,41.73,1701061200000,3761
1364597.0,41.7567,41.74,41.76,41.78,41.73,1701147600000,3173
1152109.0,41.8084,41.75,41.82,41.84,41.75,1701234000000,3613
2126991.0,41.8203,41.88,41.84,41.88,41.8,1701320400000,4544
3234849.0,41.5319,41.56,41.53,41.5871,41.5,1701406800000,6684
2743206.0,41.5409,41.59,41.57,41.59,41.47,1701666000000,5700
2357968.0,41.5855,41.61,41.6,41.62,41.55,1701752400000,5820
3173313.0,41.6235,41.66,41.64,41.6899,41.6,1701838800000,5806
2220483.0,41.6818,41.69,41.68,41.705,41.64,1701925200000,5278
2553431.0,41.7172,41.68,41.73,41.75,41.65,1702011600000,6580
1787338.0,41.6899,41.74,41.7,41.745,41.66,1702270800000,4953
1080719.0,41.7205,41.72,41.73,41.76,41.6806,1702357200000,4278
3494228.0,41.7852,41.78,41.82,41.84,41.7,1702443600000,7520
2908585.0,41.9512,41.88,41.98,41.99,41.84,1702530000000,9717
2234974.0,41.9952,41.95,41.98,42.02,41.9,1702616400000,5955
3820865.0,41.6498,41.7,41.66,41.7,41.62,1702875600000,6836
2126890.0,41.7298,41.66,41.72,41.76,41.66,1702962000000,5874
3375506.0,41.7488,41.76,41.72,41.7899,41.71,1703048400000,7295
5049942.0,41.7823,41.76,41.8,41.82,41.75,1703134800000,6860
1631712.0,41.8705,41.86,41.89,41.9,41.83,1703221200000,5930
1336044.0,41.8848,41.93,41.9,41.93,41.82,1703566800000,4517
1508464.0,41.9485,41.93,41.96,41.98,41.9,1703653200000,4970
1262261.0,41.9491,41.99,41.92,41.99,41.92,1703739600000,3437
785809.0,41.9428,41.95,41.93,41.97,41.92,1703826000000,3783
2468055.0,41.9035,41.93,41.93,41.93,41.8622,1704171600000,4938
1251769.0,41.8534,41.92,41.85,41.93,41.84,1704258000000,4637
3003744.0,41.8193,41.88,41.79,41.88,41.79,1704344400000,8512
3804657.0,41.8344,41.83,41.84,41.85,41.8,1704430800000,5881
2028456.0,41.8848,41.89,41.92,41.92,41.845,1704690000000,5042
3404282.0,41.9166,41.93,41.92,41.94,41.89,1704776400000,5484
2239681.0,41.9308,41.97,41.94,41.97,41.9,1704862800000,7526
1687999.0,41.9386,41.97,41.95,41.97,41.9,1704949200000,5260
1958632.0,41.9572,41.99,41.97,41.99,41.94,1705035600000,4518
1260252.0,41.9617,41.97,41.98,41.98,41.95,1705381200000,3647
1160427.0,41.943,41.92,41.94,41.96,41.912,1705467600000,5359
2024434.0,41.9366,41.99,41.95,41.99,41.91,1705554000000,5182
2129602.0,41.9501,41.95,41.96,41.97,41.93,1705640400000,5043
3219756.0,41.9879,42.01,41.99,42.01,41.97,1705899600000,8058
2163484.0,42.0027,42.02,42.0,42.02,41.95,1705986000000,3921
2022021.0,41.9958,42.04,41.96,42.04,41.95,1706072400000,5733
2972647.0,42.0136,42.01,42.01,42.038,41.995,1706158800000,3927
1886943.0,42.0054,42.02,42.0,42.03,41.99,1706245200000,3571
4161822.0,42.0253,42.05,42.04,42.05,42.0,1706504400000,6560
1009843.0,42.0149,42.02,42.02,42.035,42.0,1706590800000,3455
1632857.0,41.9632,42.01,41.96,42.0199,41.94,1706677200000,4441
3744856.0,41.6628,41.71,41.69,41.72,41.615,1706763600000,8209
2619939.0,41.6746,41.69,41.68,41.695,41.64,1706850000000,7340
1568422.0,41.6545,41.68,41.64,41.68,41.64,1707109200000,4895
1681445.0,41.6983,41.68,41.72,41.72,41.662,1707195600000,5020
1530894.0,41.7307,41.77,41.72,41.77,41.7101,1707282000000,3797
2520187.0,41.7303,41.75,41.72,41.75,41.72,1707368400000,5303
2231626.0,41.7358,41.7,41.74,41.75,41.7,1707454800000,9256
990680.0,41.7542,41.77,41.73,41.77,41.73,1707714000000,2980
1881899.0,41.6935,41.67,41.68,41.72,41.66,1707800400000,4006
923036.0,41.7521,41.77,41.76,41.77,41.715,1707886800000,3124
1415367.0,41.8171,41.79,41.83,41.84,41.7601,1707973200000,3896
2124395.0,41.8492,41.85,41.86,41.86,41.77,1708059600000,4277
1132799.0,41.8629,41.88,41.87,41.89,41.82,1708405200000,3955
1323978.0,41.8942,41.9,41.9,41.92,41.87,1708491600000,3638
4459468.0,41.9694,41.98,41.98,41.985,41.93,1708578000000,5356
2204649.0,41.9866,41.99,41.98,42.01,41.97,1708664400000,3301
3356627.0,41.99,41.99,41.99,42.01,41.97,1708923600000,3518
3546163.0,42.0186,42.02,42.02,42.04,42.0,1709010000000,6433
2449831.0,42.0131,42.02,42.01,42.03,41.972,1709096400000,5281
1973233.0,42.0419,42.04,42.04,42.06,42.0214,1709182800000,3753
3802426.0,41.7794,41.78,41.77,41.79,41.72,1709269200000,6383
892929.0,41.8,41.81,41.8,41.82,41.76,1709528400000,3937
1093470.0,41.8048,41.82,41.81,41.82,41.79,1709614800000,3306
1690223.0,41.854,41.87,41.87,41.875,41.83,1709701200000,4001
1422902.0,41.8925,41.91,41.89,41.93,41.88,1709787600000,3726
1484600.0,41.9315,41.93,41.92,41.95,41.905,1709874000000,3315
1985725.0,41.9235,41.93,41.92,41.94,41.91,1710129600000,3970
2059815.0,41.9609,41.95,41.96,41.98,41.92,1710216000000,6542
1742449.0,41.992,42.0,41.97,42.0099,41.97,1710302400000,5305
2050126.0,41.9673,41.99,41.97,41.9954,41.95,1710388800000,3421
1954211.0,41.9692,41.95,41.98,41.99,41.92,1710475200000,5957
2532392.0,41.9995,42.03,41.99,42.05,41.98,1710734400000,5440
2038954.0,42.0225,42.02,42.04,42.04,41.98,1710820800000,2967
3802273.0,42.0488,42.03,42.06,42.08,42.02,1710907200000,6555
1617461.0,42.0468,42.1,42.03,42.13,42.02,1710993600000,10348
3418212.0,41.9415,42.08,41.91,42.09,41.91,1711080000000,11368
3393458.0,41.9399,41.87,41.94,41.96,41.87,1711339200000,4781
4379947.0,41.9413,41.98,41.94,41.98,41.93,1711425600000,3637
2347852.0,42.0182,41.98,42.04,42.04,41.965,1711512000000,4397
3848871.0,42.1077,42.05,42.11,42.13,42.03,1711598400000,3722
5130802.0,41.8276,41.77,41.83,41.87,41.75,1711944000000,5626
1500449.0,41.8188,41.85,41.82,41.85,41.77,1712030400000,4031
4599893.0,41.8174,41.86,41.81,41.86,41.81,1712116800000,6857
3109946.0,41.7986,41.86,41.73,41.87,41.72,1712203200000,6764
3020843.0,41.8037,41.83,41.77,41.84,41.76,1712289600000,6519
4639141.0,41.8264,41.79,41.86,41.87,41.78,1712548800000,6597
2766763.0,41.8469,41.83,41.84,41.88,41.82,1712635200000,5576
2341997.0,41.8076,41.82,41.8,41.84,41.76,1712721600000,4565
1912186.0,41.781,41.84,41.81,41.84,41.76,1712808000000,3854
4271157.0,41.7611,41.81,41.76,41.81,41.73,1712894400000,3554
3179214.0,41.7765,41.8,41.75,41.86,41.7413,1713153600000,6384
2722640.0,41.7455,41.78,41.72,41.83,41.72,1713240000000,7057
4788759.0,41.733,41.8,41.72,41.805,41.71,1713326400000,6715
4474391.0,41.7689,41.78,41.78,41.8,41.73,1713412800000,5814
3790058.0,41.7903,41.78,41.8,41.81,41.77,1713499200000,6233
2919037.0,41.8555,41.85,41.87,41.87,41.825,1713758400000,5624
4109423.0,41.9441,41.9,41.95,41.9699,41.8621,1713844800000,9685
4450738.0,41.9634,41.97,41.98,41.98,41.93,1713931200000,5380
2429221.0,41.9112,41.96,41.92,41.96,41.85,1714017600000,5136
2507634.0,41.9746,41.97,41.98,41.99,41.9156,1714104000000,5069
4988530.0,41.9992,42.0,42.0,42.04,41.97,1714363200000,4262
2306158.0,41.992,42.02,41.98,42.02,41.96,1714449600000,5451
4170769.0,41.6886,41.75,41.68,41.75,41.655,1714536000000,9149
3233447.0,41.7553,41.73,41.78,41.79,41.68,1714622400000,6788
7749798.0,41.8587,41.87,41.87,41.88,41.81,1714708800000,13153
5491780.0,41.9007,41.91,41.92,41.92,41.8801,1714968000000,4549
5810502.0,41.9373,41.96,41.96,41.965,41.92,1715054400000,6642
3464955.0,41.9614,41.96,41.92,41.99,41.91,1715140800000,6271
2619747.0,41.9566,41.97,41.97,41.98,41.93,1715227200000,5804
1023707.0,41.9625,42.0,41.94,42.0,41.94,1715313600000,2480
1139235.0,41.9542,41.99,41.95,41.99,41.94,1715572800000,2866
1257217.0,41.9528,41.98,41.94,41.98,41.94,1715659200000,4275
3920556.0,41.9917,41.97,41.98,42.01,41.901,1715745600000,5128
2702327.0,41.9805,42.0,41.97,42.005,41.97,1715832000000,3180
1499743.0,42.0023,42.02,42.0,42.0295,41.985,1715918400000,3313
2904551.0,42.0244,42.03,42.02,42.0398,42.01,1716177600000,4032
446978.0,42.0253,42.01,42.03,42.04,42.01,1716264000000,1772
1829821.0,42.0389,42.04,42.03,42.08,42.02,1716350400000,4685
4071568.0,42.0261,42.08,42.01,42.08,42.0,1716436800000,4172
1329190.0,42.0584,42.07,42.07,42.07,42.03,1716523200000,2033
2209527.0,42.0585,42.08,42.06,42.085,42.041,1716868800000,5065
1605834.0,42.0279,42.05,42.03,42.05,42.01,1716955200000,4561
4501626.0,42.0529,42.07,42.05,42.07,42.031,1717041600000,3542
2552342.0,42.0607,42.07,42.09,42.09,42.045,1717128000000,6114
6225628.0,41.8108,41.82,41.8,41.84,41.79,1717387200000,7064
1890460.0,41.8128,41.82,41.81,41.84,41.8,1717473600000,3944
3269099.0,41.8231,41.84,41.82,41.84,41.81,1717560000000,3966
3676359.0,41.8203,41.83,41.83,41.85,41.8,1717646400000,3786
2554293.0,41.8291,41.85,41.83,41.85,41.812,1717732800000,2756
1614208.0,41.852,41.84,41.86,41.86,41.83,1717992000000,3127
1657021.0,41.8594,41.86,41.85,41.9,41.835,1718078400000,4804
2921010.0,41.8722,41.9,41.87,41.9,41.83,1718164800000,3735
3537810.0,41.8277,41.89,41.82,41.89,41.82,1718251200000,3959
10909569.0,41.7417,41.83,41.68,41.8301,41.67,1718337600000,10792
3469014.0,41.7516,41.78,41.76,41.78,41.69,1718596800000,5925
3282046.0,41.7562,41.8,41.76,41.8,41.73,1718683200000,2469
