v,vw,o,c,h,l,t,n
4608686.0,21.041,21.04,21.23,21.36,20.69,1692936000000,38564
4568190.0,21.1704,21.47,20.99,21.595,20.99,1693195200000,41640
4739346.0,21.4119,20.9,21.65,21.69,20.75,1693281600000,40721
5351499.0,21.8815,21.59,22.1,22.17,21.18,1693368000000,43557
4620792.0,22.2198,22.23,22.17,22.45,21.93,1693454400000,37417
3984223.0,22.1546,22.42,21.98,22.51,21.94,1693540800000,38001
5136906.0,21.6694,21.77,21.67,21.92,21.31,1693886400000,46907
8635470.0,21.6338,22.66,21.37,22.88,21.285,1693972800000,61713
8651037.0,21.2761,20.96,21.82,21.9,20.46,1694059200000,59963
5377772.0,21.2716,21.98,20.84,22.16,20.77,1694145600000,49251
4694027.0,21.3105,21.12,21.32,21.56,20.84,1694404800000,43411
3938347.0,21.105,21.11,21.18,21.53,20.855,1694491200000,34857
5146889.0,20.7526,21.0,20.57,21.12,20.56,1694577600000,34569
5636508.0,20.8919,20.85,20.8,21.4,20.75,1694664000000,36951
8983104.0,20.1781,20.49,20.12,20.72,19.93,1694750400000,51812
6419628.0,20.3851,19.98,20.39,20.735,19.825,1695009600000,42911
6311670.0,20.1116,20.06,20.33,20.44,19.73,1695096000000,44310
8530207.0,19.5347,20.3,19.12,20.35,19.085,1695182400000,57484
7911408.0,18.6529,18.8,18.55,18.88,18.45,1695268800000,63442
6467731.0,18.6684,18.79,18.61,18.99,18.4534,1695355200000,47613
8559554.0,18.7219,18.5,18.81,18.96,18.31,1695614400000,52384
5168340.0,18.4465,18.59,18.45,18.7672,18.29,1695700800000,41923
4162963.0,18.6931,18.6,18.67,18.94,18.4425,1695787200000,32778
4044791.0,18.6098,18.66,18.6,18.815,18.33,1695873600000,40202
5079955.0,18.833,18.92,18.73,19.315,18.59,1695960000000,40535
8934327.0,18.279,17.715,18.32,18.69,17.56,1696219200000,70410
9313111.0,17.4524,18.09,17.37,18.14,17.05,1696305600000,76222
6971165.0,17.301,17.5,17.41,17.52,17.0,1696392000000,56521
9067272.0,17.0773,17.21,17.33,17.45,16.595,1696478400000,64837
6644076.0,17.2492,17.11,17.08,17.62,16.93,1696564800000,48437
6954183.0,17.2499,16.76,17.21,17.5,16.75,1696824000000,63076
8942725.0,18.0078,17.29,18.05,18.335,17.205,1696910400000,72546
13114215.0,18.6855,18.16,18.81,18.94,18.12,1696996800000,82212
9567116.0,17.95,18.62,17.84,18.78,17.395,1697083200000,67146
4801361.0,17.4837,17.85,17.46,17.965,17.26,1697169600000,41749
4444746.0,17.8117,17.52,17.92,18.01,17.205,1697428800000,34684
5707437.0,18.4244,17.87,18.45,18.585,17.87,1697515200000,44981
4686924.0,17.9289,18.21,17.8,18.32,17.79,1697601600000,37137
5575216.0,17.8276,17.88,17.81,18.16,17.625,1697688000000,53193
8999282.0,17.6547,17.86,17.58,17.94,17.395,1697774400000,67396
6811155.0,17.2544,17.44,17.19,17.62,17.09,1698033600000,47738
5128159.0,17.7232,17.47,17.75,18.13,17.435,1698120000000,41828
9729212.0,16.7804,17.34,16.56,17.55,16.48,1698206400000,66756
10820559.0,16.2267,16.5,16.25,16.655,15.86,1698292800000,67840
6877887.0,15.9464,16.4,15.77,16.54,15.65,1698379200000,47280
7266362.0,15.8271,15.96,15.95,16.115,15.525,1698638400000,54842
8084984.0,16.0404,15.71,15.99,16.335,15.68,1698724800000,56578
5612322.0,16.1371,16.05,16.21,16.33,15.815,1698811200000,44659
9904454.0,17.0602,16.69,16.82,17.4,16.67,1698897600000,65372
7333295.0,17.6582,17.22,17.49,18.06,17.15,1698984000000,55376
9405067.0,17.2024,17.63,17.06,17.835,16.825,1699246800000,64567
20396042.0,16.8883,17.37,17.25,17.64,16.9201,1699333200000,133203
36311709.0,14.5787,14.3,14.89,15.11,13.86,1699419600000,178938
18727073.0,14.1951,14.99,13.92,15.12,13.85,1699506000000,102498
15746475.0,14.0432,14.17,14.11,14.405,13.825,1699592400000,95863
9642113.0,13.9557,14.08,13.81,14.21,13.8,1699851600000,45891
14911747.0,14.6699,14.3,14.71,14.9456,14.26,1699938000000,99383
10252012.0,14.6304,14.75,14.52,14.9,14.455,1700024400000,63650
10520134.0,14.183,14.38,14.25,14.39,13.92,1700110800000,62195
9085931.0,14.3044,14.28,14.4,14.45,14.015,1700197200000,56040
8364704.0,14.4287,14.27,14.46,14.66,14.115,1700456400000,54127
9126361.0,13.9248,14.3,13.82,14.33,13.805,1700542800000,54960
5619368.0,13.9895,14.0,14.02,14.12,13.765,1700629200000,42447
2236056.0,14.1148,14.14,14.19,14.2,13.9214,1700802000000,18736
6260054.0,14.2611,14.06,14.26,14.45,14.02,1701061200000,40654
7479899.0,14.4519,14.21,14.72,14.76,14.0,1701147600000,47882
10748572.0,15.2925,15.0,15.27,15.54,15.0,1701234000000,64931
9635004.0,14.9264,15.35,14.87,15.43,14.73,1701320400000,54848
7725387.0,15.1263,14.91,15.32,15.32,14.77,1701406800000,56564
7391709.0,15.2626,15.18,15.12,15.57,15.1,1701666000000,51789
6761568.0,14.8584,14.96,14.88,15.01,14.68,1701752400000,49645
11069901.0,15.0774,14.82,15.13,15.475,14.45,1701838800000,71341
6316026.0,15.0576,15.1,15.06,15.29,14.75,1701925200000,44356
7750416.0,15.305,15.01,15.35,15.49,14.9089,1702011600000,38006
8216232.0,15.5137,15.27,15.64,15.71,15.1407,1702270800000,50447
6432283.0,15.3614,15.57,15.41,15.69,15.155,1702357200000,45156
8125014.0,15.7056,15.54,16.07,16.15,15.17,1702443600000,51536
17119257.0,17.1269,16.57,17.24,17.48,16.52,1702530000000,96491
12398972.0,16.9248,17.35,16.84,17.49,16.77,1702616400000,68459
8450538.0,17.0782,16.93,17.12,17.43,16.72,1702875600000,53032
12153843.0,18.0166,17.31,18.17,18.3,17.275,1702962000000,79882
13483858.0,18.3738,18.04,17.97,18.78,17.861,1703048400000,80425
8066733.0,18.1815,18.29,18.28,18.66,17.88,1703134800000,53952
5016197.0,18.125,18.4,18.14,18.5399,17.88,1703221200000,40726
4736583.0,18.3657,18.24,18.43,18.49,18.1,1703566800000,30460
5833463.0,18.7027,18.5,18.84,18.85,18.395,1703653200000,41242
8274124.0,18.952,18.7,18.92,19.1658,18.669,1703739600000,52321
6340456.0,18.3451,18.77,18.26,18.875,18.17,1703826000000,42809
7564961.0,17.9809,18.0,18.06,18.26,17.59,1704171600000,55491
7891082.0,17.3282,17.57,17.24,17.73,17.11,1704258000000,58100
8213853.0,17.4172,17.17,17.52,17.56,16.86,1704344400000,54030
5846939.0,17.7455,17.29,17.74,17.95,17.23,1704430800000,47944
7580088.0,18.4115,17.91,18.64,18.725,17.81,1704690000000,57283
8500028.0,18.7411,18.32,18.8,19.045,18.285,1704776400000,60154
13789931.0,19.0507,19.93,19.1,19.94,18.56,1704862800000,83860
7657192.0,18.7094,19.15,18.66,19.25,18.45,1704949200000,53621
11625434.0,18.2073,18.85,17.95,18.98,17.95,1705035600000,65284
9553509.0,17.3586,17.73,17.3,17.74,17.03,1705381200000,71684
6868661.0,16.8043,16.92,16.89,16.9653,16.63,1705467600000,46236
8067096.0,17.2617,17.11,17.38,17.46,17.02,1705554000000,55896
8161433.0,17.2971,17.43,17.34,17.48,17.06,1705640400000,49832
14396048.0,17.3014,17.63,17.21,18.0,17.035,1705899600000,85551
9592454.0,17.0655,17.54,17.0,17.54,16.82,1705986000000,52676
12663384.0,16.4546,17.32,16.29,17.37,16.26,1706072400000,84684
8217219.0,16.5365,16.48,16.6,16.76,16.13,1706158800000,64216
12617396.0,17.4594,16.6,17.45,17.89,16.56,1706245200000,85803
10207587.0,18.3951,17.62,18.75,18.76,17.53,1706504400000,65170
7976712.0,18.3888,18.6,18.44,18.7399,18.2,1706590800000,47586
9313704.0,17.9848,18.17,17.77,18.39,17.65,1706677200000,64290
8375609.0,18.3997,18.0,18.55,18.65,17.96,1706763600000,56722
7356697.0,18.7328,18.24,18.67,18.9667,18.15,1706850000000,48104
5507867.0,18.2194,18.39,18.3,18.51,17.95,1707109200000,40157
4259583.0,18.4429,18.25,18.41,18.79,18.135,1707195600000,35486
6469211.0,19.07,19.2,19.28,19.3,18.54,1707282000000,51481
7872586.0,19.2471,19.38,19.09,19.735,19.04,1707368400000,50601
7466786.0,19.3564,19.18,19.28,19.64,18.985,1707454800000,52712
12994024.0,19.9755,19.33,20.01,20.185,19.28,1707714000000,74263
7585160.0,19.4471,19.0,19.42,19.822,18.82,1707800400000,58699
8447478.0,19.7919,19.75,20.15,20.17,19.255,1707886800000,65911
26362647.0,19.6594,20.38,19.2,20.64,18.47,1707973200000,142526
31248575.0,22.1185,21.35,22.42,22.66,20.96,1708059600000,196286
14156944.0,21.7446,21.52,21.78,22.03,21.33,1708405200000,87277
11512319.0,20.767,21.2,20.75,21.34,20.49,1708491600000,76579
9102348.0,20.8672,21.04,20.88,21.32,20.68,1708578000000,57410
9628186.0,21.0824,20.86,21.09,21.44,20.57,1708664400000,59607
6565866.0,21.3983,21.09,21.34,21.595,21.02,1708923600000,48731
7336204.0,21.8604,21.51,22.12,22.22,21.28,1709010000000,56209
7525476.0,22.643,22.0,22.66,22.93,21.92,1709096400000,55209
10990574.0,23.1492,22.78,23.0,23.6191,22.78,1709182800000,65596
6058552.0,23.3404,23.05,23.38,23.51,22.83,1709269200000,44695
10557185.0,24.0291,23.73,24.39,24.545,23.18,1709528400000,78431
9044121.0,23.817,24.08,23.78,24.21,23.36,1709614800000,64329
9450416.0,24.7754,24.31,24.88,25.0,24.075,1709701200000,64447
5879175.0,24.8633,25.15,24.82,25.63,24.54,1709787600000,43270
7132105.0,24.5736,25.01,24.52,25.14,24.175,1709874000000,50888
5428604.0,24.775,24.49,24.65,25.02,24.38,1710129600000,45953
6573840.0,24.8718,25.01,25.0,25.04,24.335,1710216000000,39673
6563145.0,25.2114,24.75,25.09,25.54,24.7,1710302400000,40297
6134608.0,24.4032,25.22,24.16,25.42,23.97,1710388800000,52172
11277373.0,23.5692,23.5,23.55,24.1,23.32,1710475200000,58494
4869861.0,23.5344,23.59,23.51,23.89,23.34,1710734400000,39627
6011127.0,23.1612,23.19,23.25,23.58,22.595,1710820800000,43693
6559813.0,23.5093,23.18,23.69,23.93,22.9515,1710907200000,44206
7112442.0,24.4158,23.9,24.36,24.775,23.65,1710993600000,47201
3672690.0,23.9196,24.4,23.8,24.72,23.69,1711080000000,32010
3517398.0,23.9239,23.92,23.8,24.38,23.66,1711339200000,28351
6190848.0,24.6014,24.13,24.48,24.96,24.06,1711425600000,48724
6398936.0,24.243,24.8,24.33,24.9243,23.97,1711512000000,46311
6799930.0,24.7964,24.48,24.92,25.12,24.35,1711598400000,42906
