v,vw,o,c,h,l,t,n
4430272.0,24.4493,24.5,24.58,24.66,24.2,1692936000000,23372
4333335.0,24.881,24.58,24.93,25.03,24.545,1693195200000,20773
4486512.0,25.0139,24.71,25.14,25.19,24.71,1693281600000,20598
4901145.0,25.2709,25.3,25.29,25.405,25.16,1693368000000,22024
9977199.0,26.6472,26.6,26.71,26.97,26.38,1693454400000,48558
4696160.0,26.4156,26.33,26.34,26.64,26.32,1693540800000,26022
4005416.0,26.5298,26.69,26.4,26.74,26.395,1693886400000,19778
4104297.0,25.8509,25.96,25.81,26.1,25.695,1693972800000,19902
3332772.0,25.6717,25.62,25.74,25.77,25.53,1694059200000,17763
3050200.0,25.4667,25.37,25.5,25.59,25.22,1694145600000,14401
3446568.0,25.6484,25.71,25.62,25.86,25.5509,1694404800000,18534
3087519.0,25.7481,25.62,25.79,25.95,25.56,1694491200000,18122
3077399.0,26.0684,26.09,25.99,26.245,25.9,1694577600000,15883
2677388.0,26.2311,26.22,26.19,26.325,26.14,1694664000000,16310
4416786.0,26.1019,26.04,26.02,26.345,25.94,1694750400000,23343
2390050.0,26.0067,26.01,25.97,26.1106,25.8891,1695009600000,14582
2638014.0,26.0338,25.99,26.06,26.11,25.96,1695096000000,14265
2922850.0,26.4408,26.35,26.18,26.575,26.16,1695182400000,13218
2703904.0,25.7497,25.8,25.66,25.8799,25.64,1695268800000,13934
2207351.0,25.4618,25.57,25.35,25.615,25.32,1695355200000,14152
1984451.0,25.2753,25.24,25.37,25.395,25.1106,1695614400000,12792
3063728.0,25.1058,25.04,25.07,25.27,25.0,1695700800000,17000
6756297.0,24.2413,24.23,24.34,24.365,24.03,1695787200000,29111
2828058.0,24.6589,24.44,24.7,24.84,24.38,1695873600000,15412
2676734.0,24.7497,24.92,24.65,24.94,24.575,1695960000000,13718
3140751.0,24.3765,24.59,24.36,24.68,24.275,1696219200000,17848
4418911.0,23.8395,23.98,23.85,24.06,23.715,1696305600000,21104
2689062.0,23.8859,24.0,23.95,24.02,23.75,1696392000000,16737
2427244.0,24.0074,23.87,24.08,24.12,23.87,1696478400000,14674
4454527.0,24.4081,24.28,24.59,24.68,24.11,1696564800000,18861
2761669.0,24.4362,24.37,24.62,24.63,24.275,1696824000000,15040
2611454.0,24.7743,24.72,24.71,24.87,24.671,1696910400000,17379
2906443.0,25.18,25.13,25.23,25.295,25.0516,1696996800000,17284
2666223.0,24.8734,25.01,24.79,25.03,24.63,1697083200000,17925
3270338.0,24.3679,24.48,24.31,24.605,24.22,1697169600000,20208
2462405.0,24.8805,24.76,24.92,25.0,24.71,1697428800000,15742
2900585.0,25.0146,24.72,25.07,25.21,24.72,1697515200000,16592
3945993.0,24.4842,24.76,24.39,24.79,24.32,1697601600000,22124
3293516.0,24.1834,24.16,24.05,24.395,24.01,1697688000000,24206
2992562.0,23.7601,23.87,23.72,23.965,23.6,1697774400000,18315
2003555.0,23.7036,23.63,23.64,23.9075,23.555,1698033600000,14722
2630094.0,23.7421,23.62,23.83,23.84,23.555,1698120000000,17089
1870292.0,23.8199,23.86,23.79,23.995,23.665,1698206400000,15049
2632822.0,23.6659,23.71,23.6,23.855,23.545,1698292800000,18162
2178216.0,23.4139,23.66,23.36,23.693,23.28,1698379200000,16708
1913712.0,23.6355,23.55,23.71,23.74,23.52,1698638400000,14068
3011826.0,23.3767,23.35,23.46,23.48,23.23,1698724800000,20533
3127270.0,23.9342,23.78,24.03,24.115,23.735,1698811200000,19825
3221326.0,24.2176,24.13,24.3,24.33,24.0925,1698897600000,18449
3344191.0,24.4525,24.28,24.47,24.57,24.28,1698984000000,19677
2417358.0,24.3435,24.47,24.35,24.5,24.29,1699246800000,16341
3768200.0,24.8561,24.98,24.92,25.2765,24.645,1699333200000,26560
