v,vw,o,c,h,l,t,n
483175.0,26.7092,26.62,26.78,26.91,26.46,1692936000000,5254
343722.0,26.7886,26.78,26.7,27.1,26.62,1693195200000,3643
1067658.0,26.5902,26.6,26.5,26.805,26.4,1693281600000,11076
762884.0,26.8803,26.78,26.85,27.01,26.64,1693368000000,5663
744984.0,26.7465,26.93,26.69,27.0,26.56,1693454400000,6484
340850.0,27.0183,26.84,27.1,27.17,26.84,1693540800000,3949
1023820.0,27.1581,27.29,26.85,27.49,26.85,1693886400000,9128
1501170.0,26.1526,27.06,25.88,27.075,25.86,1693972800000,10784
1676080.0,25.9054,25.89,25.86,26.11,25.69,1694059200000,10088
1469974.0,26.0586,26.13,25.99,26.19,25.9179,1694145600000,9053
1532710.0,26.1138,25.97,26.12,26.27,25.97,1694404800000,8501
4088023.0,26.303,26.47,26.22,26.64,26.21,1694491200000,14066
1175311.0,26.0656,26.15,26.02,26.31,25.97,1694577600000,6951
1280945.0,26.2265,26.28,26.28,26.36,26.07,1694664000000,9429
2509821.0,26.0281,26.19,25.99,26.3,25.85,1694750400000,9694
1761772.0,26.0152,26.07,26.14,26.24,25.71,1695009600000,10547
1709071.0,26.4277,26.24,26.6,26.71,26.11,1695096000000,11429
1555937.0,27.0651,26.5,26.86,27.39,26.5,1695182400000,13110
2175806.0,26.8912,27.0,26.63,27.125,26.61,1695268800000,17878
10239002.0,26.8623,26.94,26.72,27.58,26.35,1695355200000,41972
2602679.0,26.9849,26.5,26.96,27.47,26.5,1695614400000,13951
1099123.0,26.5421,26.96,26.33,26.96,26.32,1695700800000,8910
1500818.0,26.8821,26.58,26.95,27.03,26.56,1695787200000,10706
1238863.0,27.0845,26.79,27.27,27.37,26.75,1695873600000,10395
1460910.0,27.2238,27.56,27.23,27.56,27.01,1695960000000,9983
1267422.0,27.0538,27.27,27.08,27.27,26.77,1696219200000,10875
1988696.0,26.8577,26.9,26.77,27.13,26.51,1696305600000,15233
1225351.0,26.378,26.66,26.5,26.66,26.14,1696392000000,10093
766557.0,26.7732,26.4,26.81,26.905,26.4,1696478400000,7263
574307.0,26.9413,26.78,26.82,27.17,26.63,1696564800000,5746
569418.0,27.4464,27.08,27.57,27.61,27.08,1696824000000,5274
514117.0,27.7444,27.59,27.66,27.93,27.51,1696910400000,4784
1294830.0,27.5384,27.65,27.43,27.75,27.36,1696996800000,7829
951403.0,27.187,27.43,27.19,27.43,27.03,1697083200000,6987
1134950.0,27.3487,27.37,27.42,27.505,27.09,1697169600000,8596
698226.0,27.4496,27.46,27.37,27.66,27.23,1697428800000,6232
1650158.0,27.5068,27.3,27.51,27.64,27.22,1697515200000,6636
520740.0,27.7252,27.57,27.66,27.93,27.515,1697601600000,4795
1231876.0,27.7895,27.55,27.73,28.1,27.515,1697688000000,5747
589595.0,27.7318,27.68,27.69,27.99,27.47,1697774400000,6331
516342.0,27.6295,27.57,27.49,27.89,27.43,1698033600000,6626
794013.0,27.5976,27.58,27.63,27.72,27.37,1698120000000,8775
500433.0,27.7658,27.54,27.73,27.975,27.54,1698206400000,4393
602147.0,27.3842,27.72,27.33,27.72,27.25,1698292800000,6378
