v,vw,o,c,h,l,t,n
622027.0,32.4893,32.81,32.48,32.81,32.18,1692936000000,10275
820607.0,32.3837,32.49,32.32,32.62,32.26,1693195200000,12061
1030369.0,32.7611,32.4,32.84,32.86,32.32,1693281600000,9214
934657.0,33.2141,32.97,33.37,33.44,32.78,1693368000000,12152
517012.0,33.2916,33.3,33.3,33.58,33.14,1693454400000,9054
540748.0,33.5319,33.2,33.65,33.75,33.15,1693540800000,8488
1052095.0,33.6594,33.38,33.36,34.12,33.35,1693886400000,16336
1337148.0,33.5637,33.5,33.65,34.14,33.14,1693972800000,19329
697242.0,33.2378,33.48,32.98,33.72,32.97,1694059200000,12235
894492.0,32.955,33.11,32.84,33.25,32.76,1694145600000,12398
1226269.0,32.8234,33.02,32.66,33.515,32.63,1694404800000,13560
1228412.0,32.7851,32.15,32.73,33.03,32.1,1694491200000,13375
937247.0,32.3215,32.65,32.36,32.65,32.0,1694577600000,16867
714305.0,32.6783,32.65,32.64,32.88,32.47,1694664000000,13768
2252735.0,32.273,32.5,32.27,32.51,32.1,1694750400000,14227
907282.0,32.5303,32.07,32.44,32.78,32.07,1695009600000,14950
1093796.0,31.882,32.26,31.76,32.26,31.67,1695096000000,16631
4671397.0,30.1617,31.71,29.73,31.805,29.35,1695182400000,37800
1761110.0,30.2534,29.85,30.08,30.6,29.71,1695268800000,22930
1745753.0,30.722,30.07,30.69,31.0,30.07,1695355200000,17235
1053465.0,30.9636,30.65,30.96,31.3,30.3675,1695614400000,13947
1436572.0,31.1249,31.03,31.12,31.455,30.82,1695700800000,15383
988525.0,31.3469,31.38,31.34,31.72,30.99,1695787200000,12391
1284977.0,31.2367,31.35,31.23,31.492,31.07,1695873600000,16480
974170.0,31.3841,31.25,31.4,31.725,31.19,1695960000000,11701
940562.0,31.278,31.44,31.09,31.58,31.07,1696219200000,12349
1707343.0,31.2953,31.87,31.01,32.04,30.96,1696305600000,20682
1492076.0,31.8465,30.94,31.86,32.12,30.75,1696392000000,18840
1262167.0,32.0199,31.86,32.02,32.355,31.37,1696478400000,17626
1378124.0,32.7459,31.89,32.9,32.98,31.84,1696564800000,13713
842776.0,32.7419,32.5,32.8,32.97,32.43,1696824000000,11456
1072981.0,32.8966,33.0,32.83,33.655,32.71,1696910400000,13501
730052.0,32.5639,32.89,32.56,33.15,32.37,1696996800000,9455
653308.0,32.3887,32.58,32.4,32.7,32.25,1697083200000,9081
1150979.0,32.5866,32.35,32.38,32.97,32.35,1697169600000,13113
840794.0,32.6663,32.42,32.66,32.805,32.39,1697428800000,10733
1097445.0,32.9983,32.46,32.89,33.39,32.46,1697515200000,13461
854964.0,32.2998,32.89,32.3,32.89,32.19,1697601600000,11626
1036921.0,32.6278,32.49,32.66,32.93,32.17,1697688000000,13232
850314.0,31.8637,32.64,31.58,32.64,31.47,1697774400000,11784
599713.0,31.7604,31.36,31.76,32.095,31.2,1698033600000,11271
908654.0,32.2381,32.08,32.3,32.53,31.92,1698120000000,10966
1122908.0,32.109,32.06,31.84,32.72,31.73,1698206400000,13121
3013027.0,31.2774,31.72,31.12,32.4795,30.11,1698292800000,30456
1211861.0,30.8688,30.82,30.83,31.32,30.525,1698379200000,14225
504792.0,31.1495,31.03,31.18,31.3025,30.62,1698638400000,8876
1070473.0,31.2593,31.3,31.3,31.71,30.95,1698724800000,13688
586607.0,31.2963,31.37,31.43,31.56,30.89,1698811200000,8105
1764248.0,32.1025,31.55,32.16,32.42,31.55,1698897600000,13902
1458680.0,33.1065,32.39,32.9,33.43,32.39,1698984000000,18197
661155.0,32.646,32.83,32.61,33.055,32.42,1699246800000,12619
1574561.0,32.3224,32.53,32.4,32.64,32.04,1699333200000,16491
543610.0,32.5764,32.4,32.58,32.75,32.18,1699419600000,8888
636964.0,32.646,32.83,32.5,33.0,32.38,1699506000000,10471
1719922.0,32.4404,32.48,32.65,32.76,31.8,1699592400000,15328
1708707.0,32.373,32.5,32.52,32.579,31.855,1699851600000,14559
1190683.0,32.9554,33.14,33.03,33.35,32.34,1699938000000,14956
2930907.0,32.7528,32.7,32.85,33.1406,32.3,1700024400000,33770
3313961.0,31.55,30.31,31.24,32.56,30.13,1700110800000,33695
2030654.0,31.6232,31.67,31.81,32.27,31.17,1700197200000,21918
1968518.0,31.6182,31.68,31.68,32.02,31.35,1700456400000,15647
