Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,160.14,161.75,156.77,157.85,512313,0
2015-01-05,157.47,158.28,155.2,155.77,807307,0
2015-01-06,155.86,156.59,153.21,155.66,876290,0
2015-01-07,157.25,159.9,156.36,159.01,1332837,0
2015-01-08,162.61,162.71,160.29,160.41,1030398,0
2015-01-09,159.24,160.9,157.69,159.59,916456,0
2015-01-12,159.42,159.7,157.52,158.22,760320,0
2015-01-13,158.91,160.01,151.64,153.07,828426,0
2015-01-14,151.21,152.47,148.7,150.14,722726,0
2015-01-15,150.48,151.17,147.15,147.34,930658,0
2015-01-16,147.34,149.52,146.52,149.32,780446,0
2015-01-20,149.36,152.06,147.77,151.97,946122,0
2015-01-21,151.8,153.4,151.38,152.66,714444,0
2015-01-22,153.71,156.92,153.21,155.84,742205,0
2015-01-23,156.29,157.35,153.95,155.08,688783,0
2015-01-26,155.05,158.54,155.05,158.52,618121,0
2015-01-27,157.39,158.82,156.17,158.32,543570,0
2015-01-28,158.78,160.42,157.81,158.59,1142625,0
2015-01-29,158.98,160.27,156.88,159.55,563877,0
2015-01-30,158.85,160.27,156.7,158.29,834280,0
2015-02-02,158.76,158.76,152.6,155.27,823846,0
2015-02-03,156.51,156.65,153.78,156.37,575212,0
2015-02-04,156.06,156.57,153.83,155.77,748380,0
2015-02-05,156.09,159.95,156.09,159.45,1300129,0
2015-02-06,159.69,161.69,159.51,161.28,867746,0
2015-02-09,160.9,161.04,158.36,160.03,1069019,0
2015-02-10,160.11,162.48,160.08,162.15,687724,0
2015-02-11,162.75,164.24,160.82,161.65,1212264,0
2015-02-12,154.3,156.38,150.26,150.73,4064554,0
2015-02-13,150.33,151.14,148.52,149.48,2127235,0
2015-02-17,149.23,150.69,148.18,149.55,1571530,0
2015-02-18,148.97,152.91,147.82,152.53,1797371,0
2015-02-19,152.49,154.26,151.77,152.58,1154986,0
2015-02-20,151.95,154.44,151.13,154.36,933155,0
2015-02-23,154.89,156.51,154.02,156.48,857584,0
2015-02-24,156.65,157.0,154.6,155.7,646182,0
2015-02-25,155.8,155.87,154.8,155.55,399365,0
2015-02-26,155.55,156.01,154.53,154.68,495468,0
2015-02-27,155.04,155.54,153.94,154.24,721731,0
2015-03-02,154.02,154.71,153.24,154.08,913153,0
2015-03-03,154.9,155.9,152.81,153.78,721280,0
2015-03-04,153.28,153.28,149.76,150.14,873773,0
2015-03-05,151.13,152.54,150.24,151.83,756641,0
2015-03-06,151.02,152.27,147.79,148.39,1718817,0
2015-03-09,148.32,148.83,147.07,147.61,843135,0
2015-03-10,146.12,146.97,144.44,145.85,1297404,0
2015-03-11,146.29,147.04,144.94,146.65,707016,0
2015-03-12,146.2,149.55,146.2,148.64,781956,0
2015-03-13,148.52,149.72,145.9,148.93,677583,0
2015-03-16,149.28,150.54,148.81,150.43,682906,0
2015-03-17,150.33,151.0,149.15,149.32,534231,0
2015-03-18,148.94,149.09,146.39,148.41,718482,0
2015-03-19,148.44,148.8,146.8,148.57,916202,0
2015-03-20,148.78,151.66,147.86,151.28,1309125,0
2015-03-23,150.43,151.59,148.87,148.89,1041522,0
2015-03-24,148.28,151.28,147.53,150.38,691369,0
2015-03-25,150.24,151.55,148.0,148.11,717981,0
2015-03-26,147.01,149.71,146.08,148.79,831652,0
2015-03-27,149.05,151.5,148.73,150.76,862378,0
2015-03-30,152.1,152.64,150.57,151.45,610633,0
2015-03-31,151.17,151.94,148.86,149.07,891435,0
2015-04-01,147.16,148.23,142.85,143.15,2433498,0
2015-04-02,143.35,145.04,142.42,143.38,1536275,0
2015-04-06,143.17,146.64,142.74,145.12,1155695,0
2015-04-07,145.43,146.48,145.18,146.09,800291,0
2015-04-08,146.34,148.22,145.74,148.19,773812,0
2015-04-09,147.69,148.61,146.37,147.43,649569,0
2015-04-10,148.34,149.91,146.95,149.58,590350,0
2015-04-13,148.72,150.12,148.3,148.56,378068,0
2015-04-14,148.15,149.57,147.01,148.43,734648,0
