Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,5.326,5.3807,5.318,5.373,86175,0
2015-01-05,5.373,5.5145,5.3573,5.5145,165602,0
2015-01-06,5.5145,5.5697,5.4437,5.5068,195084,0
2015-01-07,5.5068,5.6169,5.4831,5.6012,208032,0
2015-01-08,5.6012,5.6404,5.4516,5.5068,311095,0
2015-01-09,5.5068,5.5383,5.4674,5.4831,115910,0
2015-01-12,5.5224,5.5224,5.428,5.4359,132250,0
2015-01-13,5.428,5.4752,5.3414,5.3492,186962,0
2015-01-14,5.3492,5.428,5.3337,5.4202,78850,0
2015-01-15,5.3967,5.428,5.3651,5.3807,33360,0
2015-01-16,5.3651,5.4596,5.3492,5.4437,583712,0
2015-01-20,5.428,5.4752,5.3651,5.4125,456414,0
2015-01-21,5.3967,5.4202,5.3807,5.3807,93892,0
2015-01-22,5.3888,5.4674,5.3807,5.4359,131957,0
2015-01-23,5.4359,5.4516,5.3651,5.3651,85480,0
2015-01-26,5.4202,5.4359,5.3651,5.4359,191684,0
2015-01-27,5.3807,5.4752,5.3807,5.4516,81172,0
2015-01-28,5.4202,5.5224,5.4202,5.4831,99989,0
2015-01-29,5.499,5.5068,5.4437,5.5068,84799,0
2015-01-30,5.4752,5.5224,5.4596,5.4674,88601,0
2015-02-02,5.4911,5.5224,5.4674,5.5068,123777,0
2015-02-03,5.5224,5.6799,5.4674,5.6799,161137,0
2015-02-04,5.6404,5.6719,5.5776,5.6404,68290,0
2015-02-05,5.6169,5.8372,5.6169,5.8293,186747,0
2015-02-06,5.7743,5.8136,5.7034,5.7427,136578,0
2015-02-09,5.7427,5.7665,5.6326,5.6642,261413,0
2015-02-10,5.6404,5.7427,5.6248,5.7427,84564,0
2015-02-11,5.727,5.8214,5.6404,5.8214,120618,0
2015-02-12,5.8214,5.8214,5.7585,5.8136,112572,0
2015-02-13,5.8214,5.8214,5.5776,5.6091,281713,0
2015-02-17,5.7114,5.7978,5.6642,5.7192,138764,0
2015-02-18,5.7585,5.7743,5.6719,5.6955,94654,0
2015-02-19,5.7192,5.7506,5.5932,5.6169,128713,0
2015-02-20,5.6091,5.6799,5.5854,5.6404,203488,0
2015-02-23,5.5683,5.6646,5.4082,5.6404,144038,0
2015-02-24,5.6404,5.7445,5.6006,5.7366,95081,0
2015-02-25,5.7527,5.8167,5.7445,5.7687,68426,0
2015-02-26,5.7928,5.8088,5.7366,5.7527,49507,0
2015-02-27,5.7766,5.7766,5.7366,5.7445,70894,0
2015-03-02,5.8088,5.8088,5.7286,5.7845,141163,0
2015-03-03,5.7766,5.8009,5.7527,5.7845,61657,0
2015-03-04,5.8009,5.8009,5.7445,5.7845,52670,0
2015-03-05,5.7687,5.8009,5.7286,5.7766,150899,0
2015-03-06,5.7286,5.7445,5.6085,5.6164,100347,0
2015-03-09,5.6164,5.6565,5.6006,5.6164,114953,0
2015-03-10,5.6404,5.6485,5.5843,5.6006,50801,0
2015-03-11,5.6085,5.6085,5.5762,5.5843,87868,0
2015-03-12,5.5925,5.6485,5.5762,5.5925,62032,0
2015-03-13,5.5925,5.6164,5.5683,5.6164,56291,0
2015-03-16,5.6164,5.6324,5.6006,5.6006,53545,0
2015-03-17,5.6006,5.6006,5.5683,5.5843,88991,0
2015-03-18,5.5925,5.6485,5.5843,5.6324,41688,0
2015-03-19,5.6244,5.6324,5.5925,5.6006,88369,0
2015-03-20,5.6006,5.6324,5.5762,5.6006,203320,0
2015-03-23,5.5925,5.6565,5.5925,5.6006,70769,0
2015-03-24,5.6085,5.6324,5.5925,5.5925,50801,0
2015-03-25,5.6244,5.6324,5.5683,5.5683,89990,0
2015-03-26,5.5762,5.6164,5.5762,5.5925,56790,0
2015-03-27,5.6485,5.6485,5.5683,5.5925,110584,0
2015-03-30,5.5843,5.6646,5.5843,5.6006,86620,0
2015-03-31,5.6085,5.6485,5.5843,5.5925,66298,0
2015-04-01,5.5762,5.6804,5.5762,5.6804,174113,0
2015-04-02,5.6485,5.6804,5.6085,5.6485,94235,0
2015-04-06,5.6324,5.6565,5.6244,5.6324,80754,0
2015-04-07,5.6164,5.6565,5.5762,5.5762,95146,0
2015-04-08,5.6006,5.6085,5.5762,5.6006,68524,0
2015-04-09,5.6006,5.6006,5.5683,5.6006,55039,0
2015-04-10,5.6164,5.6164,5.5362,5.5444,169371,0
2015-04-13,5.5683,5.5843,5.5282,5.5683,91737,0
2015-04-14,5.5683,5.5762,5.5524,5.5603,68524,0
2015-04-15,5.5603,5.5762,5.5524,5.5524,96421,0
2015-04-16,5.5683,5.5762,5.5524,5.5524,75638,0
2015-04-17,5.5524,5.5603,5.5362,5.5524,33576,0
2015-04-20,5.5683,5.5843,5.5524,5.5524,25166,0
2015-04-21,5.5282,5.5925,5.5282,5.5524,86646,0
2015-04-22,5.5683,5.5762,5.5524,5.5603,40339,0
2015-04-23,5.5683,5.5683,5.5603,5.5603,50300,0
2015-04-24,5.5603,5.6085,5.5282,5.6085,96075,0
2015-04-27,5.6085,5.6085,5.5524,5.5683,57537,0
2015-04-28,5.5762,5.5843,5.5282,5.5444,52796,0
2015-04-29,5.5524,5.5603,5.5043,5.5444,86246,0
2015-04-30,5.5444,5.5762,5.4883,5.4963,85870,0
2015-05-01,5.7607,5.7687,5.6085,5.6164,363454,0
2015-05-04,5.7445,5.7607,5.5925,5.6085,267223,0
2015-05-05,5.5925,5.6485,5.5603,5.5683,367697,0
2015-05-06,5.6006,5.6244,5.5524,5.5603,278927,0
2015-05-07,5.6006,5.6006,5.5282,5.5362,298361,0
2015-05-08,5.6244,5.6244,5.5282,5.6006,493134,0
2015-05-11,5.6244,5.6244,5.5203,5.5203,747501,0
2015-05-12,5.5524,5.5603,5.4002,5.4002,1915350,0
2015-05-13,5.4902,5.4984,5.3674,5.3674,525847,0
2015-05-14,5.3837,5.4984,5.3837,5.4656,4214592,0
2015-05-15,5.4902,5.5639,5.4821,5.5558,733488,0
2015-05-18,5.5802,5.687,5.5396,5.6623,1038546,0
2015-05-19,5.6623,5.7444,5.6623,5.7116,401102,0
2015-05-20,5.7116,5.777,5.6952,5.777,513035,0
2015-05-21,5.7607,5.8181,5.7525,5.777,279582,0
2015-05-22,5.777,5.8017,5.7361,5.7361,347187,0
2015-05-26,5.7525,5.8017,5.7197,5.7852,478573,0
2015-05-27,5.8099,5.8836,5.777,5.8753,541345,0
2015-05-28,5.8917,5.9082,5.8507,5.8753,320455,0
2015-05-29,5.8753,5.9082,5.8099,5.8099,219540,0
2015-06-01,5.8589,5.8671,5.8017,5.8099,273538,0
2015-06-02,5.8262,5.8262,5.7852,5.8099,338907,0
2015-06-03,5.777,5.7933,5.7361,5.7525,209655,0
2015-06-04,5.7279,5.7852,5.687,5.687,198062,0
2015-06-05,5.687,5.7279,5.6541,5.6952,224178,0
2015-06-08,5.6623,5.6788,5.6215,5.6378,158890,0
2015-06-09,5.6378,5.6378,5.6133,5.6215,254992,0
2015-06-10,5.6215,5.6623,5.5968,5.6133,223142,0
2015-06-11,5.6623,5.7361,5.6541,5.7116,181737,0
2015-06-12,5.7116,5.7444,5.6378,5.7361,425413,0
2015-06-15,5.7607,5.7689,5.7116,5.7197,278849,0
2015-06-16,5.7361,5.7361,5.6623,5.6706,125331,0
2015-06-17,5.6706,5.6706,5.5968,5.6541,135703,0
2015-06-18,5.6297,5.7116,5.6133,5.7034,139484,0
2015-06-19,5.6952,5.7197,5.6052,5.646,228571,0
2015-06-22,5.6133,5.6788,5.6133,5.6378,225886,0
2015-06-23,5.6378,5.6706,5.6133,5.646,162169,0
2015-06-24,5.6706,5.6706,5.5802,5.5968,120326,0
2015-06-25,5.6133,5.6215,5.5802,5.5802,253954,0
2015-06-26,5.5639,5.5968,5.5313,5.5885,243947,0
2015-06-29,5.5558,5.5639,5.3837,5.4166,334987,0
