Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,15.3,15.6,14.54,14.76,648350,0
2015-01-05,14.55,15.17,14.5,15.01,447315,0
2015-01-06,15.12,15.8,14.56,14.76,505886,0
2015-01-07,14.82,15.24,14.65,14.87,272287,0
2015-01-08,14.98,15.2,14.76,14.94,342214,0
2015-01-09,14.99,15.93,14.89,15.7,697368,0
2015-01-12,24.05,25.2,20.8,24.68,15272212,0
2015-01-13,25.0,25.4,21.9,22.95,4155598,0
2015-01-14,22.11,23.88,21.9,23.53,1461656,0
2015-01-15,24.3,24.5,23.21,23.25,1595946,0
2015-01-16,22.98,24.3,22.78,24.2,995967,0
2015-01-20,24.45,24.78,22.53,23.61,1073870,0
2015-01-21,24.0,24.37,23.67,24.25,1055087,0
2015-01-22,24.38,24.79,23.02,24.48,1529481,0
2015-01-23,24.39,26.03,24.05,25.17,1677347,0
2015-01-26,25.64,25.67,24.37,25.52,705102,0
2015-01-27,24.78,26.45,24.78,26.26,864452,0
2015-01-28,26.22,26.25,25.29,25.58,726833,0
2015-01-29,25.11,26.73,25.1,26.26,774671,0
2015-01-30,26.02,26.47,25.3,25.61,516818,0
2015-02-02,25.23,25.49,24.17,24.82,664545,0
2015-02-03,24.5,24.688,23.12,24.23,844779,0
2015-02-04,23.75,23.79,22.62,23.19,873158,0
2015-02-05,22.73,23.95,22.7,23.73,609211,0
2015-02-06,23.59,23.94,22.69,23.09,513599,0
2015-02-09,22.79,23.56,22.65,22.99,307174,0
2015-02-10,22.9,23.35,22.5,22.66,331754,0
2015-02-11,22.53,22.77,21.7,21.95,432552,0
2015-02-12,22.0,22.28,21.62,21.67,455606,0
2015-02-13,21.6,21.96,21.21,21.45,446671,0
2015-02-17,21.35,21.87,21.04,21.23,314553,0
2015-02-18,21.11,21.2,20.42,20.45,525211,0
2015-02-19,20.5,20.52,19.96,19.98,614586,0
2015-02-20,20.04,20.16,19.26,19.89,634258,0
2015-02-23,20.17,20.47,19.79,19.9,565615,0
2015-02-24,19.99,20.32,19.68,19.73,529968,0
2015-02-25,19.75,20.04,19.21,19.43,517818,0
2015-02-26,19.39,19.42,18.12,18.39,931365,0
2015-02-27,18.21,18.32,17.5,18.17,836183,0
