Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,77.778,78.904,77.347,78.067,1997528,0
2015-01-05,78.029,79.144,77.749,78.01,3492199,0
2015-01-06,78.077,78.488,76.822,77.363,2741612,0
2015-01-07,77.063,78.097,76.67,78.039,2218048,0
2015-01-08,78.697,79.839,78.394,79.83,3583437,0
2015-01-09,79.717,79.848,78.836,79.259,1868804,0
2015-01-12,79.427,79.707,78.555,78.87,1414813,0
2015-01-13,79.482,80.139,78.067,78.716,2052783,0
2015-01-14,77.87,78.724,77.769,78.483,1912096,0
2015-01-15,78.724,79.053,78.105,78.452,1530824,0
2015-01-16,78.319,79.333,77.946,79.268,2412734,0
2015-01-20,79.511,79.876,78.536,79.642,1943254,0
2015-01-21,79.259,79.811,78.826,79.259,2034897,0
2015-01-22,79.67,81.349,78.733,81.18,2422930,0
2015-01-23,81.19,81.713,80.973,81.403,2240303,0
2015-01-26,80.916,81.444,80.13,81.143,1629786,0
2015-01-27,80.337,81.021,79.465,80.261,1810819,0
2015-01-28,80.476,80.888,79.164,79.23,2243011,0
2015-01-29,79.154,79.501,78.264,79.063,3167551,0
2015-01-30,78.697,78.956,77.299,77.357,4349416,0
2015-02-02,76.69,78.264,76.587,78.207,2998142,0
2015-02-03,78.875,80.007,78.274,79.803,3679632,0
2015-02-04,81.676,81.713,80.298,81.153,3903874,0
2015-02-05,81.011,81.723,80.506,81.703,2295245,0
2015-02-06,81.684,81.872,80.824,81.021,2551201,0
2015-02-09,80.616,81.066,80.364,80.616,1814677,0
2015-02-10,80.785,81.312,80.28,81.094,2722904,0
2015-02-11,81.273,81.761,80.888,81.375,1937723,0
2015-02-12,81.733,82.286,81.525,82.245,1998276,0
2015-02-13,82.436,83.185,82.276,83.185,2066563,0
2015-02-17,82.259,82.548,81.118,81.649,4257926,0
2015-02-18,81.172,82.23,81.172,82.1,1882215,0
2015-02-19,82.117,82.322,81.413,82.23,1673448,0
2015-02-20,82.305,83.185,81.582,83.124,2145474,0
2015-02-23,83.165,83.644,82.697,83.58,1921940,0
2015-02-24,83.58,83.775,82.96,83.663,1513624,0
2015-02-25,83.729,84.076,83.224,83.484,1726147,0
2015-02-26,83.617,83.653,83.055,83.269,1521701,0
2015-02-27,83.278,83.832,82.904,83.269,1937425,0
2015-03-02,83.308,84.571,83.026,84.525,1889794,0
2015-03-03,83.935,84.347,82.792,83.139,3213601,0
2015-03-04,82.716,82.763,81.094,81.143,3527160,0
2015-03-05,81.143,81.461,80.852,81.312,2911029,0
2015-03-06,80.916,81.517,80.457,80.608,2145423,0
2015-03-09,80.476,81.545,80.476,81.394,1580926,0
2015-03-10,80.635,80.897,79.811,79.811,2043427,0
2015-03-11,80.123,80.546,79.794,80.123,1826412,0
2015-03-12,80.518,81.536,80.244,81.441,1263041,0
2015-03-13,81.161,81.517,80.433,80.961,1750886,0
2015-03-16,81.564,82.515,81.262,82.345,1764782,0
2015-03-17,81.933,82.318,81.603,81.676,2106770,0
2015-03-18,81.668,82.734,80.66,82.345,2045138,0
2015-03-19,82.47,82.762,82.272,82.365,2274051,0
2015-03-20,82.771,82.959,82.47,82.744,4369258,0
2015-03-23,82.978,82.978,82.291,82.309,1689786,0
2015-03-24,82.157,82.584,81.979,81.979,1238752,0
2015-03-25,82.14,82.157,79.886,79.886,1810712,0
2015-03-26,79.435,79.915,79.103,79.576,1697103,0
2015-03-27,79.509,80.046,79.377,79.784,1511474,0
2015-03-30,80.094,81.234,80.055,80.971,1208944,0
2015-03-31,80.46,81.392,80.301,80.735,1784387,0
