Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,55.954,56.257,55.011,55.24,323886,0
2015-01-05,54.871,55.192,54.34,54.514,389352,0
2015-01-06,54.651,54.983,54.101,54.202,392126,0
2015-01-07,54.651,55.021,54.093,54.562,546675,0
2015-01-08,55.12,55.697,55.03,55.55,296378,0
2015-01-09,55.624,55.669,54.973,54.983,309835,0
2015-01-12,55.083,55.083,54.367,54.505,349371,0
2015-01-13,55.066,55.673,54.321,54.634,315201,0
2015-01-14,54.091,54.846,53.538,53.944,471963,0
2015-01-15,54.045,54.716,53.842,54.028,540935,0
2015-01-16,54.116,54.698,53.914,54.624,374744,0
2015-01-20,54.671,54.956,53.777,54.008,383043,0
2015-01-21,54.028,54.275,53.52,54.082,221171,0
2015-01-22,54.468,55.353,54.036,55.353,243213,0
2015-01-23,55.307,55.362,54.754,54.863,254435,0
2015-01-26,54.716,55.27,54.357,55.27,251977,0
2015-01-27,54.716,55.14,54.577,54.855,238575,0
2015-01-28,55.14,55.203,54.082,54.091,324534,0
2015-01-29,54.165,54.586,53.685,54.413,340774,0
2015-01-30,53.988,54.247,53.373,53.435,296138,0
2015-02-02,52.949,54.375,52.94,54.229,522808,0
2015-02-03,54.126,56.014,54.116,55.961,636631,0
2015-02-04,55.987,56.797,55.794,56.429,491622,0
2015-02-05,56.759,56.989,56.328,56.889,291380,0
2015-02-06,57.083,57.256,56.752,56.982,416044,0
2015-02-09,56.769,57.065,56.668,56.899,366982,0
2015-02-10,57.424,57.498,56.759,57.303,378529,0
2015-02-11,57.442,57.525,57.083,57.451,281993,0
2015-02-12,57.653,57.856,57.415,57.83,360197,0
2015-02-13,57.69,58.032,57.535,57.901,263639,0
2015-02-17,57.985,58.435,57.839,58.167,290048,0
2015-02-18,58.071,58.243,57.792,58.122,259753,0
2015-02-19,58.079,58.251,57.756,58.115,187781,0
2015-02-20,57.883,58.501,57.434,58.472,236270,0
2015-02-23,58.355,58.355,57.919,58.243,213475,0
2015-02-24,58.149,58.567,58.097,58.3,309757,0
2015-02-25,58.31,58.463,58.004,58.205,234831,0
2015-02-26,58.107,58.27,57.919,58.107,147378,0
2015-02-27,57.966,58.328,57.866,58.004,168242,0
2015-03-02,58.071,58.739,57.866,58.665,336486,0
2015-03-03,58.373,58.769,57.892,58.675,312265,0
2015-03-04,58.355,58.389,58.061,58.3,255894,0
2015-03-05,58.336,58.665,58.196,58.445,189534,0
2015-03-06,58.27,58.886,57.966,58.097,301947,0
2015-03-09,58.196,58.455,58.032,58.251,273816,0
2015-03-10,57.747,57.866,57.303,57.322,224072,0
2015-03-11,57.286,57.946,57.148,57.946,362120,0
2015-03-12,58.336,58.933,58.107,58.906,279246,0
2015-03-13,58.833,58.833,58.097,58.612,238731,0
2015-03-16,58.933,59.569,58.638,59.42,267626,0
2015-03-17,59.328,59.534,59.081,59.43,261219,0
2015-03-18,59.403,60.076,59.054,59.791,299123,0
2015-03-19,59.688,59.817,59.164,59.374,176715,0
2015-03-20,59.577,59.965,59.181,59.688,653642,0
2015-03-23,59.688,60.315,59.688,59.817,391117,0
2015-03-24,59.826,59.947,59.43,59.56,271427,0
2015-03-25,59.551,59.955,58.998,58.998,347023,0
2015-03-26,58.843,59.064,58.521,58.906,213428,0
2015-03-27,58.915,58.961,58.435,58.665,280331,0
2015-03-30,59.045,59.612,58.906,59.374,214622,0
2015-03-31,59.116,59.181,58.769,59.064,638938,0
2015-04-01,59.191,59.191,58.491,59.054,190618,0
2015-04-02,59.054,59.44,58.759,59.191,293585,0
2015-04-06,59.191,59.688,58.979,59.595,352888,0
2015-04-07,59.64,59.773,59.164,59.2,284033,0
2015-04-08,59.191,59.622,59.181,59.534,263713,0
2015-04-09,59.384,59.605,59.054,59.586,391863,0
2015-04-10,59.88,59.947,59.56,59.688,221246,0
2015-04-13,59.782,60.169,59.577,59.881,176788,0
2015-04-14,59.846,60.466,59.55,60.401,321770,0
2015-04-15,60.688,60.927,60.612,60.65,450768,0
2015-04-16,60.602,60.678,60.087,60.539,199494,0
2015-04-17,60.252,60.27,59.595,59.679,169108,0
2015-04-20,60.068,60.298,59.889,60.078,214370,0
2015-04-21,60.205,60.344,59.504,59.64,311854,0
2015-04-22,59.586,59.65,58.968,59.622,208534,0
2015-04-23,59.605,60.022,59.459,59.817,173112,0
2015-04-24,59.827,60.196,59.542,60.012,203995,0
2015-04-27,60.012,60.372,59.069,59.255,301432,0
2015-04-28,59.114,59.753,58.716,59.708,331184,0
2015-04-29,59.283,59.523,58.931,58.948,298078,0
2015-04-30,58.939,59.143,58.331,58.41,372625,0
2015-05-01,58.653,58.931,58.376,58.735,239220,0
2015-05-04,59.042,59.042,58.726,58.857,278711,0
2015-05-05,58.661,59.114,58.376,58.506,310627,0
2015-05-06,58.644,58.708,58.209,58.661,216388,0
2015-05-07,58.7,59.023,58.218,58.948,238008,0
2015-05-08,59.227,59.273,58.857,59.198,174951,0
2015-05-11,59.153,59.283,58.765,58.903,278060,0
2015-05-12,58.59,58.83,58.274,58.617,255242,0
2015-05-13,58.783,59.042,58.552,58.755,179173,0
2015-05-14,59.153,59.319,58.69,59.283,174734,0
2015-05-15,59.355,59.355,58.939,59.033,173603,0
