Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,96.974,98.201,95.243,96.172,1405033,0
2015-01-05,96.151,96.867,94.543,94.627,1623244,0
2015-01-06,95.07,95.196,91.448,92.477,2310002,0
2015-01-07,93.245,95.493,92.745,94.975,3216754,0
2015-01-08,96.589,100.21,96.424,99.7,3470881,0
2015-01-09,100.38,101.65,98.565,100.79,2438860,0
2015-01-12,100.95,101.51,98.705,99.135,1946083,0
2015-01-13,100.42,103.17,97.73,98.565,2532907,0
2015-01-14,97.237,99.424,96.094,99.344,2184458,0
2015-01-15,99.493,101.41,97.091,97.354,1912290,0
2015-01-16,96.746,99.82,96.374,99.73,1600225,0
2015-01-20,99.6,101.11,98.565,100.76,1663691,0
2015-01-21,100.24,102.69,100.07,101.25,2007181,0
2015-01-22,101.73,102.32,97.533,101.07,2922514,0
2015-01-23,100.91,103.29,100.16,102.78,2503769,0
2015-01-26,102.56,102.85,100.52,102.55,1000267,0
2015-01-27,100.95,101.81,98.794,100.69,1586470,0
2015-01-28,102.95,104.08,100.76,100.89,3023341,0
2015-01-29,100.53,102.43,98.259,102.36,1648829,0
2015-01-30,101.16,102.55,98.604,98.853,1762769,0
2015-02-02,99.224,99.424,95.272,98.407,2246116,0
2015-02-03,98.486,99.63,97.398,99.175,1601767,0
2015-02-04,98.506,101.15,98.437,100.7,1733802,0
2015-02-05,100.64,102.05,99.66,102.03,1726141,0
2015-02-06,102.1,102.9,100.17,100.64,1111744,0
2015-02-09,99.86,100.26,97.819,98.229,2117668,0
2015-02-10,99.012,103.25,98.863,102.83,2122989,0
2015-02-11,102.6,104.05,102.16,103.72,1786909,0
2015-02-12,104.52,105.75,104.2,105.41,2193183,0
2015-02-13,105.71,105.89,103.87,105.84,1521255,0
2015-02-17,105.89,106.98,104.8,106.51,1593650,0
2015-02-18,106.01,106.25,105.0,105.71,1736167,0
2015-02-19,105.71,106.73,105.36,106.54,1373477,0
2015-02-20,107.05,107.76,106.13,107.67,2007033,0
2015-02-23,108.58,108.8,107.57,108.43,2482816,0
2015-02-24,109.04,109.14,107.23,108.75,2416015,0
2015-02-25,108.86,109.43,107.91,108.26,3965888,0
2015-02-26,118.41,124.82,118.24,124.19,9290472,0
2015-02-27,123.64,123.64,121.21,122.6,3520092,0
2015-03-02,122.22,125.72,122.22,123.96,2903017,0
2015-03-03,123.51,123.88,122.55,123.19,1945267,0
2015-03-04,122.67,124.81,119.47,124.34,3761787,0
2015-03-05,124.36,126.37,123.72,125.44,2257926,0
2015-03-06,124.92,125.36,122.49,122.86,2324018,0
2015-03-09,122.77,123.54,121.96,122.13,1856175,0
2015-03-10,120.8,121.96,119.61,120.21,1840980,0
2015-03-11,120.39,121.52,119.62,119.76,1846601,0
2015-03-12,118.08,121.28,116.77,121.19,2321414,0
2015-03-13,120.79,121.78,119.08,120.09,1916646,0
2015-03-16,121.93,125.32,121.74,124.8,2401871,0
2015-03-17,123.75,124.54,122.49,124.04,1979198,0
2015-03-18,123.16,126.5,123.04,125.68,2205202,0
2015-03-19,125.74,128.13,125.28,127.25,2538423,0
2015-03-20,128.63,129.29,127.41,128.43,4531379,0
2015-03-23,130.1,131.33,129.0,129.55,2474809,0
2015-03-24,130.07,130.45,128.06,128.28,2679348,0
2015-03-25,127.82,128.47,119.87,119.9,5069583,0
2015-03-26,115.89,120.59,112.71,120.17,4676797,0
2015-03-27,120.44,124.32,120.31,123.54,2521403,0
2015-03-30,125.23,126.12,123.62,125.78,2025984,0
2015-03-31,124.63,124.81,122.12,122.35,1702109,0
2015-04-01,121.91,122.33,119.11,121.08,2265394,0
2015-04-02,121.53,122.28,120.09,120.47,1505558,0
2015-04-06,118.88,122.12,118.06,121.26,1476396,0
2015-04-07,121.23,122.54,120.85,121.1,1674131,0
2015-04-08,120.86,122.82,120.75,122.17,1412056,0
2015-04-09,121.28,123.29,121.1,122.58,1448745,0
2015-04-10,122.91,123.32,121.49,122.2,1210840,0
2015-04-13,122.61,122.82,120.55,120.8,1087868,0
2015-04-14,120.49,120.79,117.71,119.45,1665578,0
2015-04-15,120.23,121.71,120.11,121.34,1753563,0
2015-04-16,121.26,121.57,120.26,120.78,1603913,0
2015-04-17,119.18,119.75,116.53,117.42,2782916,0
2015-04-20,118.41,119.31,117.77,118.56,1380144,0
2015-04-21,119.79,120.5,118.47,118.63,2139363,0
2015-04-22,119.39,123.35,118.29,123.24,2343031,0
2015-04-23,120.67,120.91,118.11,119.54,2911077,0
2015-04-24,119.22,119.22,111.65,115.16,5713679,0
2015-04-27,115.64,117.51,114.41,115.78,2835113,0
2015-04-28,116.0,116.58,110.4,113.18,3220222,0
2015-04-29,111.8,113.24,110.57,112.78,2169194,0
2015-04-30,112.45,114.62,112.04,112.63,2214440,0
2015-05-01,113.6,118.94,113.58,118.34,2629535,0
2015-05-04,118.34,119.33,116.45,116.74,1474323,0
2015-05-05,115.74,116.28,112.39,112.55,2292271,0
2015-05-06,113.54,114.06,111.19,112.54,1501907,0
2015-05-07,115.64,119.14,115.64,118.04,2442826,0
2015-05-08,118.72,120.39,118.28,118.84,1540634,0
2015-05-11,119.01,119.34,118.15,118.35,1288566,0
2015-05-12,117.59,119.08,116.88,118.48,1065176,0
2015-05-13,119.13,120.3,117.88,118.65,1231402,0
2015-05-14,119.61,124.0,119.14,122.31,2415762,0
2015-05-15,123.14,124.81,121.97,123.22,2348394,0
2015-05-18,123.3,125.64,122.64,125.43,1866235,0
2015-05-19,126.08,127.06,124.57,124.78,1665854,0
2015-05-20,125.22,126.29,123.46,124.43,1942759,0
2015-05-21,124.82,125.29,123.19,124.89,2211327,0
2015-05-22,125.3,128.94,125.12,127.84,2371764,0
2015-05-26,129.47,129.64,125.87,126.52,2778956,0
2015-05-27,127.3,139.55,126.84,136.35,11855904,0
2015-05-28,139.74,140.19,131.06,137.21,25850396,0
2015-05-29,138.87,143.81,138.86,142.69,12270691,0
2015-06-01,142.86,145.03,139.88,141.28,8673356,0
2015-06-02,141.08,141.33,137.94,138.91,4281920,0
2015-06-03,140.69,140.69,137.61,137.86,3159927,0
2015-06-04,137.3,138.22,135.36,136.06,2907444,0
2015-06-05,135.83,138.8,134.25,138.57,4004858,0
2015-06-08,138.36,138.53,132.51,133.6,5647502,0
2015-06-09,133.91,135.6,131.55,135.1,4572395,0
2015-06-10,134.84,138.74,134.75,137.66,4422427,0
2015-06-11,137.01,138.06,135.88,136.83,3270636,0
2015-06-12,136.15,136.34,134.79,135.35,1986448,0
2015-06-15,134.11,138.78,133.97,137.92,3586960,0
2015-06-16,137.51,138.27,136.24,136.83,2178951,0
2015-06-17,136.75,137.7,134.76,135.94,2631339,0
2015-06-18,135.99,138.91,135.99,138.19,2617888,0
2015-06-19,138.2,139.06,136.84,138.08,2781596,0
2015-06-22,139.3,140.27,137.23,138.44,2364872,0
2015-06-23,139.11,139.11,136.12,136.88,2224543,0
2015-06-24,137.28,137.43,135.11,135.25,2318100,0
2015-06-25,135.41,136.31,134.16,134.53,1815694,0
2015-06-26,134.18,134.37,130.22,130.61,7429797,0
2015-06-29,128.38,130.67,126.63,127.58,4188122,0
2015-06-30,129.29,129.86,127.69,128.45,2969462,0
2015-07-01,129.89,133.07,129.8,130.95,4456348,0
2015-07-02,131.04,133.12,130.81,133.01,3393794,0
2015-07-06,131.58,132.98,129.36,129.69,3123915,0
2015-07-07,129.44,129.93,121.92,128.37,6133273,0
2015-07-08,125.71,126.93,122.58,123.73,5315972,0
2015-07-09,125.78,126.94,119.54,120.48,7602613,0
2015-07-10,122.34,126.41,122.24,125.46,5272200,0
2015-07-13,126.96,126.96,124.14,124.85,2618405,0
2015-07-14,125.02,128.03,124.19,127.86,2720456,0
2015-07-15,127.25,128.98,126.41,127.3,2390398,0
2015-07-16,129.12,130.24,126.48,130.17,3515900,0
2015-07-17,130.42,130.46,127.53,129.15,3000977,0
2015-07-20,130.03,131.06,129.24,130.11,2438347,0
2015-07-21,130.56,131.8,129.63,129.99,3262993,0
2015-07-22,122.76,125.62,121.17,125.22,6348205,0
2015-07-23,126.77,130.46,126.09,127.54,3167376,0
