Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,31.162,31.226,30.822,30.868,1818940,0
2015-01-05,30.828,30.845,30.407,30.63,3394685,0
2015-01-06,30.337,30.498,29.648,29.886,5696837,0
2015-01-07,29.771,29.938,29.578,29.856,3461540,0
2015-01-08,30.051,30.476,30.029,30.284,4917483,0
2015-01-09,30.551,30.626,30.372,30.445,4261907,0
2015-01-12,31.021,31.173,30.696,31.038,3789153,0
2015-01-13,31.403,31.511,30.784,31.024,2929510,0
2015-01-14,31.038,31.372,30.942,31.245,3405713,0
2015-01-15,31.108,31.511,31.008,31.261,3281133,0
2015-01-16,31.17,31.621,31.108,31.591,2582030,0
2015-01-20,31.446,31.587,31.213,31.471,3225079,0
2015-01-21,31.279,31.301,30.972,31.162,4016333,0
2015-01-22,30.748,31.015,30.7,30.967,3503808,0
2015-01-23,31.136,31.287,30.942,30.994,3607628,0
2015-01-26,31.146,31.166,30.898,30.942,6894295,0
2015-01-27,31.353,31.666,31.245,31.521,11010882,0
2015-01-28,31.526,31.604,31.055,31.136,2685147,0
2015-01-29,31.621,31.661,31.261,31.521,4161684,0
2015-01-30,31.486,31.639,31.104,31.146,3911943,0
2015-02-02,31.261,31.279,30.612,30.959,4380716,0
2015-02-03,31.0,31.213,30.7,31.177,3982811,0
2015-02-04,31.494,31.521,31.122,31.156,7525729,0
2015-02-05,30.599,30.649,30.201,30.364,8538118,0
2015-02-06,29.917,29.954,29.605,29.678,6735617,0
2015-02-09,29.522,29.846,29.522,29.692,3839740,0
2015-02-10,29.696,30.081,29.686,29.925,5560657,0
2015-02-11,29.767,30.135,29.753,30.009,3173141,0
2015-02-12,30.323,30.612,30.244,30.587,3269335,0
2015-02-13,30.56,30.802,30.52,30.675,4949257,0
2015-02-17,30.284,30.771,30.253,30.52,5683546,0
2015-02-18,30.341,30.539,30.255,30.443,4003083,0
2015-02-19,30.498,30.923,30.489,30.615,4675427,0
2015-02-20,30.427,30.935,30.376,30.903,2596672,0
2015-02-23,31.102,31.282,31.067,31.228,2293839,0
2015-02-24,31.269,31.494,31.166,31.237,4608553,0
2015-02-25,31.183,31.535,31.044,31.395,4276711,0
2015-02-26,31.093,31.17,30.949,31.098,2315985,0
2015-02-27,31.075,31.256,31.008,31.048,1440427,0
2015-03-02,31.025,31.062,30.932,30.971,1708966,0
2015-03-03,30.932,30.971,30.652,30.769,2445056,0
2015-03-04,30.489,30.634,30.291,30.547,2937708,0
2015-03-05,30.665,30.932,30.665,30.724,2395792,0
2015-03-06,30.16,30.215,29.809,29.862,3009609,0
2015-03-09,29.709,29.835,29.564,29.817,2041394,0
2015-03-10,29.479,29.506,29.065,29.097,2593074,0
2015-03-11,29.223,29.281,28.957,29.039,2101755,0
2015-03-12,29.956,30.274,29.84,30.125,4528838,0
2015-03-13,30.075,30.395,30.008,30.349,3202675,0
2015-03-16,30.539,31.083,30.513,30.966,3499596,0
2015-03-17,30.692,31.062,30.552,30.971,2669635,0
2015-03-18,31.093,32.021,31.067,31.936,4303593,0
2015-03-19,31.824,32.016,31.682,31.949,3414603,0
2015-03-20,32.464,32.896,32.378,32.76,5464653,0
2015-03-23,32.671,32.715,32.436,32.543,1725165,0
2015-03-24,32.421,32.638,32.18,32.197,3587253,0
2015-03-25,32.32,32.611,31.751,31.773,2789025,0
2015-03-26,31.671,31.671,31.342,31.439,1987691,0
2015-03-27,31.624,31.687,31.358,31.575,1645720,0
2015-03-30,31.305,31.616,31.295,31.517,1868745,0
2015-03-31,30.754,31.206,30.75,30.836,2754473,0
2015-04-01,31.075,31.111,30.836,30.999,1925999,0
2015-04-02,31.115,31.305,30.903,31.003,2751522,0
2015-04-06,31.079,31.408,31.062,31.29,2155680,0
2015-04-07,31.378,31.565,31.363,31.368,1628107,0
2015-04-08,31.724,31.746,31.373,31.489,1980366,0
2015-04-09,31.701,31.782,31.535,31.616,1973057,0
2015-04-10,31.008,31.553,31.008,31.502,2542699,0
2015-04-13,31.197,31.4,30.985,31.021,2375599,0
2015-04-14,31.58,32.129,31.527,32.004,3997574,0
2015-04-15,32.472,32.527,32.265,32.405,2809033,0
2015-04-16,32.734,32.755,32.359,32.459,2649062,0
2015-04-17,32.287,32.328,31.931,32.138,2159898,0
2015-04-20,32.287,32.359,32.175,32.242,1233480,0
2015-04-21,32.599,32.765,32.503,32.76,2190542,0
2015-04-22,33.063,33.068,32.851,33.053,3384280,0
2015-04-23,32.671,33.017,32.59,32.955,2299038,0
2015-04-24,32.121,32.638,32.016,32.35,4165047,0
2015-04-27,32.305,32.363,31.845,31.886,3297209,0
2015-04-28,31.485,31.624,31.232,31.522,4405674,0
2015-04-29,31.156,31.464,30.927,30.994,3432578,0
2015-04-30,30.957,31.237,30.745,30.86,2335210,0
2015-05-01,30.682,30.841,30.368,30.588,2569109,0
2015-05-04,30.966,31.067,30.868,30.873,2019425,0
2015-05-05,30.624,30.674,30.3,30.345,2864032,0
2015-05-06,30.436,30.462,30.21,30.354,1581620,0
2015-05-07,30.322,30.427,30.088,30.317,2005662,0
2015-05-08,31.391,31.666,31.363,31.507,3911693,0
2015-05-11,31.792,31.845,31.616,31.616,2777929,0
2015-05-12,31.075,31.346,31.016,31.102,2148486,0
2015-05-13,31.21,31.353,31.052,31.251,2752408,0
2015-05-14,31.498,31.666,31.337,31.589,1871628,0
2015-05-15,31.072,31.232,30.935,31.224,2814599,0
2015-05-18,31.003,31.102,30.953,30.976,1479695,0
2015-05-19,30.792,31.048,30.769,30.932,2078984,0
2015-05-20,30.796,31.021,30.783,30.876,1930658,0
2015-05-21,31.454,31.485,31.214,31.48,3148527,0
2015-05-22,31.4,31.426,31.26,31.295,1552294,0
2015-05-26,30.711,30.817,30.354,30.498,4779309,0
2015-05-27,30.682,30.999,30.665,30.981,2161228,0
2015-05-28,31.072,31.075,30.913,31.048,5133094,0
2015-05-29,30.674,30.674,30.156,30.44,4706592,0
2015-06-01,30.359,30.408,29.926,30.21,4784438,0
2015-06-02,30.138,30.368,30.047,30.192,2820829,0
2015-06-03,30.372,30.557,30.332,30.462,2293934,0
2015-06-04,30.173,30.399,29.966,30.008,3127002,0
2015-06-05,29.903,30.227,29.845,30.201,1778868,0
2015-06-08,29.949,30.029,29.84,29.84,2406001,0
2015-06-09,29.678,29.723,29.237,29.463,4288892,0
2015-06-10,29.89,30.151,29.633,29.921,2893588,0
2015-06-11,30.02,30.062,29.817,29.935,1902160,0
2015-06-12,29.552,29.701,29.439,29.602,1439782,0
2015-06-15,29.341,29.362,29.15,29.285,2696488,0
2015-06-16,29.264,29.521,29.213,29.497,1999009,0
2015-06-17,29.597,29.796,29.435,29.723,2833631,0
2015-06-18,29.89,30.223,29.881,30.13,5015718,0
2015-06-19,29.999,30.164,29.949,30.057,4418324,0
2015-06-22,30.173,30.404,30.164,30.282,4768284,0
2015-06-23,30.349,30.597,30.341,30.457,3217831,0
2015-06-24,30.192,30.304,29.966,29.981,1681449,0
2015-06-25,29.813,29.84,29.647,29.678,1590907,0
2015-06-26,29.701,29.93,29.647,29.89,7500277,0
2015-06-29,29.223,29.479,28.988,28.993,5935778,0
2015-06-30,28.935,29.002,28.489,28.708,7424192,0
2015-07-01,29.192,29.209,29.007,29.128,4736772,0
2015-07-02,29.526,29.637,29.399,29.475,2635460,0
2015-07-06,29.205,29.463,29.169,29.344,2174542,0
2015-07-07,29.268,29.615,29.111,29.564,7654507,0
2015-07-08,29.083,29.132,28.93,28.988,2260868,0
