Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,17.301,17.338,17.003,17.213,50867388,0
2015-01-05,17.108,17.125,16.626,16.715,109760688,0
2015-01-06,16.753,16.771,16.135,16.212,150659591,0
2015-01-07,16.483,16.52,16.222,16.292,108740233,0
2015-01-08,16.503,16.675,16.443,16.626,76268801,0
2015-01-09,16.715,16.715,16.301,16.329,87459273,0
2015-01-12,16.368,16.378,16.022,16.041,96418040,0
2015-01-13,16.175,16.242,15.695,15.819,104844830,0
2015-01-14,15.385,15.597,15.165,15.425,171290079,0
2015-01-15,14.993,15.155,14.569,14.618,200860196,0
2015-01-16,14.579,14.808,14.394,14.789,155746440,0
2015-01-20,14.993,15.03,14.618,14.676,127978229,0
2015-01-21,14.694,14.973,14.569,14.818,104682411,0
2015-01-22,14.955,15.569,14.838,15.473,190318228,0
2015-01-23,15.425,15.569,15.128,15.128,107407644,0
2015-01-26,15.118,15.32,15.098,15.243,72742189,0
2015-01-27,14.955,15.184,14.887,15.03,89568724,0
2015-01-28,15.118,15.128,14.598,14.618,107801020,0
2015-01-29,14.722,14.897,14.618,14.838,79098943,0
2015-01-30,14.647,14.878,14.569,14.569,103742315,0
2015-02-02,14.685,14.897,14.54,14.868,105621611,0
2015-02-03,15.011,15.32,15.011,15.281,109331647,0
2015-02-04,15.184,15.385,15.146,15.184,87174607,0
2015-02-05,15.366,15.473,15.291,15.356,95854509,0
2015-02-06,15.675,16.108,15.597,15.857,167217809,0
2015-02-09,15.725,15.867,15.626,15.725,99330919,0
2015-02-10,15.925,15.982,15.725,15.79,104305716,0
2015-02-11,15.705,15.819,15.588,15.734,103872421,0
2015-02-12,15.78,16.089,15.743,16.032,121022117,0
2015-02-13,16.079,16.145,15.905,15.973,97307016,0
2015-02-17,15.896,16.041,15.743,15.992,97063167,0
2015-02-18,15.915,15.925,15.616,15.675,87384303,0
2015-02-19,15.588,15.753,15.463,15.588,86925155,0
2015-02-20,15.523,15.799,15.395,15.753,93310812,0
2015-02-23,15.695,15.695,15.483,15.579,91014446,0
2015-02-24,15.645,15.915,15.626,15.753,77039406,0
2015-02-25,15.743,15.867,15.695,15.857,59464543,0
2015-02-26,15.79,15.809,15.291,15.425,167461943,0
2015-02-27,15.174,15.272,15.021,15.204,135622969,0
2015-03-02,15.184,15.415,15.118,15.395,74249401,0
2015-03-03,15.405,15.532,15.347,15.425,68309025,0
2015-03-04,15.395,15.415,15.203,15.281,81315005,0
2015-03-05,15.356,15.463,15.193,15.435,72056127,0
2015-03-06,15.829,16.034,15.589,15.646,169185662,0
2015-03-09,15.744,15.753,15.55,15.598,75583578,0
2015-03-10,15.473,15.559,15.232,15.232,88770352,0
2015-03-11,15.356,15.589,15.31,15.468,89102521,0
2015-03-12,15.483,15.637,15.338,15.493,131009239,0
2015-03-13,15.513,15.579,15.376,15.523,91826650,0
2015-03-16,15.541,15.646,15.291,15.559,65729048,0
2015-03-17,15.503,15.55,15.395,15.523,69780716,0
2015-03-18,15.445,15.532,15.347,15.415,89552075,0
2015-03-19,15.395,15.405,15.057,15.057,113168087,0
2015-03-20,15.135,15.366,15.087,15.281,103525862,0
2015-03-23,15.252,15.32,15.164,15.164,76475911,0
2015-03-24,15.173,15.242,15.057,15.057,79831895,0
2015-03-25,15.077,15.097,14.856,14.866,91784771,0
2015-03-26,14.846,14.992,14.72,14.876,79552631,0
2015-03-27,14.933,14.943,14.73,14.768,75820030,0
2015-03-30,14.876,15.057,14.856,14.972,73429972,0
2015-03-31,14.953,14.972,14.836,14.846,63630219,0
2015-04-01,14.876,14.915,14.71,14.866,75833507,0
2015-04-02,14.885,15.067,14.885,14.992,52291302,0
2015-04-06,14.846,15.048,14.797,14.962,53064630,0
2015-04-07,14.992,15.097,14.905,14.915,51875521,0
2015-04-08,14.972,15.183,14.953,15.057,74360039,0
2015-04-09,15.077,15.203,14.982,15.154,46558525,0
2015-04-10,15.135,15.232,15.048,15.164,45422689,0
2015-04-13,15.213,15.3,15.183,15.242,50993129,0
2015-04-14,15.32,15.385,15.154,15.262,87476532,0
2015-04-15,15.145,15.291,15.039,15.087,128192215,0
2015-04-16,15.087,15.376,15.029,15.232,109458917,0
2015-04-17,15.154,15.193,14.953,15.01,92254158,0
2015-04-20,15.067,15.135,15.01,15.02,55613912,0
2015-04-21,15.048,15.087,14.885,14.953,66361392,0
2015-04-22,15.0,15.272,14.943,15.183,75764963,0
2015-04-23,15.164,15.242,15.127,15.135,52134356,0
2015-04-24,15.154,15.193,15.057,15.087,42259420,0
2015-04-27,15.077,15.203,15.01,15.01,76216537,0
2015-04-28,15.029,15.154,14.953,15.097,60207592,0
2015-04-29,15.048,15.473,15.02,15.415,139426264,0
2015-04-30,15.435,15.483,15.232,15.366,81182521,0
2015-05-01,15.435,15.579,15.356,15.541,81034799,0
2015-05-04,15.569,15.868,15.55,15.858,79397858,0
2015-05-05,15.839,16.024,15.753,15.772,110037049,0
2015-05-06,15.781,15.907,15.513,15.716,99928014,0
2015-05-07,15.656,15.753,15.523,15.666,76441444,0
2015-05-08,15.744,15.878,15.646,15.868,89496097,0
2015-05-11,15.868,16.004,15.849,15.907,58306352,0
2015-05-12,15.878,15.898,15.772,15.849,61811261,0
2015-05-13,15.858,15.936,15.781,15.888,49064417,0
2015-05-14,15.946,16.004,15.868,15.936,57424803,0
2015-05-15,15.936,15.936,15.726,15.772,56888554,0
2015-05-18,15.735,15.956,15.735,15.927,52917146,0
2015-05-19,15.994,16.187,15.994,16.177,92379876,0
2015-05-20,16.187,16.255,16.043,16.147,70163309,0
2015-05-21,16.12,16.157,15.975,16.137,53963389,0
