Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,18.289,18.307,18.257,18.299,92780,0
2015-01-05,18.289,18.341,18.219,18.307,282297,0
2015-01-06,18.361,18.523,18.361,18.447,210516,0
2015-01-07,18.506,18.605,18.472,18.572,284605,0
2015-01-08,18.539,18.589,18.374,18.381,265441,0
2015-01-09,18.49,18.548,18.361,18.529,225767,0
2015-01-12,18.654,18.712,18.529,18.598,234690,0
2015-01-13,18.598,18.654,18.548,18.612,160947,0
2015-01-14,18.654,18.77,18.515,18.605,329710,0
2015-01-15,18.645,18.654,18.554,18.621,351459,0
2015-01-16,18.673,18.688,18.506,18.529,229423,0
2015-01-20,18.637,18.861,18.598,18.728,916695,0
2015-01-21,18.831,18.909,18.704,18.869,464924,0
2015-01-22,18.895,18.945,18.786,18.926,410932,0
2015-01-23,18.909,19.167,18.909,19.167,296211,0
2015-01-26,19.068,19.235,19.049,19.209,341839,0
2015-01-27,19.209,19.301,18.936,18.986,427685,0
2015-01-28,18.979,19.244,18.909,19.244,238967,0
2015-01-29,19.261,19.348,19.19,19.313,311250,0
2015-01-30,19.348,19.408,19.218,19.313,293178,0
2015-02-02,19.34,19.426,19.313,19.375,334832,0
2015-02-03,19.34,19.358,19.103,19.159,339119,0
2015-02-04,19.172,19.181,18.728,18.786,498055,0
2015-02-05,18.738,18.926,18.721,18.926,267582,0
2015-02-06,18.861,18.861,18.679,18.77,401233,0
2015-02-09,18.821,18.903,18.763,18.869,280763,0
2015-02-10,18.836,18.992,18.704,18.794,321607,0
2015-02-11,18.832,18.905,18.823,18.881,185421,0
2015-02-12,18.881,18.972,18.856,18.905,181750,0
2015-02-13,18.881,18.905,18.764,18.779,178676,0
2015-02-17,18.713,18.739,18.199,18.217,593725,0
2015-02-18,18.217,18.506,18.208,18.498,375887,0
2015-02-19,18.438,18.589,18.38,18.464,224244,0
2015-02-20,18.49,18.598,18.464,18.554,189571,0
2015-02-23,18.613,18.779,18.598,18.713,134359,0
2015-02-24,18.689,18.837,18.664,18.837,159733,0
2015-02-25,18.863,18.964,18.856,18.856,179188,0
2015-02-26,18.912,18.912,18.823,18.837,110041,0
2015-02-27,18.856,19.022,18.823,18.994,140922,0
2015-03-02,19.03,19.03,18.856,18.905,190121,0
2015-03-03,18.846,18.981,18.846,18.929,173061,0
2015-03-04,18.972,18.972,18.764,18.805,171140,0
2015-03-05,18.823,18.846,18.747,18.779,77036,0
2015-03-06,18.697,18.697,18.36,18.373,352489,0
2015-03-09,18.421,18.548,18.397,18.539,204667,0
2015-03-10,18.58,18.655,18.554,18.598,159839,0
2015-03-11,18.64,18.691,18.606,18.657,85185,0
2015-03-12,18.691,18.767,18.657,18.657,136915,0
2015-03-13,18.606,18.615,18.549,18.564,108838,0
2015-03-16,18.572,18.624,18.465,18.473,187931,0
2015-03-17,18.549,18.582,18.499,18.556,68577,0
2015-03-18,18.599,18.741,18.54,18.741,154595,0
2015-03-19,18.75,18.758,18.676,18.691,151491,0
2015-03-20,18.716,18.798,18.716,18.781,143010,0
2015-03-23,18.781,18.85,18.774,18.817,157940,0
2015-03-24,18.817,19.067,18.781,19.067,159496,0
