Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.612,9.946,9.612,9.946,2030,0
2015-01-05,9.756,9.804,9.756,9.804,211,0
2015-01-06,9.803,9.803,9.803,9.803,4831,0
2015-01-07,9.803,9.946,9.803,9.803,2185,0
2015-01-08,9.898,9.946,9.898,9.945,495,0
2015-01-09,9.879,9.879,9.879,9.879,3153,0
2015-01-12,9.946,9.946,9.946,9.946,213,0
2015-01-13,9.803,9.803,9.803,9.803,475,0
2015-01-15,9.992,9.992,9.928,9.928,1051,0
2015-01-16,9.823,9.983,9.794,9.974,8364,0
2015-01-20,10.335,10.335,10.089,10.135,9142,0
2015-01-22,10.431,10.431,10.002,10.002,4622,0
2015-01-23,10.375,10.709,10.174,10.709,22392,0
2015-01-26,10.699,10.699,10.326,10.326,1233,0
2015-01-27,10.317,10.335,10.299,10.326,2396,0
2015-01-29,10.345,10.47,10.326,10.326,4844,0
2015-01-30,10.326,10.327,10.326,10.326,526,0
2015-02-02,10.431,10.431,10.299,10.299,6098,0
2015-02-03,10.326,10.326,10.326,10.326,136,0
2015-02-04,10.461,10.47,10.326,10.326,1196,0
2015-02-06,10.421,10.421,10.421,10.421,1412,0
2015-02-09,10.421,10.421,10.421,10.421,952,0
2015-02-10,10.461,10.461,10.461,10.461,1157,0
2015-02-11,10.326,10.326,10.326,10.326,253,0
2015-02-12,10.431,10.451,10.431,10.451,315,0
2015-02-13,10.421,10.47,10.421,10.461,8573,0
2015-02-17,10.461,10.461,10.461,10.461,599,0
2015-02-18,10.451,10.451,10.412,10.451,1240,0
2015-02-19,10.451,10.461,10.326,10.326,1759,0
2015-02-20,10.438,10.47,10.438,10.47,1659,0
2015-02-23,10.47,10.47,10.335,10.335,297,0
2015-02-24,10.375,10.47,10.375,10.47,703,0
2015-02-27,10.335,10.335,10.335,10.335,141,0
2015-03-02,10.345,10.345,10.345,10.345,211,0
2015-03-03,10.451,10.47,10.451,10.47,2627,0
2015-03-04,10.291,10.709,10.291,10.709,1891,0
2015-03-09,10.612,10.612,10.612,10.612,422,0
2015-03-11,10.651,10.651,10.364,10.364,210,0
2015-03-13,10.334,10.334,10.325,10.325,1570,0
2015-03-16,10.325,10.364,10.325,10.354,627,0
2015-03-17,10.374,10.374,10.374,10.374,210,0
2015-03-20,10.392,10.392,10.392,10.392,104,0
2015-03-23,10.392,10.392,10.383,10.392,4079,0
2015-03-24,10.317,10.478,10.317,10.478,1779,0
2015-03-25,10.325,10.325,10.325,10.325,210,0
2015-03-27,10.469,10.659,10.45,10.659,2718,0
2015-03-30,10.536,10.536,10.536,10.536,420,0
2015-04-01,10.249,10.516,10.133,10.516,1989,0
2015-04-02,10.488,10.516,10.488,10.516,734,0
2015-04-06,10.498,10.516,10.325,10.507,1465,0
2015-04-08,10.516,10.516,10.229,10.259,1570,0
2015-04-09,10.124,10.498,10.107,10.498,524,0
2015-04-10,10.507,10.507,10.507,10.507,104,0
2015-04-14,10.078,10.43,10.078,10.43,627,0
2015-04-15,10.085,10.085,10.085,10.085,669,0
2015-04-16,10.143,10.182,10.087,10.087,904,0
2015-04-20,10.162,10.507,10.162,10.507,2045,0
2015-04-21,10.239,10.239,10.23,10.239,361,0
2015-04-22,10.239,10.239,10.107,10.107,1023,0
2015-04-23,10.124,10.124,10.124,10.124,104,0
2015-04-27,10.229,10.516,10.229,10.516,734,0
2015-04-28,10.498,10.516,10.42,10.507,4918,0
2015-04-29,10.498,10.516,10.478,10.478,2198,0
2015-04-30,10.736,10.756,10.229,10.229,4393,0
2015-05-04,10.516,10.516,10.469,10.469,210,0
2015-05-06,10.269,10.269,10.239,10.269,716,0
2015-05-07,10.269,10.269,10.269,10.269,357,0
2015-05-08,10.259,10.325,10.239,10.239,6486,0
2015-05-11,10.239,10.565,10.239,10.565,5334,0
2015-05-18,10.249,10.565,10.249,10.565,1781,0
2015-05-20,10.565,10.565,10.565,10.565,314,0
