Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.336,9.634,9.2268,9.604,1042093,0
2015-01-05,9.654,10.22,9.604,10.18,1402820,0
2015-01-06,10.18,10.786,10.101,10.577,2384093,0
2015-01-07,10.26,10.876,10.26,10.459,1924289,0
2015-01-08,10.498,10.667,10.111,10.21,1201931,0
2015-01-09,10.349,11.004,10.299,10.985,1458224,0
2015-01-12,11.024,11.8,10.836,11.491,2017357,0
2015-01-13,11.62,11.77,11.124,11.303,2105085,0
2015-01-14,11.531,11.66,10.479,10.637,2622376,0
2015-01-15,11.084,11.293,10.697,10.836,2237807,0
2015-01-16,10.945,11.253,10.856,11.074,2473705,0
2015-01-20,11.243,11.571,10.965,11.303,2481127,0
2015-01-21,11.382,11.511,10.766,11.094,2046215,0
2015-01-22,11.233,11.372,11.004,11.273,2051907,0
2015-01-23,11.084,11.144,10.667,10.876,1857903,0
2015-01-26,10.607,11.134,10.22,11.134,1554977,0
2015-01-27,11.203,11.71,11.104,11.66,1871667,0
2015-01-28,11.451,11.59,10.856,11.064,1832739,0
2015-01-29,10.756,11.144,10.399,11.024,1566916,0
2015-01-30,11.014,11.392,10.756,11.343,2357708,0
2015-02-02,11.094,11.481,10.945,11.273,1861078,0
2015-02-03,11.183,11.203,10.697,10.786,2214644,0
2015-02-04,10.985,11.004,10.449,10.736,1940264,0
2015-02-05,10.716,10.965,10.498,10.955,1935376,0
2015-02-06,10.607,10.896,10.339,10.389,2413183,0
2015-02-09,10.498,10.856,10.439,10.637,1386718,0
2015-02-10,10.439,10.806,10.329,10.508,1113441,0
2015-02-11,10.508,10.677,10.2,10.24,1105211,0
2015-02-12,10.399,10.498,10.24,10.429,1303268,0
2015-02-13,10.577,10.876,10.488,10.786,1187337,0
2015-02-17,10.488,10.587,10.319,10.319,1019691,0
2015-02-18,10.379,10.876,10.339,10.806,1318550,0
2015-02-19,10.816,10.916,10.389,10.459,1288402,0
2015-02-20,10.627,10.766,10.26,10.329,1093546,0
2015-02-23,10.22,10.627,10.18,10.548,1099107,0
2015-02-24,10.439,10.647,10.2,10.309,1057959,0
2015-02-25,10.379,10.597,10.14,10.577,1316297,0
2015-02-26,10.706,10.806,10.508,10.796,1564680,0
2015-02-27,10.766,11.521,10.697,11.501,2287296,0
2015-03-02,11.571,11.68,11.203,11.283,1871133,0
2015-03-03,11.283,11.571,10.836,10.856,1741450,0
2015-03-04,10.856,11.382,10.796,11.114,2194432,0
2015-03-05,11.144,11.323,11.054,11.183,964060,0
2015-03-06,10.886,10.994,10.21,10.26,2047332,0
2015-03-09,10.469,10.479,9.892,9.922,1704499,0
2015-03-10,9.932,10.299,9.783,10.091,1810621,0
2015-03-11,10.121,10.826,9.862,10.776,1878987,0
2015-03-12,10.866,10.926,10.439,10.528,1303973,0
2015-03-13,10.528,10.528,10.16,10.469,1967086,0
2015-03-16,10.508,10.577,9.892,10.23,1845861,0
2015-03-17,10.121,10.449,10.002,10.299,1608143,0
2015-03-18,10.25,10.866,10.17,10.826,2035854,0
2015-03-19,10.687,11.153,10.687,10.916,1978463,0
2015-03-20,10.926,11.223,10.746,10.826,4877993,0
2015-03-23,10.846,11.034,10.627,10.856,1513096,0
2015-03-24,10.926,10.926,10.567,10.627,1023464,0
2015-03-25,10.746,10.886,10.488,10.498,1547430,0
2015-03-26,10.607,10.726,10.15,10.23,1606532,0
2015-03-27,10.16,10.369,10.071,10.091,1366600,0
2015-03-30,9.962,10.289,9.733,10.269,1368109,0
2015-03-31,10.269,10.657,10.012,10.061,1526538,0
2015-04-01,10.16,10.518,10.13,10.479,1890464,0
2015-04-02,10.449,10.647,10.2,10.399,1622138,0
2015-04-06,10.796,10.846,10.557,10.776,1134822,0
2015-04-07,10.627,10.846,10.359,10.479,1405336,0
2015-04-08,10.528,10.736,10.25,10.439,1902950,0
2015-04-09,10.349,10.528,10.18,10.349,1307852,0
2015-04-10,10.538,10.776,10.459,10.746,1209430,0
2015-04-13,10.657,10.806,10.567,10.587,703084,0
2015-04-14,10.657,10.796,10.479,10.557,936674,0
2015-04-15,10.607,10.906,10.508,10.776,1362624,0
2015-04-16,10.866,10.876,10.399,10.459,1476072,0
2015-04-17,10.508,10.806,10.439,10.469,908482,0
2015-04-20,10.508,10.577,10.26,10.557,1025811,0
2015-04-21,10.557,10.916,10.557,10.886,936272,0
2015-04-22,10.876,10.886,10.577,10.826,1579920,0
2015-04-23,10.856,11.024,10.756,10.916,1075821,0
2015-04-24,10.657,11.193,10.647,11.074,1841417,0
2015-04-27,11.253,11.412,11.064,11.104,1921375,0
2015-04-28,11.144,11.223,10.935,10.965,1842739,0
2015-04-29,10.945,11.243,10.766,11.173,1623447,0
2015-04-30,10.886,11.363,10.806,11.104,1546524,0
2015-05-01,10.945,11.193,10.776,11.134,680229,0
2015-05-04,11.372,11.421,11.183,11.273,804777,0
2015-05-05,11.412,11.491,11.213,11.363,1020343,0
2015-05-06,11.283,11.431,10.886,10.994,1180665,0
2015-05-07,10.916,11.144,10.806,11.044,1587114,0
2015-05-08,11.084,11.124,10.856,10.965,927210,0
2015-05-11,11.034,11.253,10.945,11.114,969195,0
2015-05-12,11.153,11.372,11.124,11.333,990015,0
2015-05-13,11.441,11.868,11.243,11.868,2367511,0
2015-05-14,11.968,12.415,11.898,12.285,2090123,0
2015-05-15,12.227,12.315,12.147,12.157,995648,0
2015-05-18,12.217,12.256,11.829,11.868,950499,0
2015-05-19,11.581,12.147,11.471,11.501,1660873,0
2015-05-20,11.531,11.65,11.392,11.412,1160295,0
2015-05-21,11.402,11.541,11.253,11.293,1157074,0
2015-05-22,11.283,11.431,11.183,11.263,947044,0
2015-05-26,10.896,11.183,10.886,11.144,1371732,0
2015-05-27,11.024,11.203,10.876,11.074,1307196,0
2015-05-28,11.024,11.392,10.886,11.363,1295337,0
2015-05-29,11.402,11.421,11.094,11.124,2024980,0
2015-06-01,11.233,11.273,10.796,10.846,1083472,0
2015-06-02,10.916,11.293,10.876,11.153,1262248,0
2015-06-03,11.114,11.273,10.945,10.975,1009872,0
2015-06-04,10.796,10.886,10.706,10.806,635021,0
2015-06-05,10.677,10.826,10.469,10.479,1560116,0
2015-06-08,10.508,10.637,10.269,10.617,1212249,0
2015-06-09,10.716,10.756,10.469,10.488,1095400,0
2015-06-10,10.697,10.746,10.459,10.607,1050176,0
2015-06-11,10.577,10.776,10.488,10.687,1473050,0
2015-06-12,10.647,10.776,10.567,10.677,1154053,0
2015-06-15,10.637,10.876,10.488,10.647,1762996,0
2015-06-16,10.557,10.826,10.429,10.449,1344751,0
2015-06-17,10.429,10.637,10.299,10.567,1615191,0
2015-06-18,10.756,10.756,10.439,10.577,1539980,0
2015-06-19,10.557,10.776,10.329,10.399,4578053,0
2015-06-22,10.329,10.498,10.269,10.389,1010476,0
2015-06-23,10.329,10.587,10.319,10.399,860511,0
2015-06-24,10.389,10.567,10.339,10.409,836190,0
2015-06-25,10.289,10.577,10.269,10.459,1308605,0
2015-06-26,10.439,10.528,10.329,10.389,844849,0
2015-06-29,10.409,10.617,10.369,10.449,812227,0
2015-06-30,10.349,10.508,10.21,10.309,1136832,0
2015-07-01,10.24,10.289,9.852,9.902,1788067,0
2015-07-02,9.992,10.13,9.902,10.032,1628783,0
2015-07-06,10.051,10.16,9.902,10.081,1134923,0
2015-07-07,9.813,9.882,9.3857,9.565,2393387,0
2015-07-08,9.654,9.922,9.4154,9.4254,1159088,0
2015-07-09,9.525,9.555,9.197,9.2963,1233292,0
2015-07-10,9.2368,9.3857,9.0381,9.0977,1309309,0
2015-07-13,8.9983,9.2069,8.8494,9.1672,749500,0
2015-07-14,9.1572,9.2168,8.9785,9.058,810864,0
2015-07-15,8.9983,9.0381,8.8395,8.8494,1024864,0
2015-07-16,8.8295,8.8792,8.7004,8.7798,922478,0
2015-07-17,8.6806,8.7203,8.4223,8.5018,1674797,0
2015-07-20,8.1641,8.2436,7.151,7.2504,3029012,0
2015-07-21,7.4291,7.9157,7.4291,7.7369,2735314,0
2015-07-22,7.5681,7.8165,7.449,7.7469,2837509,0
2015-07-23,7.8562,7.8562,7.0716,7.1808,2354522,0
2015-07-24,7.0815,7.6575,6.9623,7.6277,2871540,0
2015-07-27,7.5681,7.9555,7.2205,7.3298,2163321,0
2015-07-28,7.449,7.7072,7.3099,7.5284,1554981,0
2015-07-29,7.5284,7.7369,7.3695,7.598,1267324,0
2015-07-30,7.4787,7.5086,7.2603,7.3198,1216377,0
2015-07-31,6.8928,7.2603,6.8133,7.0716,2032833,0
2015-08-03,7.0219,7.0914,6.5551,6.6643,1739250,0
2015-08-04,6.6246,6.8133,6.4458,6.6048,1245878,0
2015-08-05,6.6545,6.7736,6.4855,6.5451,1351496,0
2015-08-06,6.6246,6.8431,6.4657,6.6048,1737298,0
2015-08-07,6.5849,6.714,6.2869,6.3465,1388045,0
2015-08-10,6.416,6.714,6.277,6.6942,1692115,0
2015-08-11,6.7637,6.8928,6.4757,6.7339,1728712,0
2015-08-12,6.9325,7.439,6.7637,7.3993,3526699,0
2015-08-13,7.2504,7.4787,7.0914,7.151,2223631,0
2015-08-14,7.1907,7.2304,6.704,6.7537,1633415,0
2015-08-17,6.9027,7.0616,6.7437,7.002,1327533,0
2015-08-18,6.8828,6.9722,6.6743,6.7437,1237018,0
2015-08-19,6.8233,7.1907,6.714,6.9921,1403450,0
2015-08-20,7.141,7.3894,7.0517,7.1212,1607439,0
2015-08-21,7.2702,7.3198,6.8531,6.9722,2894497,0
2015-08-24,6.8034,7.151,6.2075,6.2869,2352567,0
2015-08-25,6.4955,6.5948,6.0585,6.1081,1228359,0
2015-08-26,6.0486,6.1181,5.701,5.7605,1931946,0
2015-08-27,5.8102,6.3962,5.691,6.1678,2330459,0
2015-08-28,6.1777,6.6048,6.1678,6.4955,1478762,0
2015-08-31,6.3366,6.4061,6.1678,6.277,1911910,0
2015-09-01,6.3266,6.3863,5.9492,5.9691,1240945,0
2015-09-02,5.9592,6.0684,5.8002,5.9592,1102200,0
2015-09-03,5.8399,6.2572,5.8201,5.989,1146905,0
2015-09-04,5.9293,6.0982,5.8399,6.0585,1227754,0
2015-09-08,6.128,6.3465,6.0684,6.277,1222116,0
2015-09-09,6.1876,6.2273,5.9393,6.0187,1877275,0
2015-09-10,6.0982,6.1975,6.0089,6.0883,2217359,0
2015-09-11,6.0187,6.1181,5.8201,6.1181,1855930,0
2015-09-14,6.0486,6.2572,5.9293,6.1578,1237823,0
2015-09-15,6.128,6.2572,5.9592,5.989,984197,0
2015-09-16,6.1081,6.4359,6.0883,6.4359,1530414,0
2015-09-17,6.426,6.8034,6.2671,6.6942,2069637,0
2015-09-18,6.8331,6.9325,6.6048,6.863,4049255,0
2015-09-21,6.5651,6.7736,6.3863,6.4757,1956413,0
2015-09-22,6.3167,6.3366,5.9492,6.0089,1444731,0
2015-09-23,6.138,6.1578,5.8599,5.8798,881513,0
2015-09-24,6.0089,6.1975,5.9492,6.1777,1434949,0
2015-09-25,6.0486,6.1478,5.9293,5.9989,1222821,0
2015-09-28,5.8798,5.8996,5.7108,5.7904,1132245,0
2015-09-29,5.8399,5.9195,5.7605,5.8499,956409,0
2015-09-30,5.7904,5.989,5.7307,5.9195,1696142,0
2015-10-01,6.0684,6.2472,5.9293,6.0486,1536556,0
2015-10-02,6.2472,6.3366,6.1081,6.3068,2469303,0
2015-10-05,6.3564,7.2106,6.3266,7.2106,3121558,0
2015-10-06,7.3298,7.5781,7.0517,7.4291,2298239,0
2015-10-07,7.4291,7.588,7.1907,7.3198,2373653,0
2015-10-08,7.1907,7.6277,7.1113,7.1311,2447656,0
2015-10-09,7.3894,7.876,7.3894,7.876,2676010,0
2015-10-12,8.025,8.025,7.3894,7.4986,1489310,0
2015-10-13,7.3993,7.7072,7.3198,7.4291,1302664,0
2015-10-14,7.7171,8.2236,7.598,8.1641,2036155,0
2015-10-15,8.0548,8.1243,7.7768,8.1243,1555284,0
2015-10-16,8.0945,8.1641,7.7072,7.7668,1781322,0
2015-10-19,7.6972,7.8363,7.4192,7.4589,1459214,0
2015-10-20,7.5284,7.9356,7.4689,7.6874,1614456,0
2015-10-21,7.598,7.6774,7.2504,7.439,1568473,0
