Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.31,1.34,1.31,1.34,750,0
2015-01-05,1.341,1.37,1.341,1.37,316,0
2015-01-06,1.37,1.37,1.27,1.32,11287,0
2015-01-07,1.29,1.35,1.17,1.33,42454,0
2015-01-08,1.28,1.37,1.28,1.36,10299,0
2015-01-09,1.39,1.5,1.39,1.46,19801,0
2015-01-12,1.5,1.63,1.49,1.55,72811,0
2015-01-13,1.55,1.55,1.5,1.5,10735,0
2015-01-14,1.48,1.51,1.33,1.33,41352,0
2015-01-15,1.3201,1.3201,1.27,1.27,1865,0
2015-01-16,1.3099,1.31,1.295,1.31,1725,0
2015-01-20,1.29,1.29,1.29,1.29,200,0
2015-01-21,1.3,1.3,1.3,1.3,1000,0
2015-01-22,1.2752,1.302,1.2752,1.302,900,0
2015-01-23,1.2501,1.2532,1.25,1.25,12731,0
2015-01-26,1.29,1.29,1.29,1.29,172,0
2015-01-28,1.25,1.25,1.25,1.25,200,0
2015-01-29,1.289,1.2893,1.25,1.25,2251,0
2015-01-30,1.25,1.25,1.1235,1.1235,5300,0
2015-02-02,1.18,1.24,1.15,1.24,4466,0
2015-02-03,1.165,1.165,1.165,1.165,100,0
2015-02-04,1.12,1.1601,1.12,1.16,1300,0
2015-02-05,1.151,1.1672,1.15,1.15,7947,0
2015-02-06,1.1799,1.1799,1.1335,1.15,9811,0
2015-02-09,1.186,1.186,1.1672,1.1672,740,0
2015-02-10,1.189,1.2213,1.178,1.2213,5750,0
2015-02-11,1.23,1.28,1.17,1.215,3459,0
2015-02-12,1.1707,1.1871,1.1707,1.1871,2340,0
2015-02-13,1.18,1.28,1.18,1.28,4453,0
2015-02-17,1.2,1.31,1.2,1.28,9554,0
2015-02-18,1.359,1.36,1.307,1.307,1721,0
2015-02-19,1.369,1.369,1.316,1.32,2100,0
2015-02-20,1.37,1.37,1.37,1.37,353,0
2015-02-23,1.37,1.37,1.28,1.3,4750,0
2015-02-24,1.2899,1.2899,1.28,1.28,2247,0
2015-02-25,1.26,1.369,1.26,1.369,865,0
2015-02-26,1.2901,1.349,1.29,1.2912,3582,0
2015-02-27,1.37,1.37,1.26,1.37,5699,0
2015-03-02,1.44,1.44,1.35,1.35,3000,0
2015-03-03,1.36,1.36,1.35,1.35,2000,0
2015-03-04,1.3,1.39,1.3,1.39,3500,0
2015-03-05,1.35,1.35,1.27,1.3,3600,0
2015-03-06,1.3,1.35,1.3,1.3,500,0
2015-03-09,1.31,1.32,1.31,1.32,1300,0
2015-03-10,1.34,1.34,1.32,1.32,4100,0
2015-03-11,1.32,1.32,1.3,1.3,4400,0
2015-03-12,1.3,1.35,1.3,1.35,800,0
2015-03-16,1.32,1.32,1.32,1.32,1500,0
2015-03-17,1.32,1.32,1.29,1.31,2100,0
