Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,107.96,108.33,106.29,107.07,914189,0
2015-01-05,107.33,107.33,105.04,105.32,1639270,0
2015-01-06,105.78,105.92,103.93,104.41,1890366,0
2015-01-07,105.45,105.99,104.65,105.89,1678324,0
2015-01-08,106.65,107.83,106.47,107.58,1441591,0
2015-01-09,107.2,107.61,105.93,106.07,1441832,0
2015-01-12,105.91,106.49,104.4,104.79,1295207,0
2015-01-13,105.86,106.88,104.46,104.95,1726676,0
2015-01-14,100.56,103.64,100.56,102.78,1862289,0
2015-01-15,103.37,104.07,102.53,102.75,1439043,0
2015-01-16,102.84,104.63,102.6,104.56,1567720,0
2015-01-20,104.92,105.15,102.77,103.37,1489083,0
2015-01-21,103.23,103.91,102.49,103.44,1285531,0
2015-01-22,104.5,106.27,103.62,106.12,1966918,0
2015-01-23,106.18,106.4,105.36,105.6,1153940,0
2015-01-26,105.25,105.94,104.73,105.62,1263267,0
2015-01-27,105.18,105.24,104.12,104.13,1707268,0
2015-01-28,104.82,105.61,102.16,102.25,2109573,0
2015-01-29,102.53,103.13,101.48,103.06,1586636,0
2015-01-30,102.13,102.59,100.91,101.01,2338476,0
2015-02-02,100.96,102.39,100.31,102.26,1844657,0
2015-02-03,102.98,103.9,102.46,103.85,1347311,0
2015-02-04,103.7,105.08,103.33,104.44,1612807,0
2015-02-05,104.06,106.06,103.74,105.82,1478408,0
2015-02-06,106.2,106.49,105.42,105.6,1382915,0
2015-02-09,104.86,105.31,104.53,104.76,918898,0
2015-02-10,105.72,105.72,104.45,104.56,1297011,0
2015-02-11,104.76,105.53,104.49,105.23,833727,0
2015-02-12,105.29,105.78,105.09,105.68,868346,0
2015-02-13,105.24,106.14,105.11,105.77,651195,0
2015-02-17,106.25,106.99,105.66,106.57,1312404,0
2015-02-18,106.47,106.65,105.77,106.4,924983,0
2015-02-19,106.18,106.93,105.92,106.58,820834,0
2015-02-20,106.27,107.35,105.69,107.13,1327666,0
2015-02-23,106.89,106.96,105.87,106.25,1403500,0
2015-02-24,106.15,107.31,106.01,107.14,1504046,0
2015-02-25,106.7,107.51,106.7,106.88,1251468,0
2015-02-26,106.77,107.48,106.62,107.39,1158192,0
