Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,5.6357,6.0096,5.6357,5.8764,938413,0
2015-01-05,5.7588,5.7749,4.952,5.1284,1076665,0
2015-01-06,5.1284,5.139,4.888,5.0642,559679,0
2015-01-07,5.0964,5.2406,5.043,5.1977,267041,0
2015-01-08,5.2832,5.4969,5.1605,5.2245,877204,0
2015-01-09,5.2353,5.358,5.2139,5.262,226110,0
2015-01-12,5.2886,5.3527,5.2192,5.3366,391109,0
2015-01-13,5.39,5.4381,5.246,5.3687,296099,0
2015-01-14,5.3046,5.342,5.107,5.2245,250521,0
2015-01-15,5.278,5.2993,5.1177,5.1765,142181,0
2015-01-16,5.1872,5.3366,5.0482,5.1765,528315,0
2015-01-20,5.1872,5.2832,5.0802,5.1123,213673,0
2015-01-21,5.1123,5.1284,5.0322,5.075,201818,0
2015-01-22,5.075,5.2086,5.0589,5.2033,196444,0
2015-01-23,5.1925,5.2832,5.1657,5.262,134246,0
2015-01-26,5.246,5.2512,5.0964,5.1017,261382,0
2015-01-27,5.075,5.091,4.9681,5.0163,159448,0
2015-01-28,5.0802,5.1017,4.9308,4.9575,118032,0
2015-01-29,4.9681,5.0055,4.9147,4.952,99219,0
2015-01-30,4.8987,4.9575,4.8239,4.8345,144462,0
2015-02-02,4.904,4.904,4.7812,4.8132,335531,0
2015-02-03,4.8132,5.0376,4.8132,4.9575,212764,0
2015-02-04,4.92,5.0055,4.888,4.9147,126377,0
2015-02-05,4.9147,5.2353,4.8827,5.2033,301535,0
2015-02-06,5.2033,5.246,5.091,5.1284,117056,0
2015-02-09,5.1231,5.2192,5.107,5.1284,150630,0
2015-02-10,5.1657,5.1657,5.0697,5.1123,81317,0
2015-02-11,5.0802,5.1017,4.9843,5.0002,105622,0
2015-02-12,5.0215,5.0535,4.9843,5.0163,96233,0
2015-02-13,5.0163,5.0802,5.0002,5.0535,51435,0
2015-02-17,5.0589,5.1605,5.0215,5.0535,149430,0
2015-02-18,5.0215,5.6624,5.0215,5.326,974428,0
2015-02-19,5.2832,5.4542,5.1925,5.4114,177980,0
2015-02-20,5.4755,5.4755,5.1123,5.1925,226721,0
