Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,20.628,20.811,20.493,20.784,2590511,0
2015-01-05,20.468,20.618,19.966,20.126,4690706,0
2015-01-06,20.126,20.249,19.536,19.678,5418842,0
2015-01-07,19.827,20.117,19.688,19.932,5985155,0
2015-01-08,20.108,20.443,19.975,20.407,3899202,0
2015-01-09,20.397,20.407,19.923,19.975,2418333,0
2015-01-12,20.002,20.072,19.678,20.021,2820878,0
2015-01-13,20.169,20.362,19.782,19.914,3461683,0
2015-01-14,19.719,19.923,19.536,19.897,5049839,0
2015-01-15,19.932,20.021,19.79,19.932,4270862,0
2015-01-16,19.888,20.241,19.738,20.231,4761398,0
2015-01-20,20.3,20.337,19.897,20.133,3633781,0
2015-01-21,20.133,20.388,20.021,20.362,3693476,0
2015-01-22,20.433,20.521,20.002,20.133,3935883,0
2015-01-23,20.169,20.345,20.117,20.204,2647392,0
2015-01-26,20.029,20.241,19.703,20.231,3057950,0
2015-01-27,20.082,20.503,20.053,20.354,3462619,0
2015-01-28,20.381,20.443,19.932,20.021,4827177,0
2015-01-29,20.053,20.636,19.966,20.557,4670480,0
2015-01-30,20.372,20.618,20.283,20.31,5558041,0
2015-02-02,20.337,20.493,19.959,20.143,4884514,0
2015-02-03,19.888,20.161,19.799,20.09,6235892,0
2015-02-04,19.993,20.161,19.808,20.053,5565108,0
2015-02-05,20.221,20.476,20.082,20.397,4042008,0
2015-02-06,20.345,20.362,19.448,19.544,4997452,0
2015-02-09,19.552,19.844,19.457,19.519,4582306,0
2015-02-10,19.536,19.984,19.448,19.941,4171512,0
2015-02-11,19.824,19.875,19.217,19.254,5290385,0
2015-02-12,19.36,19.672,19.271,19.662,5275931,0
2015-02-13,19.653,19.699,19.289,19.352,7006251,0
2015-02-17,19.217,19.378,19.126,19.207,6382736,0
2015-02-18,19.156,19.538,19.156,19.511,5061343,0
2015-02-19,19.529,19.529,19.121,19.217,4176175,0
2015-02-20,19.246,19.333,19.075,19.324,3205983,0
2015-02-23,19.333,19.396,19.103,19.28,2527630,0
2015-02-24,19.307,19.69,19.207,19.602,4491425,0
2015-02-25,19.546,19.555,19.126,19.185,4991581,0
2015-02-26,19.199,19.289,18.525,18.693,7539422,0
2015-02-27,18.674,18.711,18.347,18.488,7247319,0
2015-03-02,18.506,18.558,18.255,18.4,6060596,0
2015-03-03,18.363,18.595,18.265,18.479,4520063,0
2015-03-04,18.446,18.567,18.391,18.446,4386136,0
2015-03-05,18.622,18.782,18.535,18.64,4698067,0
2015-03-06,18.353,18.558,18.232,18.363,6009994,0
2015-03-09,18.363,18.567,18.329,18.436,4947364,0
2015-03-10,18.418,18.525,18.347,18.353,5674225,0
2015-03-11,18.338,18.409,18.142,18.195,4005276,0
2015-03-12,18.283,18.516,18.222,18.446,4011573,0
2015-03-13,18.418,18.452,17.991,18.265,4428754,0
2015-03-16,18.347,18.631,18.302,18.409,4694805,0
2015-03-17,18.382,18.488,18.249,18.409,3889905,0
2015-03-18,18.418,19.094,18.353,18.986,3288645,0
2015-03-19,18.854,18.907,18.525,18.535,5185077,0
2015-03-20,18.649,18.907,18.605,18.828,6543332,0
