Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,5.166,5.2506,4.6578,5.1234,20234,0
2015-01-05,5.208,5.6736,5.1234,5.1234,8343,0
2015-01-06,5.1234,5.4198,4.7082,4.9542,19561,0
2015-01-07,5.1912,5.2506,4.9122,5.0808,6554,0
2015-01-08,5.1234,5.208,4.7424,4.9962,25700,0
2015-01-09,5.0808,5.0808,4.8696,4.8696,2687,0
2015-01-12,4.8696,5.208,4.5306,4.7844,13833,0
2015-01-13,4.0926,5.208,4.0926,4.6578,9669,0
2015-01-14,4.6152,5.0808,4.6152,4.8132,9232,0
2015-01-15,4.9962,5.0388,4.8696,4.8696,15199,0
2015-01-16,4.5054,5.0388,4.5054,4.7844,8726,0
2015-01-20,4.6578,4.8696,4.5306,4.6578,7461,0
2015-01-21,4.7064,5.1234,4.6746,4.8696,14738,0
2015-01-22,4.827,6.1398,4.5732,5.589,53515,0
2015-01-23,5.2548,5.928,4.8696,5.8854,32219,0
2015-01-26,5.589,6.1818,5.547,6.0552,15613,0
2015-01-27,6.0972,6.1818,5.6316,5.6316,5284,0
2015-01-28,5.0766,5.7588,5.0766,5.5044,16400,0
2015-01-29,5.5044,6.0552,5.5044,5.8434,6987,0
2015-01-30,3.8532,5.6952,3.7686,5.0808,38180,0
2015-02-02,4.9542,5.4624,4.9542,5.166,4660,0
2015-02-03,4.6578,5.8854,4.6578,5.8854,14824,0
2015-02-04,5.7162,5.8434,5.5044,5.6316,11227,0
2015-02-05,5.7588,5.928,5.0808,5.2506,15099,0
2015-02-06,4.9962,5.2506,4.9542,5.2506,9373,0
2015-02-09,5.166,5.4018,5.1234,5.166,6267,0
2015-02-10,5.2926,5.2926,4.8696,5.0388,11913,0
2015-02-11,4.9116,4.9962,4.6578,4.8696,7262,0
2015-02-12,4.9116,5.1234,4.827,5.0388,9546,0
2015-02-13,5.0388,5.208,4.8102,5.0388,28452,0
2015-02-17,4.9542,5.0808,4.5732,4.8696,12461,0
2015-02-18,4.6998,4.9962,4.488,4.7424,33026,0
2015-02-19,5.0382,5.0382,4.7424,4.8696,1240,0
2015-02-20,4.8696,4.9566,4.827,4.827,11741,0
2015-02-23,5.0388,5.0388,4.7004,4.9116,6465,0
2015-02-24,4.8696,4.9962,4.5774,4.8696,2805,0
2015-02-25,4.8696,4.9962,4.8696,4.9122,4643,0
2015-02-26,4.9116,5.0808,4.6578,4.7424,11947,0
2015-02-27,4.6152,5.166,4.6152,5.0388,8919,0
2015-03-02,5.1234,5.1234,4.7844,4.9962,7628,0
2015-03-03,4.8696,5.2506,4.7844,5.2506,4629,0
2015-03-04,4.9542,5.208,4.5732,4.9116,12021,0
2015-03-05,4.7844,5.0808,4.6578,4.9116,4889,0
2015-03-06,4.7424,4.9116,4.6152,4.6152,8266,0
2015-03-09,4.7844,4.7844,4.446,4.5732,5527,0
2015-03-10,4.5306,4.6578,4.2768,4.3188,6684,0
2015-03-11,4.2768,4.5306,4.0224,4.3614,12352,0
2015-03-12,4.0224,4.488,4.0224,4.3614,13722,0
2015-03-13,4.446,4.7844,4.2342,4.6152,9305,0
