Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.52,1.55,1.48,1.48,508829,0
2015-01-05,1.51,1.52,1.4,1.43,345498,0
2015-01-06,1.43,1.4581,1.27,1.29,631953,0
2015-01-07,1.31,1.47,1.3001,1.45,502629,0
2015-01-08,1.5,1.51,1.39,1.41,678289,0
2015-01-09,1.43,1.46,1.39,1.41,258318,0
2015-01-12,1.41,1.44,1.35,1.4,263116,0
2015-01-13,1.39,1.43,1.35,1.35,232466,0
2015-01-14,1.41,1.41,1.33,1.39,159958,0
2015-01-15,1.38,1.4,1.31,1.33,169618,0
2015-01-16,1.33,1.39,1.31,1.37,110458,0
2015-01-20,1.37,1.41,1.3,1.4,262459,0
2015-01-21,1.42,1.51,1.42,1.43,607078,0
2015-01-22,1.4898,1.72,1.45,1.68,2729096,0
2015-01-23,1.7,1.71,1.6,1.65,995274,0
2015-01-26,1.7,1.95,1.7,1.94,2055046,0
2015-01-27,1.91,1.95,1.86,1.87,1113647,0
2015-01-28,1.86,1.86,1.7,1.76,1055183,0
2015-01-29,1.78,1.94,1.78,1.86,978175,0
2015-01-30,1.9,1.92,1.81,1.84,582051,0
2015-02-02,1.9,2.0,1.82,1.95,1294535,0
2015-02-03,2.0,2.0999,1.9,2.07,1721403,0
2015-02-04,2.09,2.19,2.02,2.06,1083770,0
2015-02-05,2.11,2.19,2.075,2.16,1140047,0
2015-02-06,2.21,2.3,2.15,2.22,1487819,0
2015-02-09,2.23,2.55,2.15,2.39,2171903,0
2015-02-10,2.41,2.7,2.39,2.65,2174456,0
2015-02-11,2.66,2.76,2.6,2.73,1855415,0
2015-02-12,2.75,2.98,2.75,2.98,2567054,0
2015-02-13,3.02,3.23,2.88,3.23,3989001,0
2015-02-17,3.29,3.5,3.16,3.42,4472040,0
2015-02-18,3.48,3.5,3.02,3.43,6361870,0
2015-02-19,3.32,3.39,3.13,3.36,2305661,0
2015-02-20,3.3,3.5,3.23,3.4,2259425,0
2015-02-23,3.38,3.44,3.07,3.15,1980944,0
2015-02-24,3.12,3.14,2.77,2.8,3961761,0
2015-02-25,2.94,3.2,2.85,3.16,8828934,0
2015-02-26,3.1,3.17,2.97,3.15,2019957,0
2015-02-27,3.14,3.16,2.98,3.08,1863953,0
2015-03-02,3.06,3.15,3.06,3.08,1710700,0
2015-03-03,3.09,3.2,3.06,3.15,1996900,0
2015-03-04,3.14,3.19,2.99,3.16,1897400,0
2015-03-05,3.16,3.35,3.14,3.33,2334300,0
2015-03-06,3.32,3.35,3.03,3.04,2728700,0
2015-03-09,3.08,3.15,3.06,3.1,922000,0
2015-03-10,3.04,3.15,2.96,3.09,929600,0
2015-03-11,3.09,3.1,2.94,3.03,897400,0
2015-03-12,3.01,3.06,2.95,3.03,718800,0
2015-03-13,3.03,3.05,2.98,3.02,665400,0
2015-03-16,2.98,3.02,2.8,2.83,1426500,0
