Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,19.009,19.438,18.907,19.308,1871079,0
2015-01-05,18.89,18.898,18.035,18.238,2587811,0
2015-01-06,18.071,18.59,17.893,18.171,2554267,0
2015-01-07,18.426,18.638,17.912,18.035,2570111,0
2015-01-08,18.276,18.676,18.09,18.48,2409728,0
2015-01-09,18.526,18.797,18.248,18.618,2451521,0
2015-01-12,18.322,18.349,17.559,17.893,3007478,0
2015-01-13,17.754,17.987,17.42,17.708,2706034,0
2015-01-14,17.391,18.257,17.317,18.161,2308912,0
2015-01-15,18.545,18.628,17.922,17.95,2267881,0
2015-01-16,17.996,19.393,17.987,19.16,2514100,0
2015-01-20,18.397,18.618,17.783,17.893,2782628,0
2015-01-21,18.126,18.657,18.081,18.171,2446277,0
2015-01-22,18.136,18.378,17.931,18.378,2117742,0
2015-01-23,18.293,18.563,18.081,18.266,2320345,0
2015-01-26,18.266,18.58,18.117,18.406,3108369,0
2015-01-27,18.397,18.647,18.171,18.48,3420593,0
2015-01-28,18.144,18.201,17.047,17.057,3580880,0
2015-01-29,17.214,17.27,16.164,16.776,3569096,0
2015-01-30,16.592,17.819,16.357,17.578,2979308,0
2015-02-02,18.025,18.666,17.865,18.554,2983805,0
2015-02-03,19.096,19.652,18.982,19.224,3733316,0
2015-02-04,18.77,18.797,17.931,18.545,3887403,0
2015-02-05,18.898,19.131,18.618,19.037,2437690,0
2015-02-06,19.354,19.411,18.898,18.982,3063581,0
2015-02-09,19.131,19.456,19.029,19.037,2734128,0
2015-02-10,19.019,19.057,18.181,18.58,2914743,0
2015-02-11,18.276,18.48,17.912,18.161,3796733,0
2015-02-12,18.331,18.647,17.968,18.341,2931631,0
2015-02-13,18.545,18.545,17.875,18.071,2342702,0
2015-02-17,18.016,18.016,17.27,17.521,3623265,0
2015-02-18,16.386,16.61,16.275,16.562,6377699,0
2015-02-19,16.295,16.526,16.041,16.451,2782865,0
2015-02-20,16.461,16.572,16.338,16.488,3923907,0
2015-02-23,16.265,16.471,16.116,16.322,5153624,0
2015-02-24,16.396,16.507,16.154,16.451,2882866,0
2015-02-25,16.572,16.648,16.357,16.629,1833912,0
2015-02-26,16.396,16.433,16.154,16.174,1877013,0
2015-02-27,16.322,16.376,16.068,16.088,1733930,0
2015-03-02,16.032,16.06,15.819,15.838,2012544,0
2015-03-03,16.032,16.471,15.865,16.265,2954175,0
2015-03-04,16.338,16.684,16.229,16.592,4096878,0
2015-03-05,16.601,16.619,16.366,16.507,2155906,0
2015-03-06,16.366,16.517,16.144,16.247,1633937,0
2015-03-09,16.488,16.61,16.098,16.201,2698832,0
2015-03-10,15.997,16.182,15.764,15.931,2270360,0
2015-03-11,15.994,16.248,15.889,16.202,2426865,0
2015-03-12,16.409,16.409,15.907,15.917,2309009,0
2015-03-13,15.698,15.777,15.464,15.738,1527066,0
2015-03-16,15.473,15.777,15.397,15.777,2315673,0
2015-03-17,15.594,15.965,15.464,15.852,1687666,0
2015-03-18,15.777,16.673,15.642,16.523,1919254,0
2015-03-19,16.115,16.164,15.446,15.455,1959246,0
2015-03-20,15.852,15.87,15.662,15.814,2501664,0
2015-03-23,15.861,16.174,15.805,16.077,1458616,0
2015-03-24,16.174,16.38,15.927,16.351,1639741,0
2015-03-25,16.437,16.532,16.134,16.238,1805840,0
