Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,103.79,104.22,102.83,103.04,540510,0
2015-01-05,101.84,102.52,101.47,101.95,923031,0
2015-01-06,100.45,101.32,99.274,100.13,1859393,0
2015-01-07,101.23,101.54,99.97,101.23,697759,0
2015-01-08,101.46,102.98,101.36,102.55,621603,0
2015-01-09,102.54,102.54,101.16,101.79,366952,0
2015-01-12,102.75,102.94,101.88,102.68,820362,0
2015-01-13,104.39,104.74,102.38,103.11,498370,0
2015-01-14,102.22,103.1,101.88,102.61,462302,0
2015-01-15,104.19,105.21,103.86,104.47,579657,0
2015-01-16,105.16,105.71,104.46,105.64,491396,0
2015-01-20,106.34,106.51,105.47,105.88,506399,0
2015-01-21,106.2,107.73,105.95,107.51,499010,0
2015-01-22,106.76,107.55,106.49,107.22,584433,0
2015-01-23,108.51,108.69,107.99,108.1,435565,0
2015-01-26,108.52,109.44,108.03,108.93,421857,0
2015-01-27,108.16,108.9,107.93,108.42,416847,0
2015-01-28,108.73,109.51,108.14,108.22,688492,0
2015-01-29,112.46,112.46,110.74,111.94,1166962,0
2015-01-30,109.81,109.96,107.87,108.44,682349,0
2015-02-02,107.4,108.17,106.59,107.99,690993,0
2015-02-03,106.78,107.88,106.78,107.77,613678,0
2015-02-04,106.56,107.87,106.24,107.22,487672,0
2015-02-05,107.67,108.08,107.14,107.96,280979,0
2015-02-06,106.91,107.25,106.49,106.85,489541,0
2015-02-09,105.44,106.2,105.35,106.02,385232,0
2015-02-10,106.37,106.94,105.62,106.23,407131,0
2015-02-11,105.5,106.09,105.38,105.8,377475,0
2015-02-12,105.27,105.85,105.24,105.83,611889,0
2015-02-13,104.74,105.01,103.73,104.55,622646,0
2015-02-17,105.88,106.76,105.52,106.52,547720,0
2015-02-18,105.76,106.25,105.47,106.04,792268,0
2015-02-19,107.16,107.31,106.3,106.54,598638,0
2015-02-20,106.52,107.48,106.32,107.3,428508,0
2015-02-23,108.02,108.8,107.99,108.3,493515,0
2015-02-24,109.48,110.5,109.03,109.49,646013,0
2015-02-25,109.43,110.02,109.02,109.66,603282,0
2015-02-26,109.3,110.82,109.17,110.18,473530,0
2015-02-27,110.66,111.38,110.27,110.31,430432,0
2015-03-02,109.38,109.76,109.05,109.29,433567,0
2015-03-03,109.69,109.74,108.43,108.8,343922,0
2015-03-04,108.42,108.89,107.97,108.59,369242,0
