Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.29,9.37,8.96,9.26,62966,0
2015-01-05,9.15,9.37,9.12,9.23,75809,0
2015-01-06,9.03,9.2,8.87,8.94,111424,0
2015-01-07,9.04,9.06,8.88,9.02,66918,0
2015-01-08,9.06,9.09,8.81,8.9,253551,0
2015-01-09,8.87,8.88,8.54,8.59,82072,0
2015-01-12,8.56,8.69,8.45,8.63,43013,0
2015-01-13,8.73,8.9699,8.56,8.76,63802,0
2015-01-14,8.69,8.75,8.5375,8.7,23342,0
2015-01-15,8.75,8.77,8.36,8.38,32204,0
2015-01-16,8.35,8.5,8.27,8.49,50246,0
2015-01-20,8.51,8.51,8.235,8.26,50982,0
2015-01-21,8.27,8.39,8.23,8.37,91872,0
2015-01-22,8.4,8.93,8.31,8.91,118416,0
2015-01-23,8.583,9.09,8.583,9.04,163357,0
2015-01-26,9.04,9.43,8.91,9.42,65456,0
2015-01-27,9.26,9.5,9.171,9.46,191788,0
2015-01-28,9.5,9.5,9.13,9.26,84959,0
2015-01-29,9.28,9.51,9.0279,9.5,62785,0
2015-01-30,9.4,9.655,9.35,9.55,274543,0
2015-02-02,9.69,10.29,9.594,10.2,138805,0
2015-02-03,10.28,10.44,10.04,10.11,97650,0
2015-02-04,10.05,10.37,9.7,10.23,129674,0
2015-02-05,10.22,10.36,10.126,10.2,74219,0
2015-02-06,10.16,10.35,9.98,10.33,281274,0
2015-02-09,10.24,10.39,10.14,10.15,45710,0
2015-02-10,10.2,10.25,9.64,10.16,134319,0
2015-02-11,10.14,10.2,10.01,10.14,41343,0
2015-02-12,10.16,10.22,10.11,10.15,69758,0
2015-02-13,10.13,10.33,10.11,10.31,66925,0
2015-02-17,10.28,10.34,10.11,10.23,42820,0
2015-02-18,10.25,10.28,10.16,10.28,36031,0
2015-02-19,10.29,10.37,10.13,10.32,29009,0
2015-02-20,10.28,10.28,10.041,10.2,55988,0
2015-02-23,10.12,10.29,9.85,10.24,76789,0
2015-02-24,10.22,10.39,10.12,10.3,77980,0
2015-02-25,10.33,10.41,10.3,10.39,47809,0
2015-02-26,10.38,10.76,10.3,10.74,61095,0
2015-02-27,10.64,10.74,10.57,10.58,50969,0
2015-03-02,10.58,10.77,10.44,10.62,46000,0
2015-03-03,10.53,10.72,10.49,10.53,55100,0
2015-03-04,10.45,10.54,10.3,10.45,57600,0
2015-03-05,10.43,10.43,10.07,10.25,45900,0
2015-03-06,10.16,10.22,10.07,10.08,58300,0
2015-03-09,10.17,10.27,10.03,10.15,53100,0
2015-03-10,10.01,10.11,9.95,10.0,66200,0
2015-03-11,9.99,10.24,9.94,10.09,48300,0
2015-03-12,10.19,10.33,10.02,10.28,92000,0
2015-03-13,10.38,10.38,10.0,10.24,52600,0
2015-03-16,10.26,10.26,10.05,10.18,65100,0
2015-03-17,10.18,10.45,10.16,10.42,51600,0
2015-03-18,10.35,10.37,10.06,10.33,47900,0
2015-03-19,10.27,10.36,10.14,10.24,107000,0
2015-03-20,10.3,10.43,9.96,10.34,148700,0
2015-03-23,10.25,10.42,10.25,10.33,84900,0
2015-03-24,10.38,10.63,10.32,10.39,67600,0
2015-03-25,10.4,10.41,9.72,9.73,75500,0
2015-03-26,9.7,9.85,9.69,9.83,61700,0
2015-03-27,9.76,10.11,9.76,10.02,61600,0
2015-03-30,10.05,10.12,9.9,10.0,69200,0
2015-03-31,9.98,10.05,9.695,9.98,80027,0
2015-04-01,9.92,10.26,9.71,10.23,58900,0
2015-04-02,10.14,10.24,10.08,10.16,65700,0
2015-04-06,9.99,10.2,9.99,10.16,19200,0
2015-04-07,10.042,10.33,9.99,10.09,48511,0
2015-04-08,10.1,10.21,9.93,10.02,84100,0
2015-04-09,9.97,10.04,9.84,9.98,18955,0
2015-04-10,10.05,10.05,9.88,9.94,28600,0
2015-04-13,9.92,9.92,9.68,9.75,41100,0
2015-04-14,9.72,9.76,9.59,9.71,59500,0
2015-04-15,9.72,9.72,9.38,9.42,96276,0
2015-04-16,9.4,9.47,9.13,9.15,75951,0
2015-04-17,9.08,9.26,8.95,9.12,88000,0
2015-04-20,9.1,9.49,9.1,9.25,57407,0
2015-04-21,9.25,9.36,9.18,9.29,20592,0
2015-04-22,9.34,9.43,9.2,9.4,53289,0
2015-04-23,9.42,9.67,9.35,9.64,36200,0
2015-04-24,10.56,10.69,9.81,10.0,111008,0
2015-04-27,9.98,10.14,9.89,10.06,108400,0
2015-04-28,10.05,10.21,10.0,10.18,82811,0
2015-04-29,10.17,10.17,9.94,10.04,93600,0
2015-04-30,9.99,10.11,9.91,10.1,116600,0
2015-05-01,10.06,10.16,9.84,9.91,49600,0
2015-05-04,9.9,10.11,9.81,9.84,40400,0
2015-05-05,9.78,9.91,9.44,9.68,88200,0
2015-05-06,9.63,9.81,9.52,9.81,49694,0
2015-05-07,9.76,9.8,9.61,9.66,36569,0
2015-05-08,9.76,9.8,9.64,9.75,50200,0
2015-05-11,9.68,9.84,9.55,9.56,45300,0
2015-05-12,9.54,9.54,9.37,9.42,68011,0
2015-05-13,9.44,9.47,9.26,9.34,43058,0
2015-05-14,9.38,9.54,9.31,9.52,49900,0
2015-05-15,9.5,9.54,9.27,9.39,57276,0
2015-05-18,9.46,9.61,9.39,9.47,32169,0
2015-05-19,9.47,9.59,9.31,9.52,33212,0
2015-05-20,9.52,9.56,9.25,9.29,64400,0
2015-05-21,9.37,9.37,9.05,9.16,70100,0
2015-05-22,9.16,9.53,9.12,9.5,57900,0
2015-05-26,9.5,9.57,9.22,9.34,41808,0
2015-05-27,9.41,9.85,9.35,9.8,70400,0
2015-05-28,9.86,10.16,9.79,9.99,124206,0
2015-05-29,9.86,10.05,9.85,9.96,74500,0
2015-06-01,10.07,10.22,10.0,10.04,31064,0
2015-06-02,10.04,10.1,9.55,9.61,116631,0
2015-06-03,9.6,9.97,9.59,9.95,45600,0
2015-06-04,9.92,10.07,9.8,9.91,28600,0
2015-06-05,9.91,9.98,9.73,9.97,44400,0
2015-06-08,9.91,10.02,9.88,9.94,19800,0
2015-06-09,9.92,9.93,9.77,9.86,33543,0
2015-06-10,9.94,10.17,9.94,10.06,71097,0
2015-06-11,10.04,10.2,10.01,10.11,42848,0
2015-06-12,10.18,10.18,10.03,10.06,21800,0
2015-06-15,10.02,10.19,9.9,10.06,43100,0
2015-06-16,10.02,10.08,9.66,9.81,141900,0
2015-06-17,9.85,10.18,9.84,10.06,107500,0
