Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,26.79,26.79,24.8,25.47,102234,0
2015-01-05,25.18,25.4,23.3,23.33,113506,0
2015-01-06,23.41,23.73,20.82,21.8,163806,0
2015-01-07,22.45,23.4,22.01,22.67,66303,0
2015-01-08,23.39,23.95,22.78,23.89,78674,0
2015-01-09,23.78,24.18,23.02,23.98,84206,0
2015-01-12,23.8,23.8,21.55,21.75,145959,0
2015-01-13,22.0,23.23,21.5,22.4,94130,0
2015-01-14,21.99,23.0,21.74,23.0,64369,0
2015-01-15,23.29,23.29,21.14,21.5,65059,0
2015-01-16,21.6,21.76,20.01,20.49,111293,0
2015-01-20,20.43,20.5,17.7,18.23,206101,0
2015-01-21,18.15,19.28,17.96,19.23,50206,0
2015-01-22,19.7,19.7,18.8,19.61,45751,0
2015-01-23,19.75,19.86,18.87,19.33,53094,0
2015-01-26,19.5,20.05,19.02,19.36,38649,0
2015-01-27,19.12,20.1,18.95,19.81,33465,0
2015-01-28,19.68,20.04,19.44,19.53,78022,0
2015-01-29,19.76,19.85,18.93,19.21,51017,0
2015-01-30,18.92,20.0,18.92,19.68,34478,0
2015-02-02,19.9,23.39,19.36,22.9,115631,0
2015-02-03,23.34,24.5,22.92,23.34,102500,0
2015-02-04,23.25,23.98,21.8,21.86,168770,0
2015-02-05,21.37,21.46,19.19,19.82,401526,0
2015-02-06,20.01,20.8,19.82,19.92,90629,0
2015-02-09,19.56,20.2,19.25,19.89,59846,0
2015-02-10,19.9,20.04,19.2,19.56,65388,0
2015-02-11,19.7,20.0,18.87,19.73,40743,0
2015-02-12,19.65,22.29,19.61,21.25,184036,0
2015-02-13,21.5,21.62,20.74,21.04,59429,0
2015-02-17,21.42,21.42,20.27,20.61,27249,0
2015-02-18,20.75,20.92,20.16,20.35,24451,0
2015-02-19,20.19,20.74,19.8,20.22,38074,0
2015-02-20,20.45,21.04,20.2,20.81,50072,0
2015-02-23,21.05,21.08,20.42,20.7,23197,0
2015-02-24,21.13,22.02,20.28,20.6,81571,0
2015-02-25,20.49,20.95,20.01,20.53,76796,0
2015-02-26,20.24,21.6,20.24,21.0,69864,0
2015-02-27,21.55,22.9,21.55,22.37,217330,0
2015-03-02,22.41,29.27,22.41,28.1,507000,0
2015-03-03,28.5,28.5,25.12,26.46,261500,0
2015-03-04,26.21,27.23,25.49,26.65,123600,0
2015-03-05,26.91,27.23,26.33,26.89,143400,0
2015-03-06,26.16,27.4,26.16,26.99,96600,0
2015-03-09,27.05,27.39,24.66,24.86,111700,0
2015-03-10,24.85,24.85,22.19,22.41,225500,0
2015-03-11,22.26,23.37,22.26,22.95,84800,0
2015-03-12,23.11,24.17,22.93,24.16,91600,0
2015-03-13,23.95,23.95,23.07,23.57,54400,0
2015-03-16,23.58,23.84,21.12,21.87,149900,0
2015-03-17,22.0,24.75,22.0,24.15,159800,0
2015-03-18,24.74,24.76,23.36,24.12,318800,0
2015-03-19,23.67,25.4,23.67,25.13,129200,0
2015-03-20,25.41,27.6,24.8,27.6,311700,0
2015-03-23,26.99,27.6,26.46,27.15,184800,0
2015-03-24,27.29,28.92,27.2,28.46,224000,0
2015-03-25,28.46,28.58,26.03,26.83,234000,0
2015-03-26,26.5,27.01,25.96,26.14,151100,0
2015-03-27,26.3,26.71,25.85,26.59,58700,0
2015-03-30,26.76,26.9,25.74,26.34,119000,0
2015-03-31,26.11,26.6,26.02,26.51,50649,0
2015-04-01,26.44,27.16,26.12,27.01,100200,0
2015-04-02,26.92,27.18,26.37,26.41,144900,0
2015-04-06,26.41,26.99,25.28,26.84,56800,0
2015-04-07,26.75,26.88,25.94,26.57,74321,0
2015-04-08,26.86,27.24,25.99,26.14,135000,0
2015-04-09,26.0,27.98,26.0,27.09,277090,0
2015-04-10,28.5,29.67,27.26,29.2,419000,0
2015-04-13,29.21,30.82,28.76,30.35,221100,0
2015-04-14,30.53,30.65,29.92,30.11,91200,0
2015-04-15,30.37,30.37,29.03,29.59,124054,0
2015-04-16,29.44,30.61,28.92,30.6,141633,0
2015-04-17,30.0,31.45,29.5,31.09,159600,0
2015-04-20,31.53,31.79,29.37,29.78,120238,0
2015-04-21,29.83,29.83,28.79,29.03,115253,0
2015-04-22,29.0,29.74,28.93,29.06,50254,0
2015-04-23,29.01,29.91,28.44,28.86,165200,0
2015-04-24,28.86,29.7,28.71,29.0,95900,0
2015-04-27,29.1,29.51,27.59,27.59,112100,0
2015-04-28,27.61,28.4,26.87,27.81,86800,0
2015-04-29,27.59,29.95,27.59,28.8,98300,0
2015-04-30,28.94,28.94,27.2,27.45,88600,0
2015-05-01,27.05,27.15,26.0,27.12,109400,0
2015-05-04,27.19,28.61,26.64,26.7,97800,0
2015-05-05,26.9,27.14,24.5,24.81,119100,0
2015-05-06,24.87,25.06,24.5,24.52,50012,0
2015-05-07,24.5,24.85,23.65,24.0,85016,0
2015-05-08,24.0,25.83,22.85,23.49,140500,0
2015-05-11,23.8,24.87,23.41,24.34,169500,0
2015-05-12,24.39,26.41,24.34,25.86,114852,0
2015-05-13,26.12,26.35,24.54,24.64,66800,0
2015-05-14,24.62,25.56,24.56,25.12,68300,0
2015-05-15,24.9,25.61,24.54,25.5,37220,0
2015-05-18,25.3,25.41,24.72,24.93,39619,0
2015-05-19,24.81,25.26,24.02,24.52,76000,0
2015-05-20,24.5,24.62,23.66,23.84,66500,0
2015-05-21,24.0,24.89,23.6,23.81,50800,0
2015-05-22,23.52,24.23,22.3,22.82,89000,0
2015-05-26,22.79,22.79,21.32,22.23,136908,0
2015-05-27,22.32,22.55,22.0,22.51,55200,0
2015-05-28,22.49,22.69,22.22,22.42,33227,0
2015-05-29,22.5,22.54,21.98,22.04,27300,0
2015-06-01,22.9,22.9,21.69,22.1,55476,0
2015-06-02,22.11,22.69,21.79,22.55,36051,0
2015-06-03,22.65,23.6,22.63,23.55,44200,0
2015-06-04,23.3,23.3,22.4,22.73,31500,0
2015-06-05,22.03,24.5,22.03,23.59,219300,0
2015-06-08,23.69,23.69,22.56,22.68,46500,0
2015-06-09,22.81,22.81,21.26,22.02,65115,0
2015-06-10,22.16,23.29,21.98,22.87,60267,0
2015-06-11,22.82,23.49,22.65,23.08,51865,0
2015-06-12,23.1,24.72,23.0,24.53,127100,0
2015-06-15,24.22,24.9,24.07,24.7,40300,0
2015-06-16,24.52,24.57,23.39,23.39,41100,0
2015-06-17,23.73,23.8,23.2,23.65,49800,0
2015-06-18,23.67,25.15,23.51,25.15,69000,0
2015-06-19,24.8,25.91,23.69,25.91,166100,0
2015-06-22,25.98,25.98,23.6,23.67,159600,0
2015-06-23,23.97,24.85,23.8,24.55,68867,0
2015-06-24,24.56,24.66,23.95,23.97,23600,0
2015-06-25,24.25,24.6,23.88,24.1,74600,0
2015-06-26,23.87,24.23,22.7,22.72,159300,0
2015-06-29,22.3,23.24,21.64,22.4,196300,0
2015-06-30,22.75,24.24,22.71,23.55,59578,0
2015-07-01,23.83,24.41,22.88,23.43,43700,0
2015-07-02,23.56,23.56,22.08,22.34,81100,0
2015-07-06,22.12,22.12,20.38,20.9,219600,0
2015-07-07,20.8,20.87,17.55,18.42,414600,0
2015-07-08,17.94,19.73,16.29,19.62,401200,0
2015-07-09,20.66,21.78,19.79,20.32,252300,0
2015-07-10,20.56,21.47,20.01,20.19,84900,0
2015-07-13,20.47,21.0,20.38,20.38,79700,0
2015-07-14,20.78,21.44,20.51,21.13,69619,0
2015-07-15,21.13,21.25,20.0,20.43,69430,0
2015-07-16,20.49,21.17,20.49,20.96,87000,0
