Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.094,11.175,10.907,11.021,80642,0
2015-01-05,10.999,11.198,10.932,11.016,102805,0
2015-01-06,10.675,10.975,10.453,10.569,206799,0
2015-01-07,10.561,10.734,10.362,10.585,180044,0
2015-01-08,10.702,10.766,10.659,10.702,122574,0
2015-01-09,10.683,10.702,10.525,10.569,91902,0
2015-01-12,10.601,10.743,10.379,10.561,130301,0
2015-01-13,10.668,10.883,10.592,10.644,128901,0
2015-01-14,10.577,10.892,10.577,10.775,147081,0
2015-01-15,10.825,10.975,10.668,10.858,280285,0
2015-01-16,10.85,11.337,10.841,11.298,174811,0
2015-01-20,11.371,11.371,10.992,11.008,125115,0
2015-01-21,11.04,11.256,10.966,11.065,125696,0
2015-01-22,11.147,11.337,11.057,11.322,99211,0
2015-01-23,11.322,11.322,10.999,11.008,59259,0
2015-01-26,11.022,11.307,10.966,11.107,84392,0
2015-01-27,11.031,11.231,10.957,11.074,88762,0
2015-01-28,11.057,11.28,10.984,11.031,100956,0
2015-01-29,11.09,11.239,11.031,11.239,83184,0
2015-01-30,11.13,11.264,10.975,11.049,137991,0
2015-02-02,11.09,11.39,11.074,11.38,137254,0
2015-02-03,11.38,11.581,11.222,11.272,125558,0
2015-02-04,11.289,11.322,11.198,11.248,118462,0
2015-02-05,11.256,11.521,11.248,11.462,83216,0
2015-02-06,11.446,11.654,11.363,11.454,93878,0
2015-02-09,11.405,11.405,11.13,11.166,81978,0
2015-02-10,11.289,11.322,11.031,11.264,91905,0
2015-02-11,11.314,11.429,11.222,11.28,77583,0
2015-02-12,11.33,11.513,11.307,11.496,52335,0
2015-02-13,11.521,11.595,11.429,11.513,40703,0
2015-02-17,11.553,11.62,11.429,11.454,38888,0
2015-02-18,11.454,11.627,11.454,11.581,68950,0
2015-02-19,11.588,11.604,11.521,11.528,216958,0
2015-02-20,11.462,11.462,11.181,11.355,66004,0
2015-02-23,11.355,11.355,11.239,11.33,44447,0
2015-02-24,11.355,11.545,11.314,11.337,53198,0
2015-02-25,11.38,11.454,11.355,11.413,56297,0
2015-02-26,11.446,11.677,11.298,11.612,69473,0
2015-02-27,11.627,11.677,11.537,11.553,46255,0
2015-03-02,11.545,11.687,11.545,11.571,51797,0
2015-03-03,11.528,11.581,11.422,11.462,54453,0
2015-03-04,11.405,11.48,11.289,11.371,49745,0
2015-03-05,11.422,11.429,11.198,11.28,61696,0
2015-03-06,11.181,11.33,11.057,11.074,57833,0
2015-03-09,11.207,11.256,11.115,11.13,34411,0
2015-03-10,11.016,11.19,10.916,11.157,64109,0
2015-03-11,11.173,11.198,10.984,11.074,51555,0
2015-03-12,11.173,11.496,11.157,11.48,66404,0
2015-03-13,11.513,11.521,11.222,11.413,41050,0
2015-03-16,11.496,11.496,11.346,11.363,64474,0
2015-03-17,11.337,11.371,11.157,11.214,47691,0
2015-03-18,11.214,11.488,11.173,11.397,74495,0
