Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,57.433,58.084,57.01,57.985,168379,0
2015-01-05,57.679,58.455,57.462,58.174,246570,0
2015-01-06,58.537,59.757,58.375,59.359,490654,0
2015-01-07,59.72,60.182,59.169,60.038,237622,0
2015-01-08,60.172,60.342,59.332,59.359,170373,0
2015-01-09,59.259,59.72,58.698,58.808,145672,0
2015-01-12,58.908,59.458,58.862,59.188,213097,0
2015-01-13,59.313,59.673,58.735,59.622,205045,0
2015-01-14,59.24,60.31,59.169,60.191,245320,0
2015-01-15,60.369,60.452,59.179,59.468,211430,0
2015-01-16,59.476,60.316,59.061,60.208,145640,0
2015-01-20,60.641,60.641,58.825,59.114,126562,0
2015-01-21,59.476,59.693,58.926,59.142,163928,0
2015-01-22,59.584,60.524,59.359,60.524,177610,0
2015-01-23,60.533,60.67,59.72,60.01,142367,0
2015-01-26,60.071,60.759,59.368,60.613,169732,0
2015-01-27,60.333,60.877,60.135,60.571,110279,0
2015-01-28,60.408,60.913,59.938,60.362,244092,0
2015-01-29,60.562,60.723,59.287,60.053,150186,0
2015-01-30,59.901,59.901,58.311,58.402,235190,0
2015-02-02,58.59,58.717,57.1,57.498,277677,0
2015-02-03,57.796,57.796,54.698,56.892,688259,0
2015-02-04,56.792,57.154,56.051,56.839,201862,0
2015-02-05,56.792,58.021,56.792,57.849,240336,0
2015-02-06,57.689,57.689,55.905,56.151,204665,0
2015-02-09,56.141,56.611,55.954,56.016,155786,0
2015-02-10,56.133,56.758,55.619,56.692,303995,0
2015-02-11,56.577,56.849,56.123,56.531,192804,0
2015-02-12,56.64,57.551,56.25,57.399,133802,0
2015-02-13,57.399,57.399,56.386,57.144,213862,0
2015-02-17,57.019,57.47,56.151,56.386,244371,0
2015-02-18,56.485,56.83,55.644,56.792,254516,0
2015-02-19,56.54,56.758,55.826,56.268,247762,0
2015-02-20,56.16,57.019,55.873,56.857,206111,0
2015-02-23,56.749,57.65,56.749,57.65,187211,0
2015-02-24,57.433,57.433,56.495,57.307,246519,0
2015-02-25,57.118,58.232,57.108,57.363,282709,0
2015-02-26,57.433,57.433,56.16,56.522,169237,0
2015-02-27,56.449,57.118,56.198,56.92,171023,0
2015-03-02,56.902,57.976,56.324,56.792,165029,0
2015-03-03,56.513,56.621,55.834,56.457,162038,0
2015-03-04,56.224,56.34,55.166,55.42,179195,0
2015-03-05,55.573,55.699,55.122,55.229,120644,0
2015-03-06,54.309,54.309,53.016,53.199,220701,0
2015-03-09,53.249,53.593,52.862,53.378,308805,0
2015-03-10,53.16,53.396,52.647,53.091,243060,0
2015-03-11,53.016,53.307,52.484,52.655,330720,0
2015-03-12,52.862,53.701,52.385,52.998,428122,0
2015-03-13,53.007,53.622,52.437,53.224,257670,0
2015-03-16,53.288,53.866,53.061,53.404,286558,0
2015-03-17,53.404,53.404,52.828,53.258,432551,0
2015-03-18,53.379,53.9,52.923,53.781,480761,0
2015-03-19,53.47,54.418,53.387,54.154,293653,0
2015-03-20,54.163,55.852,54.147,55.77,570773,0
2015-03-23,55.568,56.226,55.313,56.023,172310,0
2015-03-24,55.76,56.042,55.432,55.559,163542,0
2015-03-25,55.76,55.796,54.328,54.466,131316,0
2015-03-26,54.336,54.802,53.918,53.998,180094,0
2015-03-27,54.137,54.575,53.834,54.118,124300,0
2015-03-30,54.446,55.405,54.172,55.34,137016,0
2015-03-31,55.132,55.485,54.665,54.865,228699,0
2015-04-01,55.103,55.532,53.854,54.948,284994,0
2015-04-02,55.113,56.07,54.856,55.695,249368,0
2015-04-06,55.641,56.663,55.641,56.427,147319,0
2015-04-07,56.308,56.318,55.468,55.77,299700,0
2015-04-08,55.98,56.08,55.532,55.742,131096,0
2015-04-09,55.66,55.788,54.345,54.712,162366,0
2015-04-10,55.176,55.862,54.611,54.856,175929,0
2015-04-13,54.766,55.395,54.493,55.103,160474,0
2015-04-14,55.185,55.904,54.948,55.805,376081,0
2015-04-15,55.852,56.124,54.884,55.551,230165,0
2015-04-16,55.313,55.732,55.056,55.313,106412,0
2015-04-17,54.974,55.551,54.401,54.774,185902,0
2015-04-20,54.902,55.578,54.646,55.194,307256,0
2015-04-21,55.277,55.641,54.756,54.875,190935,0
2015-04-22,54.812,54.912,54.154,54.254,166906,0
2015-04-23,54.237,54.756,54.036,54.301,139647,0
2015-04-24,54.383,55.049,54.237,54.655,104764,0
2015-04-27,54.712,55.202,53.872,54.045,196865,0
2015-04-28,54.008,54.355,53.57,54.31,140415,0
2015-04-29,53.863,53.925,52.942,53.159,134056,0
2015-04-30,52.814,52.885,51.782,52.183,197523,0
2015-05-01,52.092,52.711,51.762,51.973,191053,0
2015-05-04,52.211,52.904,52.138,52.285,126384,0
2015-05-05,52.166,52.376,51.079,51.581,190288,0
2015-05-06,51.872,51.881,51.133,51.828,198618,0
2015-05-07,51.855,52.794,51.754,52.585,161964,0
2015-05-08,53.208,53.9,52.986,53.004,134825,0
2015-05-11,52.741,53.123,52.02,52.121,112900,0
2015-05-12,51.828,52.285,50.969,51.938,127684,0
2015-05-13,52.174,52.631,51.272,51.391,121452,0
2015-05-14,51.517,52.403,51.208,52.249,114327,0
2015-05-15,52.309,53.089,52.201,52.814,110777,0
2015-05-18,52.521,52.721,52.138,52.64,79703,0
2015-05-19,52.339,52.951,52.102,52.785,139921,0
2015-05-20,52.751,53.069,52.229,52.678,171105,0
2015-05-21,52.611,52.859,51.608,51.901,112135,0
2015-05-22,51.728,52.309,51.537,51.737,85059,0
2015-05-26,51.481,51.6,50.688,50.834,126681,0
2015-05-27,50.77,51.051,50.569,50.942,155211,0
2015-05-28,51.017,51.216,50.423,51.117,185473,0
2015-05-29,51.089,51.397,50.651,50.751,303958,0
2015-06-01,50.852,51.938,50.688,51.863,140170,0
2015-06-02,51.636,51.636,51.043,51.407,109232,0
2015-06-03,51.291,51.334,50.969,51.162,154664,0
2015-06-04,51.125,51.363,50.843,51.079,129344,0
2015-06-05,50.634,51.125,50.178,50.787,257369,0
2015-06-08,50.634,51.153,50.314,50.88,141620,0
2015-06-09,50.734,51.363,50.305,50.861,238657,0
2015-06-10,50.906,51.791,50.805,51.382,140862,0
2015-06-11,51.71,51.762,51.017,51.617,124262,0
2015-06-12,51.6,52.121,51.354,51.993,273704,0
2015-06-15,51.782,52.112,51.162,51.847,280719,0
2015-06-16,51.847,52.659,51.728,52.447,201140,0
2015-06-17,52.623,53.111,52.145,52.845,242231,0
2015-06-18,52.919,54.034,52.919,53.811,199254,0
2015-06-19,53.905,53.905,52.754,53.563,311795,0
2015-06-22,53.581,53.829,53.157,53.599,239735,0
2015-06-23,53.342,53.941,53.086,53.526,150734,0
2015-06-24,53.589,53.767,53.128,53.387,213036,0
2015-06-25,53.315,53.499,53.076,53.128,229640,0
2015-06-26,53.076,53.325,52.338,53.105,651808,0
2015-06-29,52.89,53.572,52.394,52.495,359113,0
2015-06-30,52.734,53.01,51.712,51.814,311473,0
2015-07-01,51.933,52.467,51.489,52.385,239191,0
2015-07-02,53.028,53.297,52.429,52.568,288677,0
2015-07-06,52.29,53.248,52.29,53.028,280322,0
2015-07-07,53.215,53.995,53.028,53.444,344460,0
2015-07-08,53.267,53.397,52.375,52.863,218248,0
2015-07-09,53.12,53.128,52.061,52.54,199470,0
2015-07-10,52.613,53.315,52.328,52.835,257533,0
2015-07-13,52.909,53.914,52.899,53.257,133053,0
2015-07-14,53.196,53.69,52.928,53.609,122591,0
2015-07-15,53.416,54.071,53.387,53.72,199225,0
2015-07-16,53.811,54.428,53.7,54.328,254384,0
2015-07-17,54.171,54.588,53.767,53.931,294757,0
2015-07-20,54.034,55.001,53.914,54.808,326012,0
2015-07-21,54.909,55.572,54.761,55.25,242772,0
2015-07-22,55.287,55.996,55.156,55.331,185579,0
2015-07-23,55.287,55.498,54.245,54.733,244075,0
2015-07-24,54.549,55.149,54.375,54.871,206743,0
2015-07-27,54.89,55.351,54.005,54.236,284229,0
2015-07-28,54.384,54.853,53.849,54.778,266214,0
2015-07-29,54.707,55.553,54.034,55.221,188400,0
2015-07-30,55.047,55.23,54.588,54.862,156494,0
2015-07-31,55.24,56.069,54.928,55.47,167998,0
2015-08-03,55.562,55.801,55.055,55.463,91539,0
2015-08-04,55.498,55.876,55.176,55.278,160293,0
2015-08-05,55.322,55.378,53.673,54.19,397531,0
2015-08-06,54.245,54.356,53.096,53.987,239964,0
2015-08-07,53.849,54.079,53.196,53.867,170385,0
2015-08-10,54.181,54.301,53.231,53.536,192201,0
2015-08-11,53.397,53.72,52.328,53.379,299283,0
2015-08-12,53.387,53.767,52.808,53.287,282601,0
