Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.2153,9.2153,9.1569,9.1861,3391,0
2015-01-05,9.1472,9.4197,8.8747,9.2445,16043,0
2015-01-06,9.1083,9.1083,8.865,8.9331,1161,0
2015-01-12,8.7871,9.1861,8.7871,8.9526,6227,0
2015-01-13,8.8066,9.1958,8.8066,9.0012,10790,0
2015-01-14,8.7579,8.7579,8.6606,8.7579,7781,0
2015-01-20,8.5536,8.7385,8.3687,8.5633,14658,0
2015-01-21,8.7287,8.8358,8.5731,8.7969,40849,0
2015-01-22,8.5341,8.9428,8.4271,8.9428,3648,0
2015-01-26,8.9526,8.9526,8.9526,8.9526,514,0
2015-01-27,8.9234,8.9234,8.9234,8.9234,144,0
2015-01-29,8.9428,8.9526,8.9136,8.9526,1953,0
2015-01-30,8.6898,8.9526,8.6898,8.9526,7825,0
2015-02-02,8.612,8.8747,8.3882,8.8747,5527,0
2015-02-11,8.612,8.6314,8.612,8.6314,411,0
2015-02-12,8.2617,8.6509,8.2227,8.6509,11746,0
2015-02-13,8.3492,8.6801,7.8238,8.6801,11021,0
2015-02-17,8.2714,8.5244,8.1741,8.4465,13742,0
2015-02-18,8.3784,8.9428,8.3395,8.7482,10189,0
2015-02-19,8.8066,8.9136,8.5633,8.6606,61634,0
2015-02-25,8.5925,8.6022,8.5925,8.6022,987,0
2015-02-26,8.3687,8.7385,8.3687,8.7385,3602,0
2015-03-02,8.8066,8.9331,8.7677,8.9331,1336,0
2015-03-03,8.9331,8.9331,8.9331,8.9331,514,0
2015-03-04,8.9136,8.9136,8.9136,8.9136,617,0
2015-03-09,8.0086,8.7579,7.9795,8.5925,19936,0
2015-03-10,8.4271,8.6217,8.4271,8.612,719,0
2015-03-11,8.6606,8.6606,8.6606,8.6606,719,0
2015-03-12,8.5633,8.5633,8.5633,8.5633,2158,0
2015-03-16,8.5633,8.5633,8.5633,8.5633,103,0
2015-03-17,8.5049,8.5049,8.5049,8.5049,206,0
2015-03-18,8.5633,8.5633,8.5633,8.5633,103,0
2015-03-19,8.5633,8.5633,8.5633,8.5633,1850,0
2015-03-20,8.5633,8.5633,8.5633,8.5633,103,0
2015-03-23,8.5633,8.5633,8.5244,8.5244,3700,0
2015-03-24,8.5341,8.7579,8.5341,8.6022,1439,0
2015-03-26,8.6412,8.6412,8.6412,8.6412,206,0
2015-03-27,8.3784,8.3784,8.106,8.3687,11510,0
2015-03-30,8.2033,8.2033,8.2033,8.2033,103,0
2015-03-31,8.359,8.3784,8.2714,8.2714,2055,0
2015-04-01,8.0768,8.2617,7.7946,8.1643,15209,0
2015-04-02,8.0573,8.0573,7.9308,7.9308,3391,0
2015-04-06,7.7848,8.1741,7.6875,8.1546,14592,0
