Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.512,16.845,16.512,16.845,61095,0
2015-01-05,16.855,16.997,16.826,16.835,25330,0
2015-01-06,16.91,16.958,16.74,16.884,104694,0
2015-01-07,16.835,17.099,16.835,17.073,43554,0
2015-01-08,17.118,17.137,17.024,17.044,47076,0
2015-01-09,16.997,17.147,16.997,17.053,15242,0
2015-01-12,17.195,17.195,16.874,16.929,33457,0
2015-01-13,16.968,17.118,16.749,16.826,9006,0
2015-01-14,16.609,17.006,16.609,16.987,8027,0
2015-01-15,16.929,16.968,16.845,16.845,876,0
2015-01-16,16.788,16.901,16.779,16.874,21725,0
2015-01-20,16.948,17.024,16.686,16.865,23687,0
2015-01-21,16.788,16.865,16.694,16.865,29825,0
2015-01-22,16.835,17.147,16.835,17.147,73369,0
2015-01-23,17.118,17.326,16.893,17.326,54023,0
2015-01-26,17.137,17.516,17.137,17.461,33834,0
2015-01-27,17.375,17.411,17.282,17.282,6185,0
2015-01-28,17.232,17.308,17.232,17.308,10795,0
2015-01-29,17.118,17.242,17.073,17.242,7345,0
2015-01-30,17.099,17.242,17.024,17.024,50718,0
2015-02-02,17.034,17.034,16.656,16.874,11871,0
2015-02-03,16.769,17.109,16.769,17.099,13292,0
2015-02-04,17.127,17.232,16.958,16.978,10895,0
2015-02-05,17.167,17.47,17.167,17.47,8457,0
2015-02-06,17.393,17.498,16.901,16.968,28968,0
2015-02-09,16.978,17.044,16.609,16.929,9959,0
2015-02-10,16.929,16.929,16.769,16.808,39995,0
2015-02-11,16.884,16.884,16.74,16.779,23234,0
2015-02-12,16.997,17.204,16.987,17.167,11063,0
2015-02-13,17.024,17.147,16.865,16.865,10241,0
2015-02-17,16.855,17.167,16.855,17.015,22174,0
2015-02-18,16.978,17.083,16.948,17.044,21572,0
2015-02-19,16.929,17.299,16.865,17.109,34685,0
2015-02-20,16.865,17.127,16.835,16.845,23624,0
2015-02-23,16.855,16.958,16.808,16.845,26435,0
2015-02-24,16.74,16.798,16.541,16.788,11189,0
2015-02-25,16.835,17.015,16.835,16.845,12759,0
2015-02-26,16.901,16.901,16.749,16.798,3542,0
2015-02-27,16.609,16.666,16.609,16.666,2029,0
2015-03-02,16.826,16.929,16.627,16.627,8247,0
2015-03-03,16.759,16.874,16.686,16.874,28230,0
2015-03-04,16.627,16.835,16.609,16.676,10045,0
2015-03-05,16.703,16.703,16.599,16.599,741,0
2015-03-06,16.249,16.391,16.249,16.391,8670,0
2015-03-09,16.541,16.676,16.541,16.676,3173,0
2015-03-10,16.504,16.609,16.457,16.609,13322,0
2015-03-11,16.717,16.775,16.546,16.651,22937,0
2015-03-12,16.775,17.202,16.775,17.05,56396,0
2015-03-13,16.908,16.984,16.87,16.984,9890,0
2015-03-16,17.107,17.155,17.012,17.06,31881,0
2015-03-17,17.08,17.23,16.965,16.965,4103,0
2015-03-18,17.003,17.479,17.003,17.392,25777,0
2015-03-19,17.582,17.582,17.27,17.564,118789,0
2015-03-20,17.525,17.916,17.25,17.859,55975,0
2015-03-23,17.953,18.01,17.763,17.925,2946,0
2015-03-24,17.687,17.897,17.687,17.887,4524,0
2015-03-25,17.897,17.906,17.65,17.65,10839,0
