Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.051,13.077,12.932,13.035,200742,0
2015-01-05,12.915,12.924,12.631,12.729,370081,0
2015-01-06,12.711,12.78,12.593,12.639,234067,0
2015-01-07,12.697,12.78,12.679,12.754,316871,0
2015-01-08,12.847,13.019,12.84,12.992,265009,0
2015-01-09,13.001,13.027,12.883,12.932,174975,0
2015-01-12,12.94,12.965,12.833,12.907,230108,0
2015-01-13,13.011,13.059,12.762,12.833,318015,0
2015-01-14,12.665,12.78,12.639,12.72,262140,0
2015-01-15,12.72,12.833,12.679,12.729,173640,0
2015-01-16,12.739,12.883,12.687,12.847,395775,0
2015-01-20,12.907,12.957,12.825,12.957,271560,0
2015-01-21,12.941,13.038,12.917,13.004,183482,0
2015-01-22,13.089,13.243,13.03,13.189,164567,0
2015-01-23,13.175,13.189,13.089,13.106,209786,0
2015-01-26,13.12,13.152,13.038,13.112,168731,0
2015-01-27,13.012,13.144,12.967,13.106,283647,0
2015-01-28,13.175,13.175,12.98,12.98,197023,0
2015-01-29,13.021,13.021,12.901,12.973,292708,0
2015-01-30,12.933,13.044,12.868,12.868,162253,0
2015-02-02,12.951,13.07,12.868,13.053,199764,0
2015-02-03,13.127,13.292,13.089,13.257,289852,0
2015-02-04,13.18,13.354,13.18,13.226,136672,0
2015-02-05,13.292,13.371,13.234,13.371,195017,0
2015-02-06,13.336,13.396,13.25,13.275,166952,0
2015-02-09,13.257,13.306,13.127,13.167,195714,0
2015-02-10,13.257,13.354,13.175,13.314,155972,0
2015-02-11,13.3,13.345,13.257,13.292,251214,0
2015-02-12,13.326,13.436,13.326,13.396,231458,0
2015-02-13,13.443,13.491,13.413,13.477,139586,0
2015-02-17,13.491,13.491,13.428,13.477,235126,0
2015-02-18,13.479,13.528,13.423,13.502,164631,0
2015-02-19,13.469,13.573,13.437,13.554,145764,0
2015-02-20,13.546,13.643,13.493,13.602,166268,0
2015-02-23,13.609,13.651,13.582,13.626,234817,0
2015-02-24,13.667,13.783,13.651,13.765,171582,0
2015-02-25,13.722,13.844,13.704,13.822,126308,0
2015-02-26,13.822,13.844,13.765,13.812,173355,0
2015-02-27,13.844,13.895,13.812,13.83,275491,0
2015-03-02,13.844,13.927,13.835,13.88,237519,0
2015-03-03,13.861,13.913,13.844,13.913,142705,0
2015-03-04,13.88,13.927,13.812,13.861,144663,0
2015-03-05,13.919,13.961,13.88,13.943,156668,0
2015-03-06,13.895,13.913,13.756,13.798,114780,0
2015-03-09,13.812,13.852,13.783,13.805,170881,0
2015-03-10,13.722,13.722,13.602,13.617,171984,0
2015-03-11,13.609,13.674,13.554,13.582,162181,0
2015-03-12,13.674,13.765,13.674,13.748,135112,0
2015-03-13,13.697,13.741,13.567,13.68,158264,0
