Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,251.37,251.37,247.08,247.7,12595,0
2015-01-05,245.57,248.63,238.13,238.52,26092,0
2015-01-06,239.17,241.81,233.85,234.68,40511,0
2015-01-07,236.95,240.89,233.57,239.41,15602,0
2015-01-08,240.99,240.99,236.48,238.99,21091,0
2015-01-09,237.19,238.06,231.02,232.74,12599,0
2015-01-12,229.19,230.34,224.89,226.64,19454,0
2015-01-13,230.33,232.11,224.99,226.38,17308,0
2015-01-14,223.39,224.56,221.62,223.51,14315,0
2015-01-15,222.59,224.31,219.5,220.67,15050,0
2015-01-16,219.81,225.16,218.98,222.69,14007,0
2015-01-20,225.03,225.03,222.76,223.15,17407,0
2015-01-21,223.36,224.13,220.8,222.81,23252,0
2015-01-22,222.71,234.54,222.71,233.02,41899,0
2015-01-23,233.27,235.06,230.4,232.56,15887,0
2015-01-26,234.03,236.58,229.09,234.1,23168,0
2015-01-27,221.83,231.92,221.83,229.26,8332,0
2015-01-28,236.14,242.11,234.81,236.26,91416,0
2015-01-29,236.11,241.66,236.11,241.64,37947,0
2015-01-30,238.93,245.58,238.93,241.17,277286,0
2015-02-02,242.11,244.46,235.09,241.96,47978,0
2015-02-03,242.15,244.98,240.93,242.35,48627,0
2015-02-04,242.11,244.76,239.65,242.12,24050,0
2015-02-05,242.16,249.35,242.11,248.8,25662,0
2015-02-06,249.45,254.3,249.45,251.99,31135,0
2015-02-09,251.2,252.18,246.55,247.59,16005,0
2015-02-10,251.25,251.25,247.56,248.28,11506,0
2015-02-11,247.46,250.0,243.1,246.78,14450,0
2015-02-12,246.8,251.72,246.8,250.79,22605,0
2015-02-13,251.49,253.46,250.05,251.98,28603,0
2015-02-17,251.98,251.98,249.24,249.59,11807,0
2015-02-18,249.9,251.53,249.63,250.51,17562,0
2015-02-19,250.52,252.66,250.4,252.61,34375,0
2015-02-20,253.39,253.39,249.65,250.84,13400,0
2015-02-23,247.36,249.56,246.77,249.43,9531,0
2015-02-24,247.36,251.49,247.36,250.79,9907,0
2015-02-25,249.06,251.49,247.03,247.26,5709,0
2015-02-26,245.49,251.49,245.08,251.49,29276,0
2015-02-27,251.78,252.07,247.05,249.28,16372,0
2015-03-02,249.76,251.95,247.06,249.9,26916,0
2015-03-03,248.72,250.82,246.39,246.92,27929,0
2015-03-04,246.31,248.32,245.07,247.59,13156,0
2015-03-05,249.47,249.47,245.69,247.59,21655,0
2015-03-06,246.8,248.37,245.59,248.11,55556,0
2015-03-09,247.45,247.45,245.48,247.06,22059,0
2015-03-10,245.63,245.65,242.44,242.55,23275,0
2015-03-11,242.6,244.9,240.72,243.56,13056,0
2015-03-12,241.88,249.11,241.67,248.43,58721,0
2015-03-13,248.59,249.21,245.44,248.59,16777,0
2015-03-16,249.3,255.17,248.84,253.27,39722,0
2015-03-17,253.27,255.71,251.38,255.44,21832,0
2015-03-18,255.57,257.26,253.45,256.19,24157,0
2015-03-19,252.76,254.83,249.2,251.64,15464,0
2015-03-20,253.54,261.26,250.32,261.16,178794,0
2015-03-23,259.63,262.14,257.33,258.45,48312,0
2015-03-24,259.65,260.21,255.35,256.3,22438,0
2015-03-25,258.95,258.95,250.54,250.86,20314,0
