Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,34.279,34.436,33.877,34.367,2686712,0
2015-01-05,34.191,34.255,33.325,33.449,3496983,0
2015-01-06,33.597,33.983,33.43,33.624,4195428,0
2015-01-07,33.685,34.15,33.481,33.905,2708228,0
2015-01-08,34.034,34.341,33.929,34.211,2411652,0
2015-01-09,34.261,34.348,33.789,34.168,3633807,0
2015-01-12,34.158,34.348,33.51,33.72,3508575,0
2015-01-13,33.316,34.357,33.254,33.868,4253867,0
2015-01-14,33.789,34.727,33.632,34.677,5045367,0
2015-01-15,34.843,35.307,34.7,35.009,6117832,0
2015-01-16,35.043,35.945,34.903,35.876,4318371,0
2015-01-20,35.929,35.945,35.437,35.911,3036362,0
2015-01-21,35.788,36.366,35.56,36.209,2964755,0
2015-01-22,36.349,36.542,35.596,35.842,2817173,0
2015-01-23,35.938,36.42,35.814,36.149,2089749,0
2015-01-26,36.051,36.333,35.866,36.254,1968952,0
2015-01-27,36.175,36.464,36.042,36.061,1996353,0
2015-01-28,36.103,36.43,35.631,35.718,2891204,0
2015-01-29,35.727,36.444,35.508,36.27,3640983,0
2015-01-30,36.061,36.2,35.333,35.358,3586492,0
2015-02-02,35.403,35.631,34.972,35.377,3360959,0
2015-02-03,35.289,35.543,35.009,35.455,3077215,0
2015-02-04,35.357,35.764,35.189,35.525,5407493,0
2015-02-05,35.677,36.473,35.411,36.296,4336613,0
2015-02-06,36.1,36.188,34.277,34.446,5218222,0
2015-02-09,34.446,34.446,33.412,33.57,3646572,0
2015-02-10,33.58,34.259,33.449,34.165,2881413,0
2015-02-11,33.907,33.941,33.146,33.217,3246718,0
2015-02-12,33.253,33.333,32.783,32.881,3758616,0
2015-02-13,32.773,33.102,32.494,32.933,4714611,0
2015-02-17,32.828,33.296,32.395,32.67,6240044,0
2015-02-18,31.98,32.059,30.677,31.943,12462987,0
2015-02-19,32.165,32.245,31.854,32.05,3712837,0
2015-02-20,32.013,32.084,31.466,31.715,5771409,0
2015-02-23,31.811,31.98,31.466,31.492,4923575,0
2015-02-24,31.528,32.093,31.475,31.908,4406674,0
2015-02-25,31.874,32.349,31.643,31.715,6249529,0
2015-02-26,31.844,31.883,31.456,31.501,3616607,0
2015-02-27,31.475,31.492,30.901,30.943,5609345,0
2015-03-02,31.138,31.138,30.227,30.333,3814556,0
