Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,41.03,41.61,39.8,39.92,1058146,0
2015-01-05,39.43,40.87,39.18,40.45,1319234,0
2015-01-06,40.35,40.61,38.92,40.32,937074,0
2015-01-07,40.57,42.84,40.002,42.39,1664145,0
2015-01-08,42.57,43.75,41.8,43.63,2235073,0
2015-01-09,36.98,37.67,34.87,35.18,10064500,0
2015-01-12,34.94,35.16,34.38,34.43,2204504,0
2015-01-13,34.74,34.93,32.55,33.2,2726705,0
2015-01-14,32.12,34.59,32.01,34.55,2274825,0
2015-01-15,34.67,34.86,32.97,33.32,1258580,0
2015-01-16,33.2,34.18,32.92,33.98,1026625,0
2015-01-20,33.976,34.11,32.75,33.25,1499498,0
2015-01-21,33.27,33.73,32.77,32.8,1181816,0
2015-01-22,33.06,33.67,32.74,33.5,1056117,0
2015-01-23,33.58,34.35,33.44,34.14,1206303,0
2015-01-26,34.07,34.75,34.0,34.4,899502,0
2015-01-27,34.06,34.82,33.96,34.42,883611,0
2015-01-28,34.56,34.7,33.745,33.93,850668,0
2015-01-29,33.97,34.44,33.62,34.27,592000,0
2015-01-30,34.01,34.39,33.14,33.32,912298,0
2015-02-02,33.35,34.06,32.64,33.7,1252398,0
2015-02-03,33.61,34.16,33.27,33.95,703614,0
2015-02-04,33.64,34.06,33.53,33.79,621479,0
2015-02-05,33.99,34.106,33.69,33.9,557629,0
2015-02-06,34.0,34.12,33.46,33.78,627873,0
2015-02-09,33.75,34.25,33.3,33.41,659383,0
2015-02-10,33.46,34.05,33.38,33.795,494123,0
2015-02-11,33.79,34.2,32.29,33.23,1657581,0
2015-02-12,33.36,33.55,32.65,32.9,722510,0
2015-02-13,32.88,33.312,32.34,33.01,769960,0
2015-02-17,32.99,33.17,31.93,32.96,749659,0
2015-02-18,32.86,33.13,32.39,32.72,371147,0
2015-02-19,32.7,32.96,32.17,32.2,483080,0
2015-02-20,32.29,32.51,32.01,32.22,437178,0
2015-02-23,32.47,32.53,31.71,31.85,662274,0
2015-02-24,31.89,32.44,31.8,32.09,686431,0
2015-02-25,32.2,32.75,32.2,32.4,926898,0
2015-02-26,32.42,32.64,31.977,32.1,535818,0
2015-02-27,32.08,32.28,31.56,31.735,839496,0
2015-03-02,31.76,31.94,31.46,31.75,637000,0
2015-03-03,31.55,31.78,31.28,31.41,430700,0
2015-03-04,31.4,31.42,30.93,30.96,478500,0
2015-03-05,30.95,31.04,29.87,29.91,1043000,0
2015-03-06,29.75,30.05,29.0,29.1,1368100,0
2015-03-09,29.24,29.44,28.84,28.88,1139900,0
2015-03-10,28.65,28.92,28.51,28.58,1849000,0
2015-03-11,29.21,30.28,28.83,28.98,2854400,0
2015-03-12,29.56,30.85,29.18,30.69,3354000,0
2015-03-13,30.89,31.2,30.33,31.09,1283400,0
2015-03-16,31.17,31.37,30.33,30.59,1077900,0
2015-03-17,30.46,30.85,30.3,30.65,1169600,0
2015-03-18,30.61,30.69,30.14,30.42,1247500,0
2015-03-19,30.21,31.61,30.21,31.37,1284200,0
2015-03-20,31.58,32.37,31.28,31.86,1575800,0
2015-03-23,32.01,33.19,31.69,33.17,1572800,0
2015-03-24,33.6,33.61,32.57,32.69,1697500,0
2015-03-25,32.92,33.08,31.82,32.22,2273000,0
2015-03-26,35.18,36.36,34.11,35.55,9128000,0
2015-03-27,35.37,35.79,34.54,35.24,1645800,0
2015-03-30,35.4,35.81,35.29,35.49,1077200,0
2015-03-31,35.39,35.86,35.2,35.57,767300,0
2015-04-01,35.55,36.75,35.4,36.3,1752700,0
2015-04-02,36.03,36.46,35.7,35.91,1067800,0
2015-04-06,35.41,37.43,35.41,36.65,1387000,0
2015-04-07,36.64,36.91,36.36,36.44,710117,0
2015-04-08,36.44,36.99,36.44,36.95,768800,0
2015-04-09,36.93,37.01,36.29,36.92,698756,0
2015-04-10,37.07,37.07,36.25,36.28,528700,0
2015-04-13,36.32,36.71,36.01,36.16,747300,0
2015-04-14,36.19,36.42,35.21,36.31,1063700,0
2015-04-15,36.19,36.51,35.7,36.3,799765,0
2015-04-16,36.15,36.43,35.58,36.28,701235,0
