Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,55.062,55.062,53.97,54.954,1037917,0
2015-01-05,54.539,54.626,53.449,53.75,1093448,0
2015-01-06,53.865,54.935,53.605,54.098,1493691,0
2015-01-07,54.453,54.723,54.0,54.503,766781,0
2015-01-08,54.877,55.882,54.792,55.853,1198736,0
2015-01-09,56.121,56.248,55.312,55.506,1012421,0
2015-01-12,56.422,57.337,55.225,57.106,2037662,0
2015-01-13,57.367,57.966,56.354,57.328,1834939,0
2015-01-14,56.49,56.885,55.765,56.837,1185524,0
2015-01-15,57.039,57.308,56.072,56.072,1389729,0
2015-01-16,56.062,56.324,55.486,56.23,1219055,0
2015-01-20,56.151,56.518,55.38,55.853,630324,0
2015-01-21,55.658,56.46,55.506,56.314,695541,0
2015-01-22,56.248,57.425,56.248,57.289,721524,0
2015-01-23,57.337,57.337,55.805,55.873,630420,0
2015-01-26,55.775,56.442,55.456,56.171,666784,0
2015-01-27,55.361,56.691,55.272,56.324,732598,0
2015-01-28,56.748,56.748,55.024,55.129,563633,0
2015-01-29,55.282,55.658,54.559,55.081,862893,0
2015-01-30,54.569,56.062,54.416,55.466,1092807,0
2015-02-02,55.873,55.988,54.925,55.785,800095,0
2015-02-03,55.95,57.531,55.911,57.357,1661634,0
2015-02-04,57.204,57.627,56.402,56.798,1339462,0
2015-02-05,55.081,60.722,53.779,59.865,3978971,0
2015-02-06,59.664,60.232,58.583,59.537,1780896,0
2015-02-09,59.219,60.03,59.219,59.479,1214780,0
2015-02-10,59.412,59.626,58.92,59.382,722534,0
2015-02-11,59.199,59.914,59.035,59.711,921116,0
2015-02-12,60.114,61.205,59.875,61.002,1259508,0
2015-02-13,61.002,61.543,60.937,61.428,1136672,0
2015-02-17,61.07,62.277,60.869,62.152,1457217,0
2015-02-18,62.094,62.333,61.621,61.763,1334091,0
2015-02-19,61.273,61.716,61.07,61.475,992061,0
2015-02-20,61.418,61.753,60.985,61.744,661349,0
2015-02-23,61.563,61.69,61.302,61.485,598812,0
2015-02-24,61.553,61.996,61.321,61.582,847425,0
2015-02-25,61.716,62.162,61.351,61.987,727566,0
2015-02-26,61.813,62.006,61.139,61.371,761329,0
2015-02-27,61.371,61.466,61.002,61.168,699226,0
2015-03-02,61.253,62.316,60.714,62.307,602303,0
2015-03-03,61.681,62.43,61.513,61.736,481739,0
2015-03-04,61.456,61.456,60.81,61.022,660563,0
2015-03-05,61.041,61.051,59.855,60.124,567262,0
2015-03-06,59.654,59.796,58.794,59.045,1169565,0
2015-03-09,59.094,59.626,58.823,59.141,1086839,0
2015-03-10,58.554,58.862,57.713,57.821,1301948,0
2015-03-11,57.821,58.301,57.656,58.09,590486,0
2015-03-12,58.319,58.505,57.907,58.476,673832,0
2015-03-13,58.168,58.458,57.762,58.119,920247,0
2015-03-16,58.07,58.301,57.531,57.966,984728,0
2015-03-17,57.57,58.109,57.058,57.251,1063307,0
2015-03-18,56.943,57.531,56.062,57.106,1373271,0
2015-03-19,56.855,57.184,56.566,56.865,947201,0
2015-03-20,57.164,57.627,56.622,57.521,1229175,0
2015-03-23,57.588,58.225,57.328,57.694,945335,0
2015-03-24,57.579,57.579,56.818,56.943,887594,0
2015-03-25,56.961,57.068,55.911,55.911,865304,0
2015-03-26,55.853,56.276,55.564,56.102,1126748,0
2015-03-27,55.739,56.171,55.044,55.16,1343359,0
2015-03-30,55.374,56.021,55.255,55.915,1000439,0
2015-03-31,55.719,55.925,55.236,55.382,1538675,0
2015-04-01,55.44,55.519,54.569,55.16,1236643,0
2015-04-02,54.917,55.236,54.841,54.861,686083,0
2015-04-06,54.696,55.479,54.696,55.305,1578291,0
2015-04-07,55.344,55.867,55.315,55.391,764589,0
2015-04-08,55.624,55.818,55.275,55.44,837110,0
2015-04-09,55.529,55.586,55.111,55.489,1748856,0
2015-04-10,55.681,56.476,55.44,56.476,2659772,0
2015-04-13,56.32,57.366,56.176,56.795,947823,0
2015-04-14,56.388,56.872,56.057,56.61,1279647,0
2015-04-15,56.959,57.936,56.688,57.722,1313482,0
2015-04-16,57.559,57.646,57.142,57.249,913256,0
2015-04-17,56.648,56.95,56.067,56.126,1039925,0
2015-04-20,56.196,56.62,56.011,56.206,849934,0
2015-04-21,56.206,56.563,55.539,56.057,1005147,0
2015-04-22,56.067,56.235,55.818,56.215,780585,0
2015-04-23,56.252,56.862,56.087,56.688,736217,0
2015-04-24,56.737,57.007,56.582,56.658,793010,0
2015-04-27,56.882,57.056,56.543,56.932,1814287,0
2015-04-28,56.987,57.258,56.553,57.172,1070927,0
2015-04-29,56.902,58.218,56.668,57.974,846928,0
2015-04-30,57.587,58.043,57.142,57.376,669026,0
2015-05-01,57.646,58.41,57.607,58.266,866364,0
2015-05-04,58.266,58.855,58.256,58.4,696110,0
2015-05-05,58.585,58.933,57.376,57.405,506938,0
2015-05-06,57.722,57.897,57.037,57.559,465232,0
2015-05-07,57.366,57.713,56.978,57.51,541061,0
2015-05-08,58.188,59.117,58.043,58.963,1565886,0
