Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,46.294,48.003,45.929,47.111,778064,0
2015-01-05,47.696,50.103,47.512,49.625,1215706,0
2015-01-06,49.844,51.123,49.547,50.337,1309631,0
2015-01-07,49.367,50.72,49.107,49.434,932681,0
2015-01-08,49.442,50.153,48.129,48.549,685816,0
2015-01-09,48.935,50.123,48.772,50.012,837192,0
2015-01-12,50.508,52.458,50.366,51.94,1244863,0
2015-01-13,52.59,52.717,49.165,49.51,1286320,0
2015-01-14,50.143,50.548,47.944,48.636,1124496,0
2015-01-15,50.153,51.881,48.866,51.354,2240550,0
2015-01-16,52.092,53.343,51.66,52.774,1686081,0
2015-01-20,53.293,55.291,52.707,54.751,1290301,0
2015-01-21,55.549,55.637,52.332,53.514,1407173,0
2015-01-22,53.734,54.578,53.093,53.176,882064,0
2015-01-23,52.755,52.918,51.611,52.429,897802,0
2015-01-26,51.748,53.694,51.459,53.648,874362,0
2015-01-27,54.329,56.326,54.195,56.173,1370100,0
2015-01-28,55.674,56.279,53.195,53.685,1107752,0
2015-01-29,52.19,53.313,50.815,52.439,1056484,0
2015-01-30,52.536,55.453,52.2,55.301,1042947,0
2015-02-02,54.377,56.491,54.368,55.692,1124535,0
2015-02-03,54.945,55.105,53.333,53.984,1010964,0
2015-02-04,54.311,55.914,53.849,55.079,825627,0
2015-02-05,54.798,55.646,54.185,55.011,675616,0
2015-02-06,53.093,53.113,51.631,51.93,954236,0
2015-02-09,52.774,53.053,51.507,52.247,791085,0
2015-02-10,51.363,51.507,50.24,50.24,1495496,0
2015-02-11,50.26,50.587,48.789,49.557,914511,0
2015-02-12,50.596,50.787,49.674,50.22,784103,0
2015-02-13,50.998,51.71,50.103,50.23,506369,0
2015-02-17,49.442,49.684,47.925,48.148,964845,0
2015-02-18,48.129,50.499,47.983,50.182,1426657,0
2015-02-19,50.021,50.153,48.3,48.51,994502,0
2015-02-20,48.896,49.529,48.252,48.464,806670,0
2015-02-23,48.261,49.625,48.099,49.587,758992,0
2015-02-24,49.107,49.963,48.665,49.327,615649,0
2015-02-25,49.567,50.469,49.48,49.963,508817,0
2015-02-26,50.489,50.97,50.327,50.806,428158,0
2015-02-27,51.084,51.556,50.42,50.644,574526,0
2015-03-02,50.605,51.325,49.807,50.298,634338,0
2015-03-03,50.653,51.469,49.387,49.674,584652,0
2015-03-04,49.233,49.777,48.437,48.953,523927,0
2015-03-05,49.241,50.182,48.695,48.993,528302,0
2015-03-06,47.915,48.407,46.523,46.89,1221804,0
2015-03-09,47.291,47.531,45.756,45.909,610341,0
2015-03-10,45.775,46.903,44.424,44.975,1056368,0
2015-03-11,44.821,47.211,44.282,46.855,1172712,0
2015-03-12,47.258,47.445,45.389,45.553,1114315,0
2015-03-13,45.824,46.141,45.013,45.765,825753,0
2015-03-16,45.715,46.556,45.314,45.919,615504,0
2015-03-17,45.323,46.787,45.128,46.392,912157,0
2015-03-18,45.909,48.32,45.196,47.635,1194392,0
2015-03-19,46.931,48.012,46.499,47.454,738625,0
2015-03-20,47.953,49.447,47.943,49.43,939021,0
2015-03-23,49.631,50.092,48.869,50.019,928026,0
2015-03-24,49.841,50.036,48.908,48.986,675562,0
2015-03-25,49.362,49.613,48.252,48.31,628882,0
2015-03-26,49.342,50.036,47.183,47.81,741116,0
2015-03-27,47.336,47.425,46.093,46.258,876268,0
2015-03-30,45.669,46.633,45.417,46.189,594447,0
2015-03-31,46.102,46.875,45.9,46.797,642976,0
2015-04-01,47.23,48.157,47.136,48.012,1140041,0
2015-04-02,47.848,48.204,46.913,47.839,736344,0
2015-04-06,49.729,50.01,49.063,49.535,741942,0
2015-04-07,49.265,49.265,47.858,48.079,540175,0
2015-04-08,48.204,48.204,46.949,47.366,611770,0
2015-04-09,46.826,47.327,46.613,47.268,554460,0
2015-04-10,48.109,48.408,47.454,47.848,437407,0
2015-04-13,47.848,48.059,47.086,47.336,434398,0
2015-04-14,47.336,47.625,46.769,46.959,527338,0
2015-04-15,47.425,47.625,46.642,47.23,631106,0
2015-04-16,47.519,47.858,46.594,46.959,843835,0
2015-04-17,47.356,47.894,47.193,47.405,683858,0
2015-04-20,47.258,48.59,46.652,48.252,790121,0
2015-04-21,48.252,49.981,48.012,49.322,484373,0
2015-04-22,49.082,49.197,47.297,47.635,1037577,0
2015-04-23,47.781,48.948,47.445,48.502,458049,0
2015-04-24,48.349,48.898,47.327,47.473,438961,0
2015-04-27,47.972,49.382,47.684,47.885,753458,0
2015-04-28,48.157,49.613,47.992,49.111,727631,0
2015-04-29,49.246,49.794,48.783,49.563,610213,0
2015-04-30,48.841,50.073,48.447,49.971,806771,0
2015-05-01,50.914,51.675,50.383,51.453,1085585,0
2015-05-04,52.089,52.235,51.291,51.936,891724,0
2015-05-05,52.545,52.589,51.847,52.31,1135683,0
2015-05-06,52.745,52.995,50.528,50.952,1114948,0
2015-05-07,50.856,52.698,50.74,51.839,1688262,0
2015-05-08,51.433,51.897,50.807,51.387,722754,0
2015-05-11,51.395,51.82,50.856,51.348,592060,0
2015-05-12,51.481,52.177,51.443,51.877,577597,0
2015-05-13,52.437,53.178,52.32,52.668,781878,0
2015-05-14,53.305,54.027,52.638,52.824,766008,0
2015-05-15,52.32,53.054,52.138,52.427,843725,0
2015-05-18,52.417,52.889,52.168,52.545,375868,0
2015-05-19,52.099,52.148,51.039,51.319,801926,0
2015-05-20,51.521,52.545,51.348,51.974,445809,0
2015-05-21,51.936,51.936,50.758,50.836,503067,0
2015-05-22,50.74,51.251,50.297,50.73,333786,0
2015-05-26,49.941,49.941,49.178,49.525,622979,0
2015-05-27,49.447,49.622,48.841,49.603,411166,0
2015-05-28,49.447,50.019,49.034,49.951,662328,0
2015-05-29,49.69,50.355,49.573,49.631,494662,0
2015-06-01,50.073,50.201,49.073,49.256,461243,0
2015-06-02,49.739,50.316,49.466,49.911,464120,0
2015-06-03,49.506,50.073,48.956,49.332,434398,0
2015-06-04,48.85,49.207,48.484,48.677,773062,0
2015-06-05,47.972,48.29,47.317,48.175,943689,0
2015-06-08,48.511,48.511,47.077,47.83,648799,0
2015-06-09,48.196,48.196,46.52,46.792,875514,0
2015-06-10,47.894,48.09,46.416,46.764,1319644,0
2015-06-11,46.484,46.774,45.998,46.647,560776,0
2015-06-12,46.454,46.647,46.058,46.173,454354,0
2015-06-15,46.066,47.152,45.893,46.802,743347,0
2015-06-16,46.618,47.035,46.271,46.861,749753,0
2015-06-17,46.686,48.216,46.51,48.177,776917,0
2015-06-18,49.0,49.019,48.052,48.391,682926,0
2015-06-19,47.866,48.758,46.89,47.394,948784,0
2015-06-22,46.705,47.208,46.53,46.909,476458,0
2015-06-23,46.55,47.462,46.474,46.975,646219,0
2015-06-24,47.654,48.003,47.152,47.374,591415,0
2015-06-25,47.472,47.566,46.618,47.093,544421,0
2015-06-26,46.822,47.413,46.54,47.074,578090,0
2015-06-29,47.171,47.384,46.144,46.502,544625,0
2015-06-30,46.192,46.955,45.893,46.134,786548,0
2015-07-01,46.058,46.376,45.146,45.369,489368,0
2015-07-02,45.533,46.163,45.359,45.979,708334,0
2015-07-06,46.058,47.143,45.873,46.53,626223,0
2015-07-07,45.553,45.553,43.946,45.136,1265458,0
2015-07-08,45.466,45.593,44.459,44.905,613001,0
2015-07-09,45.514,45.514,44.324,44.585,607940,0
2015-07-10,44.633,44.633,43.955,44.256,805527,0
2015-07-13,43.645,44.419,43.531,44.054,789310,0
2015-07-14,44.064,44.39,43.665,43.858,569501,0
2015-07-15,43.365,43.365,42.804,43.016,829228,0
2015-07-16,42.919,43.135,41.932,43.105,1103713,0
2015-07-17,42.785,42.911,41.399,41.593,1374218,0
2015-07-20,40.608,40.627,38.233,38.38,2734076,0
2015-07-21,39.084,40.015,38.775,39.144,1597727,0
2015-07-22,38.35,39.619,37.827,39.029,1314932,0
2015-07-23,39.28,39.328,37.69,38.127,1633877,0
2015-07-24,37.536,39.512,36.985,39.492,1513191,0
2015-07-27,39.25,40.578,38.804,39.434,2018309,0
2015-07-28,39.986,40.142,38.921,39.561,1118895,0
2015-07-29,39.628,40.043,38.642,39.609,1253063,0
2015-07-30,39.065,39.462,38.214,38.97,1132736,0
2015-07-31,39.647,39.753,38.853,39.25,992990,0
2015-08-03,38.97,39.211,38.061,38.37,518317,0
2015-08-04,38.689,39.472,38.484,38.756,1163720,0
2015-08-05,39.084,39.3,38.021,38.185,1087599,0
2015-08-06,38.467,39.656,37.913,39.019,1293724,0
2015-08-07,38.941,40.499,38.775,39.337,1092764,0
2015-08-10,39.763,41.912,38.921,41.69,1482771,0
2015-08-11,42.175,42.881,40.314,42.766,1915986,0
2015-08-12,43.463,45.523,43.316,45.476,2493112,0
2015-08-13,44.614,45.02,42.851,43.18,1649784,0
