Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,20.659,20.916,20.659,20.688,1555,0
2015-01-05,21.039,21.039,20.963,20.963,575,0
2015-01-06,21.066,21.085,20.585,20.585,2791,0
2015-01-07,21.104,21.104,20.641,20.678,5754,0
2015-01-08,21.276,21.294,20.585,21.123,3003,0
2015-01-09,20.981,21.195,20.887,21.195,1270,0
2015-01-12,21.701,21.711,21.464,21.464,5647,0
2015-01-13,21.739,21.739,21.502,21.502,3056,0
2015-01-14,21.427,21.87,20.887,21.465,6357,0
2015-01-15,21.716,21.716,21.706,21.706,1456,0
2015-01-16,21.706,21.899,21.561,21.899,1040,0
2015-01-20,20.965,20.965,20.6,20.656,1931,0
2015-01-21,20.502,20.53,20.502,20.512,1527,0
2015-01-22,20.867,20.867,20.502,20.53,2597,0
2015-01-23,20.54,20.54,19.934,20.002,5044,0
2015-01-26,20.271,20.271,19.733,19.896,1990,0
2015-01-27,19.934,20.02,19.934,20.02,1703,0
2015-01-28,20.455,20.493,20.127,20.271,3274,0
2015-01-29,20.108,20.108,19.752,19.752,1505,0
2015-01-30,19.704,19.941,19.704,19.829,1916,0
2015-02-02,19.974,20.05,19.974,20.05,734,0
2015-02-03,21.282,21.973,21.148,21.561,2696,0
2015-02-04,21.945,21.945,21.58,21.753,1869,0
2015-02-06,22.226,22.226,21.543,21.571,1228,0
2015-02-09,21.86,21.985,21.86,21.985,874,0
2015-02-10,22.39,22.495,22.38,22.495,1583,0
2015-02-11,22.236,22.447,22.005,22.052,1230,0
2015-02-12,21.86,21.917,21.86,21.917,768,0
2015-02-13,21.955,21.955,21.927,21.927,730,0
2015-02-17,22.812,22.812,22.256,22.572,865,0
2015-02-18,22.9,22.963,22.562,22.562,1228,0
2015-02-19,23.274,23.274,22.861,22.861,1008,0
2015-02-20,22.582,22.841,22.582,22.812,421,0
2015-02-23,22.543,22.715,22.177,22.186,979,0
2015-02-25,23.294,23.294,22.948,22.991,1605,0
2015-02-26,23.735,23.735,23.389,23.407,1396,0
2015-03-02,23.669,23.708,23.66,23.669,622,0
2015-03-04,24.372,24.372,24.064,24.121,727,0
2015-03-05,24.545,24.545,24.161,24.161,1247,0
2015-03-06,24.161,24.161,23.794,23.794,520,0
2015-03-09,23.987,24.286,23.592,23.823,935,0
2015-03-10,24.046,24.046,23.449,23.449,415,0
2015-03-12,24.497,24.497,24.497,24.497,415,0
2015-03-13,24.738,24.738,23.602,23.602,415,0
2015-03-16,23.592,24.603,23.592,24.603,2390,0
2015-03-17,25.797,25.797,25.797,25.797,727,0
2015-03-18,25.797,25.797,25.585,25.585,1973,0
2015-03-19,24.641,24.641,24.411,24.411,1350,0
2015-03-24,23.497,23.505,23.497,23.505,622,0
2015-03-25,23.669,23.669,23.669,23.669,208,0
2015-03-26,24.171,24.171,24.171,24.171,312,0
2015-03-27,24.151,24.352,23.968,24.064,2077,0
2015-03-31,24.641,26.932,24.641,26.932,1226,0
2015-04-01,25.18,25.287,25.18,25.287,415,0
2015-04-02,25.874,25.874,25.325,25.411,1247,0
2015-04-06,25.999,26.451,25.999,26.038,1247,0
2015-04-07,26.277,26.403,26.277,26.277,3180,0
2015-04-08,25.903,26.277,25.903,25.903,622,0
2015-04-09,25.922,25.989,25.922,25.989,598,0
2015-04-10,25.728,25.844,25.728,25.844,520,0
2015-04-13,26.134,26.134,25.344,25.363,935,0
2015-04-14,25.219,25.219,25.219,25.219,312,0
2015-04-15,26.347,26.347,26.347,26.347,153,0
2015-04-16,25.614,25.614,25.508,25.508,451,0
2015-04-20,25.47,25.47,25.47,25.47,105,0
2015-04-21,25.728,25.728,25.555,25.555,1142,0
2015-04-23,25.555,25.555,25.555,25.555,105,0
2015-04-24,25.7,25.797,25.7,25.797,449,0
2015-04-27,25.959,26.952,25.489,26.23,2805,0
2015-04-28,26.904,26.904,25.719,25.719,602,0
2015-04-29,25.778,25.797,25.738,25.738,312,0
2015-04-30,26.048,26.048,25.738,25.738,1869,0
2015-05-01,25.816,25.835,25.816,25.835,312,0
2015-05-04,26.124,26.471,26.124,26.124,622,0
2015-05-05,26.124,26.124,26.124,26.124,312,0
2015-05-06,26.134,26.776,26.134,26.776,2107,0
2015-05-07,25.932,26.498,25.738,26.182,1471,0
