Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,3.8,3.81,3.77,3.8,42752,0
2015-01-05,3.79,3.79,3.75,3.78,41825,0
2015-01-06,3.78,3.78,3.66,3.71,60257,0
2015-01-07,3.8,3.8,3.653,3.7,37814,0
2015-01-08,3.74,3.74,3.7,3.7,92272,0
2015-01-09,3.7,3.7,3.58,3.62,202494,0
2015-01-12,3.63,3.63,3.47,3.49,480868,0
2015-01-13,3.51,3.7,3.51,3.62,54906,0
2015-01-14,3.57,3.61,3.31,3.44,151151,0
2015-01-15,3.46,3.485,3.35,3.39,145989,0
2015-01-16,3.42,3.77,3.42,3.77,230371,0
2015-01-20,3.81,3.81,3.64,3.68,153490,0
2015-01-21,3.709,3.709,3.52,3.56,55779,0
2015-01-22,3.58,3.62,3.49,3.56,124566,0
2015-01-23,3.6799,3.89,3.55,3.87,188082,0
2015-01-26,3.89,3.9398,3.7603,3.81,41798,0
2015-01-27,3.77,3.77,3.682,3.7,62241,0
2015-01-28,3.7425,3.7425,3.5,3.53,111219,0
2015-01-29,3.56,3.585,3.5,3.54,118330,0
2015-01-30,3.5,3.57,3.42,3.43,53576,0
2015-02-02,3.47,3.56,3.41,3.54,72621,0
2015-02-03,3.58,3.688,3.54,3.57,27620,0
2015-02-04,3.57,3.63,3.46,3.49,45321,0
2015-02-05,3.55,3.61,3.54,3.57,94437,0
2015-02-06,3.59,3.672,3.55,3.56,80592,0
2015-02-09,3.55,3.63,3.42,3.44,64602,0
2015-02-10,3.48,3.62,3.46,3.51,89375,0
2015-02-11,3.49,3.59,3.47,3.48,41610,0
2015-02-12,3.57,3.57,3.46,3.5,37964,0
2015-02-13,3.52,3.568,3.47,3.47,53390,0
2015-02-17,3.48,3.5,3.4,3.41,63151,0
2015-02-18,3.4,3.445,3.4,3.42,56761,0
2015-02-19,3.42,3.62,3.4,3.55,177082,0
2015-02-20,3.55,3.57,3.44,3.45,95969,0
2015-02-23,3.42,3.46,3.34,3.39,149293,0
2015-02-24,3.42,3.53,3.4,3.49,135504,0
2015-02-25,3.49,3.5,3.41,3.42,58782,0
2015-02-26,3.39,3.45,3.37,3.37,58095,0
2015-02-27,3.39,3.39,3.32,3.32,54601,0
2015-03-02,3.34,3.38,3.3,3.3,76100,0
2015-03-03,3.35,3.35,3.27,3.28,63500,0
2015-03-04,3.29,3.32,3.28,3.28,51900,0
2015-03-05,3.3,3.46,3.3,3.37,59600,0
2015-03-06,3.32,3.42,3.3,3.31,48700,0
2015-03-09,3.33,3.37,3.32,3.35,35700,0
2015-03-10,3.34,3.39,3.32,3.32,58000,0
2015-03-11,3.35,3.51,3.35,3.47,75000,0
2015-03-12,3.52,3.55,3.48,3.55,100400,0
2015-03-13,3.55,3.58,3.5,3.56,30500,0
2015-03-16,3.6,3.6,3.5,3.54,31700,0
2015-03-17,3.5,3.54,3.39,3.43,37600,0
2015-03-18,3.45,3.47,3.41,3.42,39600,0
2015-03-19,3.43,3.58,3.4,3.57,44200,0
2015-03-20,3.57,3.65,3.57,3.63,79600,0
2015-03-23,3.64,3.74,3.45,3.47,155800,0
2015-03-24,3.46,3.59,3.4,3.44,113300,0
2015-03-25,3.48,3.48,3.35,3.35,95700,0
2015-03-26,3.37,3.41,3.34,3.39,79600,0
2015-03-27,3.41,3.87,3.38,3.72,177500,0
2015-03-30,3.66,3.82,3.66,3.75,48900,0
2015-03-31,3.77,3.77,3.55,3.63,81624,0
2015-04-01,3.64,3.65,3.49,3.57,66100,0
2015-04-02,3.54,3.65,3.5,3.55,67100,0
2015-04-06,3.54,3.62,3.5,3.51,51800,0
2015-04-07,3.52,3.525,3.5,3.5,43793,0
2015-04-08,3.56,3.56,3.5,3.55,49700,0
2015-04-09,3.54,3.55,3.46,3.47,51525,0
2015-04-10,3.51,3.51,3.4,3.42,131500,0
2015-04-13,3.42,3.49,3.36,3.4,139900,0
2015-04-14,3.43,3.47,3.37,3.46,55600,0
2015-04-15,3.49,3.62,3.46,3.6,109264,0
2015-04-16,3.58,3.66,3.54,3.56,66346,0
2015-04-17,3.55,3.59,3.47,3.49,66500,0
2015-04-20,3.53,3.61,3.5,3.61,55547,0
2015-04-21,3.61,3.69,3.58,3.58,58896,0
2015-04-22,3.61,3.61,3.52,3.54,58804,0
2015-04-23,3.54,3.6,3.5,3.56,95100,0
2015-04-24,3.59,3.629,3.53,3.57,57732,0
2015-04-27,3.56,3.61,3.53,3.53,105800,0
2015-04-28,3.51,3.7,3.51,3.62,90043,0
2015-04-29,3.63,3.69,3.6,3.6,46400,0
2015-04-30,3.58,3.62,3.56,3.6,74700,0
2015-05-01,3.59,3.63,3.57,3.61,91600,0
2015-05-04,3.6,3.65,3.58,3.6,65300,0
2015-05-05,3.6,3.65,3.56,3.6,107300,0
2015-05-06,3.6,3.73,3.54,3.57,158769,0
2015-05-07,3.57,3.66,3.53,3.61,63195,0
2015-05-08,3.64,3.64,3.55,3.62,70000,0
2015-05-11,3.64,3.64,3.54,3.56,63500,0
2015-05-12,3.55,3.55,3.51,3.53,74340,0
2015-05-13,3.52,3.55,3.51,3.52,73400,0
2015-05-14,3.57,3.57,3.51,3.57,60300,0
2015-05-15,3.55,3.68,3.51,3.52,65760,0
2015-05-18,3.51,3.539,3.5,3.52,81614,0
2015-05-19,3.52,3.56,3.5,3.53,119190,0
2015-05-20,3.56,3.56,3.5,3.54,44100,0
2015-05-21,3.55,3.55,3.49,3.5,70800,0
2015-05-22,3.51,3.52,3.48,3.51,79800,0
2015-05-26,3.48,3.55,3.46,3.46,239258,0
2015-05-27,3.46,3.49,3.43,3.47,65500,0
2015-05-28,3.57,3.57,3.469,3.49,44430,0
2015-05-29,3.51,3.53,3.44,3.52,65900,0
2015-06-01,3.5,3.56,3.47,3.5,48993,0
2015-06-02,3.47,3.57,3.47,3.5,52097,0
2015-06-03,3.5,3.52,3.47,3.5,102300,0
2015-06-04,3.47,3.5,3.46,3.49,48900,0
2015-06-05,3.51,3.55,3.48,3.52,180500,0
2015-06-08,3.49,3.52,3.46,3.5,156900,0
2015-06-09,3.49,3.62,3.48,3.55,115298,0
2015-06-10,3.59,3.62,3.55,3.6,144930,0
2015-06-11,3.63,3.63,3.5101,3.55,42698,0
2015-06-12,3.54,3.59,3.48,3.52,82900,0
2015-06-15,3.51,3.56,3.47,3.5,72500,0
2015-06-16,3.48,3.51,3.46,3.51,121300,0
2015-06-17,3.51,3.58,3.48,3.54,172800,0
2015-06-18,3.58,3.58,3.5,3.55,132400,0
2015-06-19,3.57,3.58,3.49,3.54,197400,0
2015-06-22,3.56,3.61,3.55,3.6,102400,0
2015-06-23,3.57,3.63,3.55,3.63,250452,0
2015-06-24,3.57,3.69,3.57,3.64,94100,0
2015-06-25,3.68,3.69,3.55,3.57,71100,0
2015-06-26,3.59,3.59,3.46,3.51,3982700,0
2015-06-29,3.53,3.57,3.45,3.46,228300,0
2015-06-30,3.51,3.53,3.43,3.47,137936,0
2015-07-01,3.52,3.52,3.46,3.46,135700,0
2015-07-02,3.45,3.46,3.39,3.45,181500,0
