Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.929,6.9976,6.929,6.929,1796,0
2015-01-05,6.9389,7.0075,6.8116,6.9095,15113,0
2015-01-06,6.8116,7.0856,6.704,6.7431,32577,0
2015-01-07,6.7919,6.9877,6.6551,6.7627,24283,0
2015-01-08,7.0172,7.0563,6.5181,6.5181,24306,0
2015-01-09,6.5571,6.6648,6.4594,6.5668,16187,0
2015-01-12,6.6255,6.6843,6.4398,6.606,28699,0
2015-01-13,6.606,6.6159,6.1852,6.3812,56166,0
2015-01-14,6.2732,6.3812,6.2337,6.3515,13492,0
2015-01-15,6.2239,6.3812,6.1455,6.1455,16178,0
2015-01-16,6.1455,6.3812,6.1455,6.2337,31612,0
2015-01-20,6.2337,6.3812,6.1945,6.2044,11727,0
2015-01-21,6.1455,6.3222,6.0864,6.3025,10178,0
2015-01-22,6.1553,6.2732,6.1553,6.1846,4373,0
2015-01-23,6.2632,6.2632,6.0964,6.1553,7647,0
2015-01-26,6.1356,6.1356,6.0864,6.0864,15811,0
2015-01-27,6.0864,6.3025,6.067,6.1846,23921,0
2015-01-28,6.4202,6.5479,6.1455,6.2534,30193,0
2015-01-29,6.2141,6.2827,6.116,6.1846,15152,0
2015-01-30,6.2534,6.2534,6.1062,6.116,9563,0
2015-02-02,6.1846,6.2239,5.9393,6.1846,19606,0
2015-02-03,6.3222,6.3812,6.1455,6.1846,24866,0
2015-02-04,6.2436,6.2632,6.1062,6.2632,3460,0
2015-02-05,6.1846,6.2827,6.1846,6.2732,11987,0
2015-02-06,6.2337,6.2827,6.2337,6.2534,13852,0
2015-02-09,6.2337,6.3123,6.2337,6.2827,4894,0
2015-02-10,6.2337,6.3812,6.2337,6.3123,18059,0
2015-02-11,6.3712,6.3712,6.1846,6.3222,11347,0
2015-02-12,6.3123,6.5086,6.2239,6.3515,14951,0
2015-02-13,6.4301,6.5185,6.175,6.3712,10967,0
2015-02-17,6.3812,6.3812,6.2239,6.3613,11347,0
2015-02-18,6.2436,6.2732,6.1846,6.2732,6580,0
2015-02-19,6.2044,6.3613,6.2044,6.3025,18975,0
2015-02-20,6.2827,6.2827,6.1945,6.2044,25089,0
2015-02-23,6.2632,6.3613,6.2044,6.3613,54364,0
2015-02-24,6.3812,6.4498,6.2926,6.3812,34677,0
2015-02-25,6.3515,6.6657,6.3515,6.44,24689,0
2015-02-26,6.44,6.6363,6.3025,6.3812,59980,0
2015-02-27,6.3123,6.3613,6.2239,6.3613,16125,0
2015-03-02,6.3613,6.5479,6.2827,6.3812,38911,0
2015-03-03,6.332,6.3812,6.332,6.332,12630,0
2015-03-04,6.332,6.3909,6.332,6.3812,25262,0
2015-03-05,6.3812,6.3812,6.2827,6.332,13954,0
2015-03-06,6.3222,6.4103,6.3222,6.3712,17317,0
2015-03-09,6.4498,6.4498,6.2926,6.2926,8557,0
2015-03-10,6.3712,6.3909,6.2827,6.3417,13652,0
2015-03-11,6.2827,6.3712,6.2827,6.332,9066,0
2015-03-12,6.3025,6.3025,6.2337,6.3025,3769,0
2015-03-13,6.2827,6.3222,6.2436,6.3222,10185,0
2015-03-16,6.2436,6.332,6.1846,6.1846,14974,0
2015-03-17,6.2436,6.2436,6.0864,6.1062,17113,0
2015-03-18,6.116,6.1846,6.0864,6.1257,10593,0
2015-03-19,6.1553,6.2239,6.0864,6.165,30763,0
2015-03-20,6.1553,6.2436,6.0864,6.0864,28114,0
2015-03-23,6.1455,6.2337,6.1455,6.1945,19152,0
2015-03-24,6.165,6.3222,6.1553,6.2732,7845,0
2015-03-25,6.2337,6.2534,6.1846,6.2044,4583,0
