Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,4.41,4.69,4.34,4.68,248932,0
2015-01-05,4.7,4.94,4.55,4.91,431578,0
2015-01-06,4.88,5.15,4.81,5.09,420147,0
2015-01-07,5.03,5.23,4.92,4.98,387002,0
2015-01-08,4.93,5.16,4.75,4.89,380389,0
2015-01-09,4.85,5.01,4.67,5.01,486539,0
2015-01-12,4.92,5.18,4.88,5.13,401149,0
2015-01-13,5.25,5.25,4.75,4.85,416510,0
2015-01-14,4.8,4.89,4.51,4.61,398355,0
2015-01-15,4.79,4.96,4.74,4.79,401227,0
2015-01-16,4.8,4.89,4.68,4.75,517300,0
2015-01-20,4.83,5.14,4.77,5.13,581777,0
2015-01-21,5.11,5.2,4.63,4.8,809282,0
2015-01-22,4.8,4.9,4.68,4.73,440743,0
2015-01-23,4.7,4.72,4.52,4.55,193113,0
2015-01-26,4.48,4.7,4.43,4.7,285550,0
2015-01-27,4.82,5.02,4.79,4.96,294563,0
2015-01-28,5.01,5.01,4.67,4.74,426015,0
2015-01-29,4.6,4.71,4.44,4.61,344444,0
2015-01-30,4.62,4.92,4.6,4.83,211217,0
2015-02-02,4.78,5.0,4.68,4.93,172239,0
2015-02-03,4.82,4.94,4.73,4.78,226139,0
2015-02-04,4.79,4.92,4.75,4.81,200933,0
2015-02-05,4.84,4.91,4.78,4.88,162902,0
2015-02-06,4.78,4.83,4.68,4.69,145633,0
2015-02-09,4.69,4.8,4.67,4.73,87831,0
2015-02-10,4.71,4.74,4.63,4.67,93489,0
2015-02-11,4.66,4.67,4.42,4.46,365470,0
2015-02-12,4.52,4.66,4.47,4.53,139046,0
2015-02-13,4.67,4.69,4.49,4.56,229504,0
2015-02-17,4.49,4.5,4.26,4.33,280651,0
2015-02-18,4.3,4.54,4.29,4.53,213690,0
2015-02-19,4.55,4.56,4.3,4.33,208761,0
2015-02-20,4.34,4.48,4.2,4.21,353815,0
2015-02-23,4.17,4.31,4.15,4.23,156366,0
2015-02-24,4.19,4.35,4.17,4.29,109796,0
2015-02-25,4.32,4.45,4.3,4.39,120284,0
2015-02-26,4.41,4.43,4.26,4.31,355592,0
2015-02-27,4.34,4.51,4.33,4.5,178461,0
2015-03-02,4.5,4.52,4.27,4.31,148000,0
2015-03-03,4.36,4.48,4.27,4.38,114100,0
2015-03-04,4.41,4.41,4.19,4.19,126300,0
2015-03-05,4.19,4.25,4.14,4.18,65200,0
2015-03-06,4.05,4.06,3.82,3.91,347900,0
2015-03-09,3.93,3.94,3.63,3.72,382300,0
2015-03-10,3.7,3.8,3.53,3.58,311500,0
2015-03-11,3.64,3.83,3.49,3.8,205500,0
2015-03-12,3.85,3.9,3.66,3.7,262700,0
2015-03-13,3.74,3.85,3.66,3.71,145100,0
2015-03-16,3.78,3.82,3.57,3.77,671200,0
2015-03-17,3.76,3.81,3.63,3.72,507600,0
2015-03-18,3.71,3.84,3.64,3.84,302800,0
2015-03-19,3.75,3.85,3.73,3.84,226400,0
2015-03-20,3.84,4.1,3.76,3.76,2030300,0
2015-03-23,3.87,4.14,3.83,4.1,684000,0
2015-03-24,4.1,4.16,4.05,4.08,305600,0
2015-03-25,4.14,4.18,3.96,3.97,202500,0
2015-03-26,4.05,4.13,3.8,3.88,224300,0
2015-03-27,3.85,3.98,3.78,3.87,297600,0
2015-03-30,3.85,3.87,3.68,3.8,613200,0
2015-03-31,3.83,3.84,3.7,3.84,735171,0
2015-04-01,3.82,3.89,3.72,3.82,540900,0
2015-04-02,3.82,3.9,3.75,3.85,249000,0
2015-04-06,4.04,4.07,3.93,3.99,241700,0
2015-04-07,3.94,3.99,3.91,3.93,150638,0
2015-04-08,3.93,3.93,3.75,3.77,218900,0
2015-04-09,3.75,3.75,3.62,3.7,205018,0
2015-04-10,3.78,3.82,3.7,3.72,205500,0
2015-04-13,3.69,3.76,3.58,3.61,180300,0
2015-04-14,3.6,3.62,3.49,3.54,381400,0
2015-04-15,3.55,3.68,3.5,3.67,271974,0
2015-04-16,3.66,3.68,3.48,3.5,260216,0
2015-04-17,3.52,3.56,3.4,3.41,214100,0
2015-04-20,3.46,3.63,3.41,3.59,584543,0
2015-04-21,3.6,3.64,3.56,3.6,293485,0
2015-04-22,3.6,3.61,3.47,3.49,216554,0
2015-04-23,3.51,3.72,3.51,3.69,311300,0
2015-04-24,3.67,3.75,3.59,3.65,235300,0
2015-04-27,3.72,3.86,3.67,3.67,409000,0
2015-04-28,3.7,3.87,3.68,3.83,205500,0
2015-04-29,3.84,4.02,3.77,3.92,325700,0
2015-04-30,3.86,3.86,3.72,3.79,220600,0
2015-05-01,3.72,3.8,3.72,3.74,145500,0
2015-05-04,3.85,3.86,3.74,3.78,163300,0
2015-05-05,3.79,3.84,3.72,3.74,173300,0
2015-05-06,3.74,3.79,3.65,3.72,121318,0
2015-05-07,3.67,3.7,3.58,3.68,163974,0
2015-05-08,3.76,3.77,3.65,3.73,129600,0
2015-05-11,3.79,3.87,3.75,3.76,175700,0
2015-05-12,3.7,3.82,3.7,3.78,149052,0
2015-05-13,3.88,4.04,3.81,3.96,680600,0
2015-05-14,4.02,4.06,3.78,3.83,653000,0
2015-05-15,3.82,4.04,3.79,3.93,1161466,0
2015-05-18,4.0,4.0,3.9,3.9,103036,0
2015-05-19,3.83,3.94,3.78,3.86,207200,0
2015-05-20,3.86,3.95,3.83,3.85,177900,0
2015-05-21,3.84,3.84,3.77,3.78,93700,0
2015-05-22,3.77,3.89,3.76,3.87,236500,0
2015-05-26,3.77,3.77,3.66,3.69,443892,0
2015-05-27,3.7,3.76,3.66,3.74,148200,0
2015-05-28,3.74,3.79,3.7,3.75,215478,0
2015-05-29,3.75,3.86,3.75,3.81,105000,0
2015-06-01,3.83,3.83,3.71,3.71,109355,0
2015-06-02,3.71,3.93,3.71,3.86,377649,0
2015-06-03,3.87,3.89,3.77,3.78,341000,0
2015-06-04,3.78,3.78,3.67,3.68,316200,0
2015-06-05,3.64,3.7,3.6,3.63,302000,0
2015-06-08,3.68,3.69,3.56,3.67,243100,0
2015-06-09,3.69,3.75,3.61,3.68,310591,0
2015-06-10,3.79,3.8,3.66,3.74,467685,0
2015-06-11,3.7,3.81,3.68,3.78,346705,0
2015-06-12,3.75,3.77,3.65,3.66,190200,0
2015-06-15,3.65,3.79,3.61,3.71,196700,0
2015-06-16,3.68,3.98,3.65,3.93,1052100,0
2015-06-17,3.98,4.04,3.87,4.03,436100,0
2015-06-18,4.08,4.13,3.95,3.99,363100,0
2015-06-19,4.0,4.03,3.9,3.92,253400,0
2015-06-22,3.91,3.97,3.8,3.93,244000,0
2015-06-23,3.91,3.95,3.85,3.89,145195,0
2015-06-24,3.89,3.94,3.8,3.87,198900,0
2015-06-25,3.86,3.88,3.76,3.8,154700,0
2015-06-26,3.77,3.85,3.71,3.72,180300,0
2015-06-29,3.73,3.75,3.62,3.64,226400,0
2015-06-30,3.61,3.71,3.56,3.66,325672,0
2015-07-01,3.67,3.68,3.54,3.59,165200,0
2015-07-02,3.63,3.69,3.55,3.64,194800,0
2015-07-06,3.61,3.72,3.57,3.62,262100,0
2015-07-07,3.57,3.57,3.47,3.51,425800,0
2015-07-08,3.56,3.57,3.32,3.35,375100,0
2015-07-09,3.4,3.43,3.27,3.38,472100,0
2015-07-10,3.42,3.44,3.33,3.41,237300,0
2015-07-13,3.38,3.41,3.3,3.4,263500,0
2015-07-14,3.4,3.59,3.37,3.45,146197,0
2015-07-15,3.42,3.42,3.2,3.28,370789,0
