Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,48.294,48.746,48.02,48.302,2384489,0
2015-01-05,47.54,47.921,47.346,47.429,4569450,0
2015-01-06,47.692,47.856,47.201,47.31,3338706,0
2015-01-07,47.702,48.438,47.629,48.31,3518637,0
2015-01-08,48.66,49.18,48.551,49.099,4370696,0
2015-01-09,49.118,49.199,48.393,48.603,2239037,0
2015-01-12,48.466,48.74,48.139,48.257,2192371,0
2015-01-13,48.603,48.823,48.089,48.31,3240961,0
2015-01-14,48.046,48.568,47.934,48.502,4831331,0
2015-01-15,48.74,49.421,48.403,48.989,4944820,0
2015-01-16,48.87,49.08,48.603,48.952,4662173,0
2015-01-20,49.136,49.999,48.779,49.861,5685644,0
2015-01-21,49.584,49.932,49.383,49.566,3890124,0
2015-01-22,49.87,50.227,49.403,50.207,3258090,0
2015-01-23,50.118,50.154,49.712,50.009,3273690,0
2015-01-26,49.95,50.383,49.751,50.365,4056406,0
2015-01-27,49.821,50.841,49.742,50.51,5258452,0
2015-01-28,50.629,50.951,49.512,49.566,3299296,0
2015-01-29,49.126,49.246,48.448,49.155,4855321,0
2015-01-30,48.732,48.942,48.046,48.099,4276359,0
2015-02-02,48.257,48.67,47.568,48.641,3962020,0
2015-02-03,48.989,49.035,48.422,48.813,2872057,0
2015-02-04,48.833,49.18,48.631,48.779,2656469,0
2015-02-05,48.823,48.989,48.678,48.942,2126241,0
2015-02-06,48.813,48.999,48.568,48.723,2178958,0
2015-02-09,48.631,48.789,48.413,48.577,3456557,0
2015-02-10,48.67,48.952,48.43,48.789,2760644,0
2015-02-11,48.917,49.061,48.367,48.723,2753424,0
2015-02-12,48.165,48.541,48.037,48.512,3399340,0
2015-02-13,48.266,48.266,47.613,48.099,3780163,0
2015-02-17,47.962,48.139,47.662,47.97,3855890,0
2015-02-18,47.97,48.541,47.962,48.466,2807170,0
2015-02-19,48.466,49.165,48.347,48.989,3744201,0
2015-02-20,48.952,49.099,48.603,49.008,3396471,0
2015-02-23,48.925,49.08,48.813,49.026,1906341,0
2015-02-24,48.917,49.035,48.594,48.962,2687820,0
2015-02-25,48.908,49.18,48.87,49.071,1990294,0
2015-02-26,49.155,49.155,48.898,48.962,2290247,0
2015-02-27,48.989,49.346,48.88,49.302,3314947,0
2015-03-02,49.136,49.274,48.88,49.035,1657097,0
2015-03-03,48.952,49.035,48.621,49.018,1844650,0
2015-03-04,48.888,48.98,48.551,48.77,2175349,0
2015-03-05,48.898,48.898,48.502,48.833,1746348,0
