Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,20.159,20.159,20.159,20.159,131,0
2015-01-05,20.591,20.591,20.591,20.591,723,0
2015-01-07,21.035,21.035,20.13,20.13,231,0
2015-01-14,20.2,20.604,20.07,20.426,1114,0
2015-01-15,20.087,20.463,20.07,20.463,1191,0
2015-01-22,20.07,20.07,20.061,20.061,1489,0
2015-01-23,20.061,20.409,19.732,19.969,3751,0
2015-01-26,20.559,20.559,20.559,20.559,100,0
2015-01-27,19.732,19.777,19.732,19.777,330,0
2015-02-02,20.19,20.19,20.19,20.19,489,0
2015-02-04,20.327,20.327,20.309,20.309,3095,0
2015-02-05,20.87,20.87,20.832,20.87,2508,0
2015-02-09,20.2,20.2,20.2,20.2,232,0
2015-02-11,20.932,20.932,20.886,20.886,588,0
2015-02-12,20.259,20.932,20.184,20.184,2212,0
2015-02-17,20.222,20.294,20.222,20.294,329,0
2015-02-18,20.204,20.204,20.204,20.204,100,0
2015-02-19,20.932,20.932,20.799,20.799,2173,0
2015-02-23,20.249,20.249,20.249,20.249,863,0
2015-02-24,20.267,20.526,20.267,20.526,1244,0
2015-02-27,20.478,20.753,20.478,20.753,461,0
2015-03-02,20.838,20.838,20.838,20.838,543,0
2015-03-03,21.169,21.169,21.169,21.169,329,0
2015-03-04,21.122,21.122,21.122,21.122,329,0
2015-03-06,20.886,20.983,20.886,20.983,4563,0
2015-03-12,20.218,20.384,20.218,20.265,756,0
2015-03-19,20.741,20.741,20.741,20.741,100,0
2015-03-24,20.522,20.522,20.522,20.522,228,0
2015-04-01,20.522,20.522,20.522,20.522,100,0
2015-04-02,20.532,20.532,20.532,20.532,541,0
2015-04-06,20.532,20.532,20.532,20.532,100,0
2015-04-09,20.806,20.806,20.806,20.806,224,0
2015-04-14,20.59,21.239,20.59,21.239,2486,0
2015-04-15,21.191,21.191,21.191,21.191,327,0
2015-04-16,20.377,21.003,20.377,20.535,2224,0
2015-04-17,20.487,20.487,20.487,20.487,100,0
2015-04-21,20.447,20.447,20.447,20.447,100,0
2015-04-22,20.82,20.82,20.82,20.82,980,0
