Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,31.268,31.304,30.506,30.887,11004111,0
2015-01-05,31.011,31.252,30.205,30.435,18298725,0
2015-01-06,30.506,31.224,30.231,30.897,20018466,0
2015-01-07,31.234,31.872,31.065,31.774,21791043,0
2015-01-08,31.969,32.315,31.739,32.094,17152309,0
2015-01-09,32.103,32.243,31.394,31.551,16569875,0
2015-01-12,31.747,31.863,31.445,31.774,12019749,0
2015-01-13,31.987,32.271,30.746,31.252,24694495,0
2015-01-14,30.465,30.649,29.78,30.408,31469829,0
2015-01-15,30.835,30.915,29.593,29.638,21924406,0
2015-01-16,29.549,29.956,29.497,29.861,20055045,0
2015-01-20,30.055,30.151,29.568,30.081,13505800,0
2015-01-21,29.983,30.249,29.717,30.045,16186094,0
2015-01-22,30.277,30.303,29.53,29.983,16085871,0
2015-01-23,30.055,30.303,29.884,29.921,15778652,0
2015-01-26,29.884,30.178,29.788,29.878,12209895,0
2015-01-27,29.61,29.869,29.39,29.628,16686216,0
2015-01-28,29.708,29.762,29.035,29.115,16426841,0
2015-01-29,29.176,29.559,28.689,29.399,17843245,0
2015-01-30,29.15,29.39,28.918,28.918,21617159,0
2015-02-02,28.964,29.39,28.76,29.352,20750068,0
2015-02-03,29.699,30.32,29.648,30.126,29556993,0
2015-02-04,31.268,31.898,30.277,31.764,55605891,0
2015-02-05,32.164,32.448,31.925,32.138,23523010,0
2015-02-06,32.164,32.394,31.844,31.915,18408282,0
2015-02-09,31.731,32.005,31.482,31.915,16690407,0
2015-02-10,33.05,33.29,32.271,33.264,36499615,0
2015-02-11,33.255,33.565,33.05,33.396,25520930,0
2015-02-12,33.555,33.847,33.45,33.707,17524260,0
2015-02-13,33.627,33.751,33.112,33.353,16573114,0
2015-02-17,32.98,33.219,32.848,33.016,14828855,0
2015-02-18,33.024,33.219,32.92,32.97,9601972,0
2015-02-19,32.83,33.345,32.784,33.255,13284212,0
2015-02-20,33.237,33.441,32.944,33.377,10540924,0
2015-02-23,33.353,33.485,33.104,33.414,12374742,0
2015-02-24,33.353,33.61,33.316,33.467,9657237,0
2015-02-25,33.504,33.654,33.345,33.565,12586187,0
2015-02-26,33.522,33.806,33.255,33.3,12078000,0
2015-02-27,33.14,33.201,32.901,33.078,11832457,0
2015-03-02,33.121,33.433,33.121,33.345,12671674,0
2015-03-03,33.14,33.522,33.069,33.512,11320158,0
2015-03-04,33.362,33.512,33.069,33.308,14365974,0
2015-03-05,33.377,33.529,33.3,33.345,7467741,0
2015-03-06,33.211,33.29,32.563,32.66,15525401,0
2015-03-09,33.573,33.797,33.358,33.662,25708549,0
2015-03-10,33.455,33.769,33.206,33.563,22726693,0
2015-03-11,33.609,34.081,33.537,33.769,14758365,0
2015-03-12,33.823,34.387,33.823,34.349,15647003,0
2015-03-13,34.305,34.313,33.725,34.01,12758563,0
2015-03-16,34.225,34.501,34.153,34.486,12551366,0
2015-03-17,34.073,34.387,34.018,34.225,10854976,0
2015-03-18,34.118,34.501,33.769,34.413,21274078,0
2015-03-19,34.368,34.663,34.225,34.548,12592425,0
2015-03-20,34.6,34.795,34.458,34.743,22117633,0
2015-03-23,34.69,34.862,34.493,34.493,13041276,0
2015-03-24,34.403,34.43,33.743,33.831,17739101,0
2015-03-25,33.858,33.887,33.402,33.412,11422305,0
2015-03-26,33.733,33.887,33.206,33.384,15455134,0
2015-03-27,33.375,33.502,33.144,33.35,10334748,0
2015-03-30,33.591,33.848,33.545,33.679,11165660,0
2015-03-31,33.679,34.001,33.492,33.52,14133838,0
2015-04-01,33.322,33.402,32.678,32.84,18606485,0
2015-04-02,32.67,32.83,32.474,32.627,18479394,0
2015-04-06,32.409,33.044,32.366,32.769,14744157,0
2015-04-07,32.169,32.259,31.856,31.937,62899710,0
2015-04-08,32.069,32.347,31.956,32.277,30721758,0
2015-04-09,32.267,32.527,32.205,32.436,17285686,0
2015-04-10,32.823,32.874,32.508,32.687,18760429,0
2015-04-13,32.741,32.947,32.527,32.536,15137627,0
2015-04-14,32.588,32.913,32.571,32.607,14532374,0
2015-04-15,32.913,33.144,32.76,33.019,15329540,0
2015-04-16,33.161,33.232,32.84,33.144,13677904,0
2015-04-17,32.921,32.937,32.627,32.75,16082429,0
2015-04-20,33.027,33.224,32.85,33.171,15529432,0
2015-04-21,33.367,33.474,32.913,33.216,19165064,0
2015-04-22,33.188,33.269,32.777,33.216,17906605,0
2015-04-23,32.385,32.446,31.803,32.108,46787293,0
2015-04-24,31.937,32.008,31.677,31.813,23776624,0
2015-04-27,31.866,32.134,31.785,31.981,17338023,0
2015-04-28,31.956,32.142,31.437,31.928,16622114,0
2015-04-29,31.732,31.91,31.51,31.74,13321416,0
2015-04-30,31.517,31.668,31.222,31.339,17659111,0
2015-05-01,31.437,31.705,31.114,31.661,17125460,0
2015-05-04,31.732,31.928,31.642,31.642,13447726,0
2015-05-05,31.642,31.749,31.274,31.292,12382544,0
2015-05-06,31.41,31.49,30.881,31.079,14626624,0
2015-05-07,30.961,31.312,30.881,31.177,15700464,0
2015-05-08,31.363,31.696,31.312,31.571,14305712,0
2015-05-11,31.551,31.813,31.437,31.481,9882206,0
2015-05-12,31.249,31.249,30.846,31.052,15717932,0
2015-05-13,31.088,31.258,31.025,31.105,10289868,0
2015-05-14,31.284,31.32,30.864,30.971,14147181,0
2015-05-15,31.016,31.267,31.016,31.204,10938974,0
2015-05-18,31.258,31.462,31.15,31.33,11506746,0
2015-05-19,31.437,31.5,31.249,31.392,11027374,0
2015-05-20,31.5,31.551,30.981,31.302,14461535,0
2015-05-21,31.284,31.875,31.284,31.803,17918106,0
2015-05-22,31.749,31.946,31.661,31.91,10794004,0
2015-05-26,31.687,31.82,31.668,31.749,14025561,0
2015-05-27,31.749,32.008,31.668,32.008,11252922,0
2015-05-28,32.277,32.607,32.15,32.527,20209168,0
2015-05-29,32.617,32.697,32.044,32.15,17683500,0
2015-06-01,32.232,32.482,31.866,32.337,13439180,0
2015-06-02,32.259,32.627,32.15,32.376,18960928,0
2015-06-03,32.508,32.555,32.062,32.125,14339386,0
2015-06-04,31.875,32.062,31.705,31.766,11790156,0
2015-06-05,31.74,31.776,31.249,31.392,27554407,0
2015-06-08,31.582,31.717,31.43,31.599,17313884,0
2015-06-09,31.645,31.897,31.609,31.843,14285219,0
2015-06-10,32.015,32.168,31.871,32.141,12625659,0
2015-06-11,32.286,32.52,32.106,32.106,18623735,0
2015-06-12,31.952,32.421,31.952,32.249,12368672,0
2015-06-15,31.934,32.267,31.618,32.025,15519832,0
2015-06-16,31.934,32.313,31.752,32.158,7351487,0
2015-06-17,32.223,32.338,31.871,32.338,11390371,0
2015-06-18,32.394,32.945,32.377,32.692,17152993,0
2015-06-19,32.621,32.809,32.468,32.611,16422613,0
2015-06-22,32.774,33.001,32.63,32.683,15261941,0
2015-06-23,32.847,32.945,32.756,32.781,8061008,0
2015-06-24,32.43,32.484,31.709,31.752,18746510,0
2015-06-25,31.799,31.897,31.22,31.338,16158968,0
2015-06-26,31.338,31.445,30.957,31.049,12881022,0
2015-06-29,30.814,30.859,29.982,30.01,20726144,0
2015-06-30,30.227,30.317,29.857,30.1,14297297,0
2015-07-01,30.354,30.354,29.513,29.838,17904406,0
2015-07-02,29.974,30.208,29.857,30.01,9574064,0
2015-07-06,29.668,29.909,29.449,29.488,11552480,0
2015-07-07,29.459,29.758,28.907,29.676,20583855,0
2015-07-08,29.197,29.269,27.941,28.167,33187275,0
2015-07-09,28.555,28.674,27.923,28.006,18751159,0
2015-07-10,28.268,28.376,27.987,28.358,13550938,0
2015-07-13,28.783,28.809,28.411,28.61,18078916,0
2015-07-14,28.53,28.891,28.384,28.692,11995297,0
2015-07-15,28.763,28.809,28.268,28.384,19955632,0
2015-07-16,28.122,28.177,27.373,27.644,39775057,0
2015-07-17,27.671,27.816,27.482,27.679,17971620,0
2015-07-20,27.86,27.86,27.472,27.544,17322520,0
2015-07-21,27.554,27.599,27.373,27.445,25990589,0
2015-07-22,27.391,27.562,26.994,27.364,23106954,0
2015-07-23,29.488,29.53,28.358,28.449,43148785,0
2015-07-24,28.809,28.845,27.832,28.05,25431954,0
2015-07-27,27.95,28.285,27.635,28.041,25839996,0
2015-07-28,28.439,28.573,28.195,28.285,25672128,0
2015-07-29,28.429,28.953,28.384,28.854,22846648,0
2015-07-30,28.8,28.944,28.674,28.817,11209548,0
2015-07-31,28.972,29.016,28.384,28.457,13729657,0
